商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
43498,,,,,,,,6,パナソニック,パナソニック 天井吊形 1.5馬力 シングル Gシリーズ エコナビ,1,,"PA-P40T6SGA｜パナソニック 業務用エアコン 超省エネ 天井吊形 1.5馬力 シングル 単相200V ワイヤード Gシリーズ エコナビ｜販売価格:689,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.5馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,PA-P40T6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p40t6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.5馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p40t6sga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P40T6SGAの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P40T6A x 1</td></tr><tr><th>室外機</th><td>CU-P40G6S x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P40T6SGA,,1,,744120,744120,,0,,,,,,,,,,,,,,,,,"100225,110561",
43499,,,,,,,,6,パナソニック,パナソニック 天井吊形 1.5馬力 シングル Gシリーズ エコナビ,1,,"PA-P40T6GA｜パナソニック 業務用エアコン 超省エネ 天井吊形 1.5馬力 シングル 三相200V ワイヤード Gシリーズ エコナビ｜販売価格:689,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.5馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,PA-P40T6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p40t6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.5馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p40t6ga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P40T6GAの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P40T6A x 1</td></tr><tr><th>室外機</th><td>CU-P40G6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P40T6GA,,1,,744120,744120,,0,,,,,,,,,,,,,,,,,"100225,110561",
43500,,,,,,,,6,パナソニック,パナソニック 天井吊形 1.8馬力 シングル Gシリーズ エコナビ,1,,"PA-P45T6SGA｜パナソニック 業務用エアコン 超省エネ 天井吊形 1.8馬力 シングル 単相200V ワイヤード Gシリーズ エコナビ｜販売価格:731,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.8馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,PA-P45T6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p45t6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.8馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p45t6sga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P45T6SGAの能力は、1.8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr> <tr><td>一般商店</td><td>17 - 26 m2</td><td>5 - 8 坪</td><td>10 - 16 畳</td> </tr> <tr><td>飲食店</td><td>11 - 17 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>14 - 17 m2</td><td>4 - 5 坪</td><td>8 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P45T6A x 1</td></tr><tr><th>室外機</th><td>CU-P45G6S x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P45T6SGA,,1,,789480,789480,,0,,,,,,,,,,,,,,,,,"100225,110562",
43501,,,,,,,,6,パナソニック,パナソニック 天井吊形 1.8馬力 シングル Gシリーズ エコナビ,1,,"PA-P45T6GA｜パナソニック 業務用エアコン 超省エネ 天井吊形 1.8馬力 シングル 三相200V ワイヤード Gシリーズ エコナビ｜販売価格:731,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.8馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,PA-P45T6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p45t6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 1.8馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p45t6ga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P45T6GAの能力は、1.8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr> <tr><td>一般商店</td><td>17 - 26 m2</td><td>5 - 8 坪</td><td>10 - 16 畳</td> </tr> <tr><td>飲食店</td><td>11 - 17 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>14 - 17 m2</td><td>4 - 5 坪</td><td>8 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P45T6A x 1</td></tr><tr><th>室外機</th><td>CU-P45G6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P45T6GA,,1,,789480,789480,,0,,,,,,,,,,,,,,,,,"100225,110562",
43502,,,,,,,,6,パナソニック,パナソニック 天井吊形 2馬力 シングル Gシリーズ エコナビ,1,,"PA-P50T6SGA｜パナソニック 業務用エアコン 超省エネ 天井吊形 2馬力 シングル 単相200V ワイヤード Gシリーズ エコナビ｜販売価格:791,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 2馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,PA-P50T6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p50t6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 2馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p50t6sga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P50T6SGAの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P50T6A x 1</td></tr><tr><th>室外機</th><td>CU-P50G6S x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P50T6SGA,,1,,854280,854280,,0,,,,,,,,,,,,,,,,,"100225,110563",
43503,,,,,,,,6,パナソニック,パナソニック 天井吊形 2馬力 シングル Gシリーズ エコナビ,1,,"PA-P50T6GA｜パナソニック 業務用エアコン 超省エネ 天井吊形 2馬力 シングル 三相200V ワイヤード Gシリーズ エコナビ｜販売価格:791,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 2馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,PA-P50T6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p50t6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 2馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p50t6ga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P50T6GAの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P50T6A x 1</td></tr><tr><th>室外機</th><td>CU-P50G6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P50T6GA,,1,,854280,854280,,0,,,,,,,,,,,,,,,,,"100225,110563",
43504,,,,,,,,6,パナソニック,パナソニック 天井吊形 2.3馬力 シングル Gシリーズ エコナビ,1,,"PA-P56T6SGA｜パナソニック 業務用エアコン 超省エネ 天井吊形 2.3馬力 シングル 単相200V ワイヤード Gシリーズ エコナビ｜販売価格:839,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.3馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,PA-P56T6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p56t6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.3馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p56t6sga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P56T6SGAの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P56T6A x 1</td></tr><tr><th>室外機</th><td>CU-P56G6S x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P56T6SGA,,1,,906120,906120,,0,,,,,,,,,,,,,,,,,"100225,110564",
43505,,,,,,,,6,パナソニック,パナソニック 天井吊形 2.3馬力 シングル Gシリーズ エコナビ,1,,"PA-P56T6GA｜パナソニック 業務用エアコン 超省エネ 天井吊形 2.3馬力 シングル 三相200V ワイヤード Gシリーズ エコナビ｜販売価格:839,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.3馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,PA-P56T6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p56t6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.3馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p56t6ga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P56T6GAの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P56T6A x 1</td></tr><tr><th>室外機</th><td>CU-P56G6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P56T6GA,,1,,906120,906120,,0,,,,,,,,,,,,,,,,,"100225,110564",
43506,,,,,,,,6,パナソニック,パナソニック 天井吊形 2.5馬力 シングル Gシリーズ エコナビ,1,,"PA-P63T6SGA｜パナソニック 業務用エアコン 超省エネ 天井吊形 2.5馬力 シングル 単相200V ワイヤード Gシリーズ エコナビ｜販売価格:888,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.5馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,PA-P63T6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p63t6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.5馬力 シングル<br>単相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p63t6sga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P63T6SGAの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P63T6A x 1</td></tr><tr><th>室外機</th><td>CU-P63G6S x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P63T6SGA,,1,,959040,959040,,0,,,,,,,,,,,,,,,,,"100225,110565",
43507,,,,,,,,6,パナソニック,パナソニック 天井吊形 2.5馬力 シングル Gシリーズ エコナビ,1,,"PA-P63T6GA｜パナソニック 業務用エアコン 超省エネ 天井吊形 2.5馬力 シングル 三相200V ワイヤード Gシリーズ エコナビ｜販売価格:888,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.5馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,PA-P63T6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201811/pa-p63t6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>天井吊形 2.5馬力 シングル<br>三相200V ワイヤード<br>Gシリーズ エコナビ,panasonic/201811/pa-p63t6ga.jpg,,gpt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">PA-P63T6GAの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P63T6A x 1</td></tr><tr><th>室外機</th><td>CU-P63G6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr><tr><th>センサー型式</th><td>CZ-CSEN1 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P63T6GA,,1,,959040,959040,,0,,,,,,,,,,,,,,,,,"100225,110565",
