商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500150,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 10畳程度 シングル CRシリーズ,1,,"S28RCRV-cleaner-color｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 10畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:588,600｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S28RCRV-cleaner-color,"ホワイト(フラット),ブラウン(フラット)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s28rcrv-cleaner-color.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s28rcrv-cleaner-color.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r28rcrv.jpg,,,,daikin_housing/201311/sub/arc456-arc462.jpg,,,,daikin_housing/201311/sub/panel5.jpg,,"<div class=""set"">▼セット内容<br />室内機：F28RCRV x 1<br />室外機：R28RCRV x 1<br />リモコン：ARC456A37 x 1<br />リモコン：ARC462A1 x 1<br />パネル：BC40JF-W x 1</div>",,,,,,,2,0,1,S28RCRV-cleaner-color,,1,,588600,588600,,0,,,,,,,,,,,,,,,,,"200121,210005",
500151,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 10畳程度 シングル CRシリーズ,1,,"S28RCRV-cleaner-wood｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 10畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:599,400｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S28RCRV-cleaner-wood,木目(フラット),,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s28rcrv-cleaner-wood.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s28rcrv-cleaner-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r28rcrv.jpg,,,,daikin_housing/201311/sub/arc456-arc462.jpg,,,,daikin_housing/201311/sub/panel6.jpg,,"<div class=""set"">▼セット内容<br />室内機：F28RCRV x 1<br />室外機：R28RCRV x 1<br />リモコン：ARC456A37 x 1<br />リモコン：ARC462A1 x 1<br />パネル：BC40JF-M x 1</div>",,,,,,,2,0,1,S28RCRV-cleaner-wood,,1,,599400,599400,,0,,,,,,,,,,,,,,,,,"200121,210005",
500152,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 10畳程度 シングル CRシリーズ,1,,"S28RCRV｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 10畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:502,200｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S28RCRV,"フレッシュホワイト(標準),ホワイト(標準),ブラウン(標準)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s28rcrv.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s28rcrv.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r28rcrv.jpg,,,,daikin_housing/201311/sub/arc456.jpg,,,,daikin_housing/201311/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：F28RCRV x 1<br />室外機：R28RCRV x 1<br />リモコン：ARC456A37 x 1<br />パネル：BC40J-WF x 1</div>",,,,,,,2,0,1,S28RCRV,,1,,502200,502200,,0,,,,,,,,,,,,,,,,,"200121,210005",
500153,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 10畳程度 シングル CRシリーズ,1,,"S28RCRV-wood｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 10畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:513,000｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S28RCRV-wood,木目(標準),,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s28rcrv-wood.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 10畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s28rcrv-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r28rcrv.jpg,,,,daikin_housing/201311/sub/arc456.jpg,,,,daikin_housing/201311/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：F28RCRV x 1<br />室外機：R28RCRV x 1<br />リモコン：ARC456A37 x 1<br />パネル：BC40J-M x 1</div>",,,,,,,2,0,1,S28RCRV-wood,,1,,513000,513000,,0,,,,,,,,,,,,,,,,,"200121,210005",
500154,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 12畳程度 シングル CRシリーズ,1,,"S36RCRV-cleaner｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 12畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:626,400｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S36RCRV-cleaner,フレッシュホワイト(フラット),,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s36rcrv-cleaner.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s36rcrv-cleaner.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r36rcrv.jpg,,,,daikin_housing/201311/sub/arc456-arc462.jpg,,,,daikin_housing/201311/sub/panel4.jpg,,"<div class=""set"">▼セット内容<br />室内機：F36RCRV x 1<br />室外機：R36RCRV x 1<br />リモコン：ARC456A37 x 1<br />リモコン：ARC462A1 x 1<br />パネル：BC40JF-WF x 1</div>",,,,,,,2,0,1,S36RCRV-cleaner,,1,,626400,626400,,0,,,,,,,,,,,,,,,,,"200121,210006",
500155,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 12畳程度 シングル CRシリーズ,1,,"S36RCRV-cleaner-color｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 12畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:637,200｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S36RCRV-cleaner-color,"ホワイト(フラット),ブラウン(フラット)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s36rcrv-cleaner-color.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s36rcrv-cleaner-color.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r36rcrv.jpg,,,,daikin_housing/201311/sub/arc456-arc462.jpg,,,,daikin_housing/201311/sub/panel5.jpg,,"<div class=""set"">▼セット内容<br />室内機：F36RCRV x 1<br />室外機：R36RCRV x 1<br />リモコン：ARC456A37 x 1<br />リモコン：ARC462A1 x 1<br />パネル：BC40JF-W x 1</div>",,,,,,,2,0,1,S36RCRV-cleaner-color,,1,,637200,637200,,0,,,,,,,,,,,,,,,,,"200121,210006",
500156,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 12畳程度 シングル CRシリーズ,1,,"S36RCRV-cleaner-wood｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 12畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:648,000｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S36RCRV-cleaner-wood,木目(フラット),,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s36rcrv-cleaner-wood.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s36rcrv-cleaner-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r36rcrv.jpg,,,,daikin_housing/201311/sub/arc456-arc462.jpg,,,,daikin_housing/201311/sub/panel6.jpg,,"<div class=""set"">▼セット内容<br />室内機：F36RCRV x 1<br />室外機：R36RCRV x 1<br />リモコン：ARC456A37 x 1<br />リモコン：ARC462A1 x 1<br />パネル：BC40JF-M x 1</div>",,,,,,,2,0,1,S36RCRV-cleaner-wood,,1,,648000,648000,,0,,,,,,,,,,,,,,,,,"200121,210006",
500157,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 12畳程度 シングル CRシリーズ,1,,"S36RCRV｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 12畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:550,800｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S36RCRV,"フレッシュホワイト(標準),ホワイト(標準),ブラウン(標準)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s36rcrv.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s36rcrv.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r36rcrv.jpg,,,,daikin_housing/201311/sub/arc456.jpg,,,,daikin_housing/201311/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：F36RCRV x 1<br />室外機：R36RCRV x 1<br />リモコン：ARC456A37 x 1<br />パネル：BC40J-WF x 1</div>",,,,,,,2,0,1,S36RCRV,,1,,550800,550800,,0,,,,,,,,,,,,,,,,,"200121,210006",
500158,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 12畳程度 シングル CRシリーズ,1,,"S36RCRV-wood｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 12畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:561,600｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S36RCRV-wood,木目(標準),,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s36rcrv-wood.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 12畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s36rcrv-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r36rcrv.jpg,,,,daikin_housing/201311/sub/arc456.jpg,,,,daikin_housing/201311/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：F36RCRV x 1<br />室外機：R36RCRV x 1<br />リモコン：ARC456A37 x 1<br />パネル：BC40J-M x 1</div>",,,,,,,2,0,1,S36RCRV-wood,,1,,561600,561600,,0,,,,,,,,,,,,,,,,,"200121,210006",
500159,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 シングルフロータイプ 14畳程度 シングル CRシリーズ,1,,"S40RCRV-cleaner｜【ダイキン ハウジングエアコン】 天井埋込カセット形 シングルフロータイプ 14畳程度 シングル 単相200V ワイヤレス CRシリーズ｜販売価格:675,000｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 14畳程度<br>シングル 単相200V ワイヤレス CRシリーズ,S40RCRV-cleaner,フレッシュホワイト(フラット),,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201311/s40rcrv-cleaner.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 シングルフロータイプ 14畳程度<br>シングル 単相200V ワイヤレス CRシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201311/s40rcrv-cleaner.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201311/sub/r40rcrv.jpg,,,,daikin_housing/201311/sub/arc456-arc462.jpg,,,,daikin_housing/201311/sub/panel4.jpg,,"<div class=""set"">▼セット内容<br />室内機：F40RCRV x 1<br />室外機：R40RCRV x 1<br />リモコン：ARC456A37 x 1<br />リモコン：ARC462A1 x 1<br />パネル：BC40JF-WF x 1</div>",,,,,,,2,0,1,S40RCRV-cleaner,,1,,675000,675000,,0,,,,,,,,,,,,,,,,,"200121,210007",
