商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500589,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 10畳程度 シングル Kシリーズ,1,,"MFZ-K285S-W｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 10畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:405,000｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K285S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k285s-w.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k285s-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k285s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K285S-W x 1<br />室外機：MUFZ-K285S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K285S-W,,1,,405000,405000,,0,,,,,,,,,,,,,,,,,"200146,210155",
500590,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 10畳程度 シングル Kシリーズ,1,,"MFZ-K285S-B｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 10畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:405,000｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K285S-B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k285s-b.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 10畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k285s-b.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k285s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K285S-B x 1<br />室外機：MUFZ-K285S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K285S-B,,1,,405000,405000,,0,,,,,,,,,,,,,,,,,"200146,210155",
500591,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 12畳程度 シングル Kシリーズ,1,,"MFZ-K365S-W｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 12畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:453,600｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K365S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k365s-w.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k365s-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k365s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K365S-W x 1<br />室外機：MUFZ-K365S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K365S-W,,1,,453600,453600,,0,,,,,,,,,,,,,,,,,"200146,210156",
500592,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 12畳程度 シングル Kシリーズ,1,,"MFZ-K365S-B｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 12畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:453,600｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K365S-B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k365s-b.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k365s-b.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k365s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K365S-B x 1<br />室外機：MUFZ-K365S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K365S-B,,1,,453600,453600,,0,,,,,,,,,,,,,,,,,"200146,210156",
500593,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 14畳程度 シングル Kシリーズ,1,,"MFZ-K405S-W｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 14畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:507,600｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K405S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k405s-w.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k405s-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k405s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K405S-W x 1<br />室外機：MUFZ-K405S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K405S-W,,1,,507600,507600,,0,,,,,,,,,,,,,,,,,"200146,210157",
500594,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 14畳程度 シングル Kシリーズ,1,,"MFZ-K405S-B｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 14畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:507,600｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K405S-B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k405s-b.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k405s-b.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k405s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K405S-B x 1<br />室外機：MUFZ-K405S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K405S-B,,1,,507600,507600,,0,,,,,,,,,,,,,,,,,"200146,210157",
500595,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 16畳程度 シングル Kシリーズ,1,,"MFZ-K505S-W｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 16畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:604,800｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K505S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k505s-w.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k505s-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k505s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K505S-W x 1<br />室外機：MUFZ-K505S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K505S-W,,1,,604800,604800,,0,,,,,,,,,,,,,,,,,"200146,210160",
500596,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 16畳程度 シングル Kシリーズ,1,,"MFZ-K505S-B｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 16畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:604,800｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K505S-B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k505s-b.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k505s-b.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k505s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K505S-B x 1<br />室外機：MUFZ-K505S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K505S-B,,1,,604800,604800,,0,,,,,,,,,,,,,,,,,"200146,210160",
500597,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 18畳程度 シングル Kシリーズ,1,,"MFZ-K565S-W｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 18畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:718,200｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K565S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k565s-w.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k565s-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k565s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K565S-W x 1<br />室外機：MUFZ-K565S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K565S-W,,1,,718200,718200,,0,,,,,,,,,,,,,,,,,"200146,210164",
500598,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 床置形 18畳程度 シングル Kシリーズ,1,,"MFZ-K565S-B｜【三菱電機 ハウジングエアコン 霧ケ峰】 床置形 18畳程度 シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ｜販売価格:718,200｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ,MFZ-K565S-B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201502/mfz-k565s-b.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>床置形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス Kシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201502/mfz-k565s-b.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201502/sub/mufz-k565s.jpg,,,,mitsubishi_housing/201502/sub/rc.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：MFZ-K565S-B x 1<br />室外機：MUFZ-K565S x 1<br />リモコン：同梱リモコン x 1<br /></div>",,,,,,,2,0,1,MFZ-K565S-B,,1,,718200,718200,,0,,,,,,,,,,,,,,,,,"200146,210164",
