商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
501013,,,,,,,,1,ダイキン,ダイキン システムマルチ（ココタス接続タイプ）室外機 40クラス 2室用,1,,"2M40VCV｜ダイキン ハウジングエアコン システムマルチ（ココタス接続タイプ）室外機 40クラス 2室用 単相200V｜販売価格:320,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室外機 40クラス 2室用<br>単相200V,2M40VCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",daikin_housing/201802/2m40vcv.jpg,ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室外機 40クラス 2室用<br>単相200V,daikin_housing/201802/2m40vcv.jpg,,,,,,,,,,,"<p class=""poText"">2M40VCVの能力（クラス）は、40クラス程度となります。本製品はマルチタイプ用です。<br>室内機の組合せは、室外機の能力により異なりますのでご注意ください。<br><strong>※以下の表は室内機1台あたり：1室20クラスだった場合の目安。</strong></p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>--kw</td><td>--kw</td></tr><tr><td>畳数</td><td>--畳</td><td>--畳</td></tr><tr><td>m2（平米）数</td><td>--m2</td><td>--m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室外機</th><td>2M40VCV x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,2M40VCV,,1,,345600,345600,,0,,,,,,,,,,,,,,,,,"200129,210247",
501014,,,,,,,,1,ダイキン,ダイキン システムマルチ（ココタス接続タイプ）室外機 58クラス 3室用,1,,"3M58VCV｜ダイキン ハウジングエアコン システムマルチ（ココタス接続タイプ）室外機 58クラス 3室用 単相200V｜販売価格:400,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室外機 58クラス 3室用<br>単相200V,3M58VCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",daikin_housing/201802/3m58vcv.jpg,ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室外機 58クラス 3室用<br>単相200V,daikin_housing/201802/3m58vcv.jpg,,,,,,,,,,,"<p class=""poText"">3M58VCVの能力（クラス）は、58クラス程度となります。本製品はマルチタイプ用です。<br>室内機の組合せは、室外機の能力により異なりますのでご注意ください。<br><strong>※以下の表は室内機1台あたり：1室22クラスだった場合の目安。</strong></p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室外機</th><td>3M58VCV x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,3M58VCV,,1,,432000,432000,,0,,,,,,,,,,,,,,,,,"200129,210266",
501015,,,,,,,,1,ダイキン,ダイキン システムマルチ（ココタス接続タイプ）室外機 68クラス 3室用,1,,"3M68VCV｜ダイキン ハウジングエアコン システムマルチ（ココタス接続タイプ）室外機 68クラス 3室用 単相200V｜販売価格:490,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室外機 68クラス 3室用<br>単相200V,3M68VCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",daikin_housing/201802/3m68vcv.jpg,ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室外機 68クラス 3室用<br>単相200V,daikin_housing/201802/3m68vcv.jpg,,,,,,,,,,,"<p class=""poText"">3M68VCVの能力（クラス）は、68クラス程度となります。本製品はマルチタイプ用です。<br>室内機の組合せは、室外機の能力により異なりますのでご注意ください。<br><strong>※以下の表は室内機1台あたり：1室22クラスだった場合の目安。</strong></p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>4.2kw</td><td>3.6kw</td></tr><tr><td>畳数</td><td>9 - 12畳</td><td>10 - 15畳</td></tr><tr><td>m2（平米）数</td><td>15 - 19m2</td><td>16 - 25m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室外機</th><td>3M68VCV x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,3M68VCV,,1,,529200,529200,,0,,,,,,,,,,,,,,,,,"200129,210257",
501016,,,,,,,,1,ダイキン,ダイキン システムマルチ（ココタス接続タイプ）室内機 小空間マルチカセット形 8クラス ココタス,1,,"C08VCCV｜ダイキン ハウジングエアコン システムマルチ（ココタス接続タイプ）室内機 小空間マルチカセット形 8クラス 単相200V ワイヤレス ココタス｜販売価格:140,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室内機 小空間マルチカセット形 8クラス<br>単相200V ワイヤレス<br>ココタス,C08VCCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c08vccv.jpg,ダイキン ハウジングエアコン<br>システムマルチ（ココタス接続タイプ）室内機 小空間マルチカセット形 8クラス<br>単相200V ワイヤレス<br>ココタス,daikin_housing/201802/c08vccv.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">C08VCCVの能力（クラス）は、8クラス程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>--kw</td><td>--kw</td></tr><tr><td>畳数</td><td>--畳</td><td>--畳</td></tr><tr><td>m2（平米）数</td><td>--m2</td><td>--m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C08VCCV x 1</td></tr><tr><th>パネル</th><td>BC08VS-W x 1</td></tr><tr><th>リモコン</th><td>ARC478A44 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C08VCCV,,1,,151200,151200,,0,,,,,,,,,,,,,,,,,"200136,210475",
501017,,,,,,,,1,ダイキン,ダイキン システムマルチ室内機 壁掛形 6畳程度 risora 本体カラー：ホワイト,1,,"C22VTSXVW｜ダイキン ハウジングエアコン システムマルチ室内機 壁掛形 6畳程度 システムマルチ 室内ユニット 単相200V ワイヤレス risora 本体カラー：ホワイト｜販売価格:120,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 6畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ホワイト,C22VTSXVW,"ファブリックホワイト,ブラックウッド,ラインホワイト",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c22vtsxvw.jpg,ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 6畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ホワイト,daikin_housing/201802/c22vtsxvw.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">C22VTSXVWの能力（クラス）は、22クラス（6畳）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>2.5kw</td><td>2.2kw</td></tr><tr><td>畳数</td><td>6 - 7畳</td><td>6 - 9畳</td></tr><tr><td>m2（平米）数</td><td>9 - 11m2</td><td>10 - 15m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C22VTSXVW x 1</td></tr><tr><th>パネル</th><td>BCF40V-F x 1</td></tr><tr><th>リモコン</th><td>ARC476A33 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C22VTSXVW,,1,,129600,129600,,0,,,,,,,,,,,,,,,,,"200132,210333",
501018,,,,,,,,1,ダイキン,ダイキン システムマルチ室内機 壁掛形 6畳程度 risora 本体カラー：ダークグレー,1,,"C22VTSXVK｜ダイキン ハウジングエアコン システムマルチ室内機 壁掛形 6畳程度 システムマルチ 室内ユニット 単相200V ワイヤレス risora 本体カラー：ダークグレー｜販売価格:120,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 6畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ダークグレー,C22VTSXVK,"ファブリックホワイト,ブラックウッド,ラインホワイト",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c22vtsxvk.jpg,ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 6畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ダークグレー,daikin_housing/201802/c22vtsxvk.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">C22VTSXVKの能力（クラス）は、22クラス（6畳）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>2.5kw</td><td>2.2kw</td></tr><tr><td>畳数</td><td>6 - 7畳</td><td>6 - 9畳</td></tr><tr><td>m2（平米）数</td><td>9 - 11m2</td><td>10 - 15m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C22VTSXVK x 1</td></tr><tr><th>パネル</th><td>BCF40V-F x 1</td></tr><tr><th>リモコン</th><td>ARC476A33 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C22VTSXVK,,1,,129600,129600,,0,,,,,,,,,,,,,,,,,"200132,210333",
501019,,,,,,,,1,ダイキン,ダイキン システムマルチ室内機 壁掛形 10畳程度 risora 本体カラー：ホワイト,1,,"C28VTSXVW｜ダイキン ハウジングエアコン システムマルチ室内機 壁掛形 10畳程度 システムマルチ 室内ユニット 単相200V ワイヤレス risora 本体カラー：ホワイト｜販売価格:140,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 10畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ホワイト,C28VTSXVW,"ファブリックホワイト,ブラックウッド,ラインホワイト",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c28vtsxvw.jpg,ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 10畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ホワイト,daikin_housing/201802/c28vtsxvw.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">C28VTSXVWの能力（クラス）は、28クラス（10畳）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C28VTSXVW x 1</td></tr><tr><th>パネル</th><td>BCF40V-F x 1</td></tr><tr><th>リモコン</th><td>ARC476A33 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C28VTSXVW,,1,,151200,151200,,0,,,,,,,,,,,,,,,,,"200132,210335",
501020,,,,,,,,1,ダイキン,ダイキン システムマルチ室内機 壁掛形 10畳程度 risora 本体カラー：ダークグレー,1,,"C28VTSXVK｜ダイキン ハウジングエアコン システムマルチ室内機 壁掛形 10畳程度 システムマルチ 室内ユニット 単相200V ワイヤレス risora 本体カラー：ダークグレー｜販売価格:140,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 10畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ダークグレー,C28VTSXVK,"ファブリックホワイト,ブラックウッド,ラインホワイト",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c28vtsxvk.jpg,ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 10畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ダークグレー,daikin_housing/201802/c28vtsxvk.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">C28VTSXVKの能力（クラス）は、28クラス（10畳）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C28VTSXVK x 1</td></tr><tr><th>パネル</th><td>BCF40V-F x 1</td></tr><tr><th>リモコン</th><td>ARC476A33 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C28VTSXVK,,1,,151200,151200,,0,,,,,,,,,,,,,,,,,"200132,210335",
501021,,,,,,,,1,ダイキン,ダイキン システムマルチ室内機 壁掛形 12畳程度 risora 本体カラー：ホワイト,1,,"C36VTSXVW｜ダイキン ハウジングエアコン システムマルチ室内機 壁掛形 12畳程度 システムマルチ 室内ユニット 単相200V ワイヤレス risora 本体カラー：ホワイト｜販売価格:165,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 12畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ホワイト,C36VTSXVW,"ファブリックホワイト,ブラックウッド,ラインホワイト",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c36vtsxvw.jpg,ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 12畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ホワイト,daikin_housing/201802/c36vtsxvw.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">C36VTSXVWの能力（クラス）は、36クラス（12畳）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>4.2kw</td><td>3.6kw</td></tr><tr><td>畳数</td><td>9 - 12畳</td><td>10 - 15畳</td></tr><tr><td>m2（平米）数</td><td>15 - 19m2</td><td>16 - 25m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C36VTSXVW x 1</td></tr><tr><th>パネル</th><td>BCF40V-F x 1</td></tr><tr><th>リモコン</th><td>ARC476A33 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C36VTSXVW,,1,,178200,178200,,0,,,,,,,,,,,,,,,,,"200132,210336",
501022,,,,,,,,1,ダイキン,ダイキン システムマルチ室内機 壁掛形 12畳程度 risora 本体カラー：ダークグレー,1,,"C36VTSXVK｜ダイキン ハウジングエアコン システムマルチ室内機 壁掛形 12畳程度 システムマルチ 室内ユニット 単相200V ワイヤレス risora 本体カラー：ダークグレー｜販売価格:165,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 12畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ダークグレー,C36VTSXVK,"ファブリックホワイト,ブラックウッド,ラインホワイト",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201802/c36vtsxvk.jpg,ダイキン ハウジングエアコン<br>システムマルチ室内機 壁掛形 12畳程度 システムマルチ 室内ユニット<br>単相200V ワイヤレス<br>risora 本体カラー：ダークグレー,daikin_housing/201802/c36vtsxvk.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">C36VTSXVKの能力（クラス）は、36クラス（12畳）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>4.2kw</td><td>3.6kw</td></tr><tr><td>畳数</td><td>9 - 12畳</td><td>10 - 15畳</td></tr><tr><td>m2（平米）数</td><td>15 - 19m2</td><td>16 - 25m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>C36VTSXVK x 1</td></tr><tr><th>パネル</th><td>BCF40V-F x 1</td></tr><tr><th>リモコン</th><td>ARC476A33 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,C36VTSXVK,,1,,178200,178200,,0,,,,,,,,,,,,,,,,,"200132,210336",
