商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
800001,,,,,,,,1,,ダイキン 天井吊ダクト形  2馬力 シングル スポットエアコン 一体形  クリスプ,1,,"SUADP2BU｜ダイキン スポットエアコン 天井吊ダクト形 2馬力 シングル 三相200V ワイヤード 一体形 クリスプ｜販売価格:571,320｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 2馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ,SUADP2BU,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/suadp2bu.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 2馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/suadp2bu.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,,,,,,,,2,0,1,SUADP2BU,,1,,571320,571320,,0,,,,,,,,,,,,,,,,,"700114,710063",
800002,,,,,,,,1,,ダイキン 天井吊ダクト形  3馬力 シングル スポットエアコン 一体形  クリスプ,1,,"SUADP3AU｜ダイキン スポットエアコン 天井吊ダクト形 3馬力 シングル 三相200V ワイヤード 一体形 クリスプ｜販売価格:727,920｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 3馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ,SUADP3AU,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/suadp3au.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 3馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/suadp3au.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,,,,,,,,2,0,1,SUADP3AU,,1,,727920,727920,,0,,,,,,,,,,,,,,,,,"700114,710066",
800003,,,,,,,,1,,ダイキン 天井吊ダクト形  2馬力 シングル スポットエアコン 一体形  クリスプ,1,,"SUBDP2BU｜ダイキン スポットエアコン 天井吊ダクト形 2馬力 シングル 三相200V ワイヤード 一体形 クリスプ｜販売価格:628,560｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 2馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ,SUBDP2BU,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/subdp2bu.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 2馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/subdp2bu.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,,,,,,,,2,0,1,SUBDP2BU,,1,,628560,628560,,0,,,,,,,,,,,,,,,,,"700114,710063",
800004,,,,,,,,1,,ダイキン 天井吊ダクト形  3馬力 シングル スポットエアコン 一体形  クリスプ,1,,"SUBDP3AU｜ダイキン スポットエアコン 天井吊ダクト形 3馬力 シングル 三相200V ワイヤード 一体形 クリスプ｜販売価格:767,880｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 3馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ,SUBDP3AU,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/subdp3au.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 3馬力 シングル<br>三相200V ワイヤード<br>一体形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/subdp3au.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,,,,,,,,,,,,,,,,,,2,0,1,SUBDP3AU,,1,,767880,767880,,0,,,,,,,,,,,,,,,,,"700114,710066",
800005,,,,,,,,1,,ダイキン 天井吊ダクト形  1.8馬力 シングル スポットエアコン セパレート形  クリスプ,1,,"SSDP45B｜ダイキン スポットエアコン 天井吊ダクト形 1.8馬力 シングル 三相200V ワイヤード セパレート形 クリスプ｜販売価格:750,600｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 1.8馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ,SSDP45B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/ssdp45b.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 1.8馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/ssdp45b.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_spot/201402/sub/rsp45bat.jpg,,,,daikin_spot/201402/sub/brc1c1.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>FDP45A x 1</td></tr><tr><th>室外機</th><td>RSP45BAT x 1</td></tr><tr><th>リモコン</th><td>BRC1C1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SSDP45B,,1,,750600,750600,,0,,,,,,,,,,,,,,,,,"700114,710062",
800006,,,,,,,,1,,ダイキン 天井吊ダクト形  2.5馬力 シングル スポットエアコン セパレート形  クリスプ,1,,"SSDP63B｜ダイキン スポットエアコン 天井吊ダクト形 2.5馬力 シングル 三相200V ワイヤード セパレート形 クリスプ｜販売価格:948,240｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 2.5馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ,SSDP63B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/ssdp63b.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 2.5馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/ssdp63b.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_spot/201402/sub/rsp63bat.jpg,,,,daikin_spot/201402/sub/brc1c1.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>FDP63A x 1</td></tr><tr><th>室外機</th><td>RSP63BAT x 1</td></tr><tr><th>リモコン</th><td>BRC1C1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SSDP63B,,1,,948240,948240,,0,,,,,,,,,,,,,,,,,"700114,710065",
800007,,,,,,,,1,,ダイキン 天井吊ダクト形  3馬力 シングル スポットエアコン セパレート形  クリスプ,1,,"SSDP80B｜ダイキン スポットエアコン 天井吊ダクト形 3馬力 シングル 三相200V ワイヤード セパレート形 クリスプ｜販売価格:1,215,000｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 3馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ,SSDP80B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/ssdp80b.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 3馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/ssdp80b.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_spot/201402/sub/rsp80bat.jpg,,,,daikin_spot/201402/sub/brc1c1.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>FDP80A x 1</td></tr><tr><th>室外機</th><td>RSP80BAT x 1</td></tr><tr><th>リモコン</th><td>BRC1C1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SSDP80B,,1,,1215000,1215000,,0,,,,,,,,,,,,,,,,,"700114,710066",
800008,,,,,,,,1,,ダイキン 天井吊ダクト形  4馬力 シングル スポットエアコン セパレート形  クリスプ,1,,"SSDP112B｜ダイキン スポットエアコン 天井吊ダクト形 4馬力 シングル 三相200V ワイヤード セパレート形 クリスプ｜販売価格:1,455,840｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 4馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ,SSDP112B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/ssdp112b.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 4馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/ssdp112b.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_spot/201402/sub/rsp112p.jpg,,,,daikin_spot/201402/sub/brc1c1.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>FDP112B x 1</td></tr><tr><th>室外機</th><td>RSP112P x 1</td></tr><tr><th>リモコン</th><td>BRC1C1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SSDP112B,,1,,1455840,1455840,,0,,,,,,,,,,,,,,,,,"700114,710067",
800009,,,,,,,,1,,ダイキン 天井吊ダクト形  5馬力 シングル スポットエアコン セパレート形  クリスプ,1,,"SSDP140B｜ダイキン スポットエアコン 天井吊ダクト形 5馬力 シングル 三相200V ワイヤード セパレート形 クリスプ｜販売価格:1,693,440｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 5馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ,SSDP140B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/ssdp140b.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 5馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/ssdp140b.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_spot/201402/sub/rsp140p.jpg,,,,daikin_spot/201402/sub/brc1c1.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>FDP140B x 1</td></tr><tr><th>室外機</th><td>RSP140P x 1</td></tr><tr><th>リモコン</th><td>BRC1C1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SSDP140B,,1,,1693440,1693440,,0,,,,,,,,,,,,,,,,,"700114,710068",
800010,,,,,,,,1,,ダイキン 天井吊ダクト形  10馬力 シングル スポットエアコン セパレート形  クリスプ,1,,"SSDP280B｜ダイキン スポットエアコン 天井吊ダクト形 10馬力 シングル 三相200V ワイヤード セパレート形 クリスプ｜販売価格:2,697,840｜「東京空調センター」では、スポットエアコンエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン スポットエアコン<br>天井吊ダクト形 10馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ,SSDP280B,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_spot/201402/ssdp280b.jpg,"ダイキン スポットエアコン<br>天井吊ダクト形 10馬力 シングル<br>三相200V ワイヤード<br>セパレート形 クリスプ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_spot/201402/ssdp280b.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_spot/201402/sub/rsp280p.jpg,,,,daikin_spot/201402/sub/brc1c1.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>FDP280B x 1</td></tr><tr><th>室外機</th><td>RSP280P x 1</td></tr><tr><th>リモコン</th><td>BRC1C1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SSDP280B,,1,,2697840,2697840,,0,,,,,,,,,,,,,,,,,"700114,710071",
