商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
700001,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 2馬力 シングル  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP2F｜ダイキン 中温用エアコン 天井カセット4方向 2馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:548,640｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP2F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp2f.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp2f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp2f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP2F x 1</td></tr><tr><th>室外機</th><td>LRYP2F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP2F,,1,,548640,548640,,0,,,,,,,,,,,,,,,,,"400111,410004",
700002,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 3馬力 シングル  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP3F｜ダイキン 中温用エアコン 天井カセット4方向 3馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:677,160｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP3F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp3f.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp3f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp3f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP3F x 1</td></tr><tr><th>室外機</th><td>LRYP3F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP3F,,1,,677160,677160,,0,,,,,,,,,,,,,,,,,"400111,410007",
700003,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 4馬力 シングル  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP4F｜ダイキン 中温用エアコン 天井カセット4方向 4馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:789,480｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP4F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp4f.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp4f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp4f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP4F x 1</td></tr><tr><th>室外機</th><td>LRYP4F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP4F,,1,,789480,789480,,0,,,,,,,,,,,,,,,,,"400111,410008",
700004,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 5馬力 シングル  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP5F｜ダイキン 中温用エアコン 天井カセット4方向 5馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:930,960｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP5F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp5f.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp5f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp5f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP5F x 1</td></tr><tr><th>室外機</th><td>LRYP5F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP5F,,1,,930960,930960,,0,,,,,,,,,,,,,,,,,"400111,410009",
700005,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 5馬力 同時ツイン  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP5FD｜ダイキン 中温用エアコン 天井カセット4方向 5馬力 同時ツイン 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:1,135,836｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP5FD,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp5fd.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp5fd.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp5f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP3F x 2</td></tr><tr><th>室外機</th><td>LRYP5F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr><tr><th>分岐管</th><td>KHRP58P216T x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP5FD,,1,,1135836,1135836,,0,,,,,,,,,,,,,,,,,"400111,410029",
700006,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 8馬力 同時ツイン  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP8FD｜ダイキン 中温用エアコン 天井カセット4方向 8馬力 同時ツイン 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:1,533,600｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP8FD,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp8fd.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp8fd.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp8f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP4F x 2</td></tr><tr><th>室外機</th><td>LRYP8F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr><tr><th>分岐管</th><td>KHRP58R228T x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP8FD,,1,,1533600,1533600,,0,,,,,,,,,,,,,,,,,"400111,410031",
700007,,,,,,,,1,,ダイキン  中温用エアコン  天井カセット4方向 10馬力 同時ツイン  中温用インバーターZEAS ラウンドフロー,1,,"LSGYP10FD｜ダイキン 中温用エアコン 天井カセット4方向 10馬力 同時ツイン 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:1,855,440｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGYP10FD,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin_chutei/201306/lsgyp10fd.jpg,"ダイキン 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",daikin_chutei/201306/lsgyp10fd.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lryp10f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP5F x 2</td></tr><tr><th>室外機</th><td>LRYP10F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr><tr><th>分岐管</th><td>KHRP58R228T x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGYP10FD,,1,,1855440,1855440,,0,,,,,,,,,,,,,,,,,"400111,410032",
700008,,,,,,,,1,,ダイキン  冷房専用エアコン  天井カセット4方向 2馬力 シングル  冷房専用 ラウンドフロー,1,,"LSGHP2F｜ダイキン 中温用エアコン 冷房専用 天井カセット4方向 2馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:502,200｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン 冷房専用<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGHP2F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",daikin_chutei/201306/lsghp2f.jpg,"ダイキン 中温用エアコン 冷房専用<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",daikin_chutei/201306/lsghp2f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lrhp2f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP2F x 1</td></tr><tr><th>室外機</th><td>LRHP2F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGHP2F,,1,,502200,502200,,0,,,,,,,,,,,,,,,,,"400111,410004",
700009,,,,,,,,1,,ダイキン  冷房専用エアコン  天井カセット4方向 3馬力 シングル  冷房専用 ラウンドフロー,1,,"LSGHP3F｜ダイキン 中温用エアコン 冷房専用 天井カセット4方向 3馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:608,040｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン 冷房専用<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGHP3F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",daikin_chutei/201306/lsghp3f.jpg,"ダイキン 中温用エアコン 冷房専用<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",daikin_chutei/201306/lsghp3f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lrhp3f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP3F x 1</td></tr><tr><th>室外機</th><td>LRHP3F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGHP3F,,1,,608040,608040,,0,,,,,,,,,,,,,,,,,"400111,410007",
700010,,,,,,,,1,,ダイキン  冷房専用エアコン  天井カセット4方向 4馬力 シングル  冷房専用 ラウンドフロー,1,,"LSGHP4F｜ダイキン 中温用エアコン 冷房専用 天井カセット4方向 4馬力 シングル 三相200V ワイヤード 中温用インバーターZEAS デマンドオフサイクル｜販売価格:710,640｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 中温用エアコン 冷房専用<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル,LSGHP4F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",daikin_chutei/201306/lsghp4f.jpg,"ダイキン 中温用エアコン 冷房専用<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温用インバーターZEAS デマンドオフサイクル<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",daikin_chutei/201306/lsghp4f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_chutei/201306/sub/lrhp4f.jpg,,,,daikin_chutei/201306/sub/brc1e3.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>LGYP4F x 1</td></tr><tr><th>室外機</th><td>LRHP4F x 1</td></tr><tr><th>パネル</th><td>BYCP160KAF x 1</td></tr><tr><th>リモコン</th><td>BRC1E3 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,LSGHP4F,,1,,710640,710640,,0,,,,,,,,,,,,,,,,,"400111,410008",
