商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
700184,,,,,,,,2,,東芝 中温用エアコン 天井カセット4方向 2馬力 シングル 中温パッケージエアコン,1,,"RCAU211D｜東芝 中温用エアコン 天井カセット4方向 2馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:659,880｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAU211D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcau211d.jpg,"東芝 中温用エアコン<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcau211d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap21hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIU-CAP21HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP21HD x 1</td></tr><tr><th>パネル</th><td>RBC-U21PG(W)-2 x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAU211D,,1,,659880,659880,,0,,,,,,,,,,,,,,,,,"400121,410004",
700185,,,,,,,,2,,東芝 中温用エアコン 天井カセット4方向 3馬力 シングル 中温パッケージエアコン,1,,"RCAU311D｜東芝 中温用エアコン 天井カセット4方向 3馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:793,800｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAU311D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcau311d.jpg,"東芝 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcau311d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap31hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIU-CAP31HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP31HD x 1</td></tr><tr><th>パネル</th><td>RBC-U21PG(W)-2 x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAU311D,,1,,793800,793800,,0,,,,,,,,,,,,,,,,,"400121,410007",
700186,,,,,,,,2,,東芝 中温用エアコン 天井カセット4方向 4馬力 シングル 中温パッケージエアコン,1,,"RCAU411D｜東芝 中温用エアコン 天井カセット4方向 4馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:951,480｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAU411D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcau411d.jpg,"東芝 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcau411d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap41hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIU-CAP41HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP41HD x 1</td></tr><tr><th>パネル</th><td>RBC-U21PG(W)-2 x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAU411D,,1,,951480,951480,,0,,,,,,,,,,,,,,,,,"400121,410008",
700187,,,,,,,,2,,東芝 中温用エアコン 天井カセット4方向 5馬力 シングル 中温パッケージエアコン,1,,"RCAU511D｜東芝 中温用エアコン 天井カセット4方向 5馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,130,760｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAU511D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcau511d.jpg,"東芝 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcau511d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap51hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIU-CAP51HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP51HD x 1</td></tr><tr><th>パネル</th><td>RBC-U21PG(W)-2 x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAU511D,,1,,1130760,1130760,,0,,,,,,,,,,,,,,,,,"400121,410009",
700188,,,,,,,,2,,東芝 中温用エアコン 天井カセット4方向 5馬力 同時ツイン 中温パッケージエアコン,1,,"RCA2U511D｜東芝 中温用エアコン 天井カセット4方向 5馬力 同時ツイン 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,346,760｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン,RCA2U511D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rca2u511d.jpg,"東芝 中温用エアコン<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rca2u511d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap51hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIU-CAP31HD x 2</td></tr><tr><th>室外機</th><td>ROP-CAP51HD x 1</td></tr><tr><th>パネル</th><td>RBC-U21PG(W)-2 x 2</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP50 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCA2U511D,,1,,1346760,1346760,,0,,,,,,,,,,,,,,,,,"400121,410029",
700189,,,,,,,,2,,東芝 中温用エアコン 天井吊形 2馬力 シングル 中温パッケージエアコン,1,,"RCAC211D｜東芝 中温用エアコン 天井吊形 2馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:586,440｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井吊形 2馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAC211D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcac211d.jpg,"東芝 中温用エアコン<br>天井吊形 2馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcac211d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap21hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIC-CAP21HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP21HD x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAC211D,,1,,586440,586440,,0,,,,,,,,,,,,,,,,,"400123,410084",
700190,,,,,,,,2,,東芝 中温用エアコン 天井吊形 3馬力 シングル 中温パッケージエアコン,1,,"RCAC311D｜東芝 中温用エアコン 天井吊形 3馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:717,120｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井吊形 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAC311D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcac311d.jpg,"東芝 中温用エアコン<br>天井吊形 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcac311d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap31hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIC-CAP31HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP31HD x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAC311D,,1,,717120,717120,,0,,,,,,,,,,,,,,,,,"400123,410087",
700191,,,,,,,,2,,東芝 中温用エアコン 天井吊形 4馬力 シングル 中温パッケージエアコン,1,,"RCAC411D｜東芝 中温用エアコン 天井吊形 4馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:860,760｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井吊形 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAC411D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcac411d.jpg,"東芝 中温用エアコン<br>天井吊形 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcac411d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap41hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIC-CAP41HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP41HD x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAC411D,,1,,860760,860760,,0,,,,,,,,,,,,,,,,,"400123,410088",
700192,,,,,,,,2,,東芝 中温用エアコン 天井吊形 5馬力 シングル 中温パッケージエアコン,1,,"RCAC511D｜東芝 中温用エアコン 天井吊形 5馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,028,160｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井吊形 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,RCAC511D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rcac511d.jpg,"東芝 中温用エアコン<br>天井吊形 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rcac511d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap51hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIC-CAP51HD x 1</td></tr><tr><th>室外機</th><td>ROP-CAP51HD x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCAC511D,,1,,1028160,1028160,,0,,,,,,,,,,,,,,,,,"400123,410089",
700193,,,,,,,,2,,東芝 中温用エアコン 天井吊形 5馬力 同時ツイン 中温パッケージエアコン,1,,"RCA2C511D｜東芝 中温用エアコン 天井吊形 5馬力 同時ツイン 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,193,400｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 中温用エアコン<br>天井吊形 5馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン,RCA2C511D,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba_chutei/201504/rca2c511d.jpg,"東芝 中温用エアコン<br>天井吊形 5馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba_chutei/201504/rca2c511d.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,toshiba_chutei/201504/sub/rop-cap51hd.jpg,,,,toshiba_chutei/201504/sub/rbc-amt32.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RIC-CAP31HD x 2</td></tr><tr><th>室外機</th><td>ROP-CAP51HD x 1</td></tr><tr><th>リモコン</th><td>RBC-AMT32 x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP50 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCA2C511D,,1,,1193400,1193400,,0,,,,,,,,,,,,,,,,,"400123,410109",
