商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
700068,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 2馬力 シングル 産業用中温型,1,,"RCI-AP50LVH2｜日立 中温用エアコン てんかせ4方向 2馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:665,280｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 2馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCI-AP50LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap50lvh2.jpg,"日立 中温用エアコン<br>てんかせ4方向 2馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap50lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap50lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP50KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP50LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP50LVH2,,1,,665280,665280,,0,,,,,,,,,,,,,,,,,"400141,410004",
700069,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 3馬力 シングル 産業用中温型,1,,"RCI-AP80LVH2｜日立 中温用エアコン てんかせ4方向 3馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:795,960｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 3馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCI-AP80LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap80lvh2.jpg,"日立 中温用エアコン<br>てんかせ4方向 3馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap80lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap80lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP80KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP80LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP80LVH2,,1,,795960,795960,,0,,,,,,,,,,,,,,,,,"400141,410007",
700070,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 4馬力 シングル 産業用中温型,1,,"RCI-AP112LVH2｜日立 中温用エアコン てんかせ4方向 4馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:934,200｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 4馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCI-AP112LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap112lvh2.jpg,"日立 中温用エアコン<br>てんかせ4方向 4馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap112lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap112lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP112KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP112LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP112LVH2,,1,,934200,934200,,0,,,,,,,,,,,,,,,,,"400141,410008",
700071,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 5馬力 シングル 産業用中温型,1,,"RCI-AP140LVH2｜日立 中温用エアコン てんかせ4方向 5馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:1,067,040｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 5馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCI-AP140LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap140lvh2.jpg,"日立 中温用エアコン<br>てんかせ4方向 5馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap140lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap140lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP140KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP140LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP140LVH2,,1,,1067040,1067040,,0,,,,,,,,,,,,,,,,,"400141,410009",
700072,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 5馬力 同時ツイン 産業用中温型,1,,"RCI-AP140LVHP2｜日立 中温用エアコン てんかせ4方向 5馬力 同時ツイン 三相200V ワイヤード 産業用中温型｜販売価格:1,318,680｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>産業用中温型,RCI-AP140LVHP2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap140lvhp2.jpg,"日立 中温用エアコン<br>てんかせ4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap140lvhp2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap140lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP71KLH1 x 2</td></tr><tr><th>室外機</th><td>RAS-AP140LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 2</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr><tr><th>分岐管</th><td>TW-NP16A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP140LVHP2,,1,,1318680,1318680,,0,,,,,,,,,,,,,,,,,"400141,410029",
700073,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 8馬力 同時ツイン 産業用中温型,1,,"RCI-AP224LVHP2｜日立 中温用エアコン てんかせ4方向 8馬力 同時ツイン 三相200V ワイヤード 産業用中温型｜販売価格:1,716,120｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>産業用中温型,RCI-AP224LVHP2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap224lvhp2.jpg,"日立 中温用エアコン<br>てんかせ4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap224lvhp2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap224lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP112KLH1 x 2</td></tr><tr><th>室外機</th><td>RAS-AP224LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 2</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr><tr><th>分岐管</th><td>TW-NP28A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP224LVHP2,,1,,1716120,1716120,,0,,,,,,,,,,,,,,,,,"400141,410031",
700074,,,,,,,,4,,日立 中温用エアコン てんかせ4方向 10馬力 同時ツイン 産業用中温型,1,,"RCI-AP280LVHP2｜日立 中温用エアコン てんかせ4方向 10馬力 同時ツイン 三相200V ワイヤード 産業用中温型｜販売価格:2,028,240｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>産業用中温型,RCI-AP280LVHP2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rci-ap280lvhp2.jpg,"日立 中温用エアコン<br>てんかせ4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rci-ap280lvhp2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap280lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCI-AP140KLH1 x 2</td></tr><tr><th>室外機</th><td>RAS-AP280LVH1 x 1</td></tr><tr><th>パネル</th><td>P-AP160NA1 x 2</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr><tr><th>分岐管</th><td>TW-NP28A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCI-AP280LVHP2,,1,,2028240,2028240,,0,,,,,,,,,,,,,,,,,"400141,410032",
700075,,,,,,,,4,,日立 中温用エアコン てんかせ2方向 3馬力 シングル 産業用中温型,1,,"RCID-AP80LVH2｜日立 中温用エアコン てんかせ2方向 3馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:789,480｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ2方向 3馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCID-AP80LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rcid-ap80lvh2.jpg,"日立 中温用エアコン<br>てんかせ2方向 3馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rcid-ap80lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap80lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCID-AP80KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP80LVH1 x 1</td></tr><tr><th>パネル</th><td>P-NP160DNA x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCID-AP80LVH2,,1,,789480,789480,,0,,,,,,,,,,,,,,,,,"400142,410047",
700076,,,,,,,,4,,日立 中温用エアコン てんかせ2方向 4馬力 シングル 産業用中温型,1,,"RCID-AP112LVH2｜日立 中温用エアコン てんかせ2方向 4馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:928,800｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ2方向 4馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCID-AP112LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rcid-ap112lvh2.jpg,"日立 中温用エアコン<br>てんかせ2方向 4馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rcid-ap112lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap112lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCID-AP112KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP112LVH1 x 1</td></tr><tr><th>パネル</th><td>P-NP160DNA x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCID-AP112LVH2,,1,,928800,928800,,0,,,,,,,,,,,,,,,,,"400142,410048",
700077,,,,,,,,4,,日立 中温用エアコン てんかせ2方向 5馬力 シングル 産業用中温型,1,,"RCID-AP140LVH2｜日立 中温用エアコン てんかせ2方向 5馬力 シングル 三相200V ワイヤード 産業用中温型｜販売価格:1,063,800｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",日立 中温用エアコン<br>てんかせ2方向 5馬力 シングル<br>三相200V ワイヤード<br>産業用中温型,RCID-AP140LVH2,"ニュートラルホワイト,アッシュベージュ,オークグレー,ブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",hitachi_chutei/201506/rcid-ap140lvh2.jpg,"日立 中温用エアコン<br>てんかせ2方向 5馬力 シングル<br>三相200V ワイヤード<br>産業用中温型<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",hitachi_chutei/201506/rcid-ap140lvh2.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_chutei/201506/sub/ras-ap140lvh1.jpg,,,,hitachi_chutei/201506/sub/pc-arf1.jpg,,,,hitachi_chutei/201506/sub/panel1.jpg,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RCID-AP140KLH1 x 1</td></tr><tr><th>室外機</th><td>RAS-AP140LVH1 x 1</td></tr><tr><th>パネル</th><td>P-NP160DNA x 1</td></tr><tr><th>リモコン</th><td>PC-ARF1 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RCID-AP140LVH2,,1,,1063800,1063800,,0,,,,,,,,,,,,,,,,,"400142,410049",
