商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
600251,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 6畳程度 シングル RXシリーズ,1,,"S22STRXS-W｜ダイキン ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:367,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S22STRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s22strxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s22strxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r22srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F22STRXS-W x 1</td></tr><tr><th>室外機</th><td>R22SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S22STRXS-W,,1,,367200,367200,,0,,,,,,,,,,,,,,,,,"301011,310003",
600252,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 6畳程度 シングル RXシリーズ,1,,"S22STRXS-C｜ダイキン ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:367,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S22STRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s22strxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s22strxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r22srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F22STRXS-C x 1</td></tr><tr><th>室外機</th><td>R22SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S22STRXS-C,,1,,367200,367200,,0,,,,,,,,,,,,,,,,,"301011,310003",
600253,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 8畳程度 シングル RXシリーズ,1,,"S25STRXS-W｜ダイキン ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:410,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S25STRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s25strxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s25strxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r25srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F25STRXS-W x 1</td></tr><tr><th>室外機</th><td>R25SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S25STRXS-W,,1,,410400,410400,,0,,,,,,,,,,,,,,,,,"301011,310004",
600254,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 8畳程度 シングル RXシリーズ,1,,"S25STRXS-C｜ダイキン ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:410,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S25STRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s25strxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s25strxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r25srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F25STRXS-C x 1</td></tr><tr><th>室外機</th><td>R25SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S25STRXS-C,,1,,410400,410400,,0,,,,,,,,,,,,,,,,,"301011,310004",
600255,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 10畳程度 シングル RXシリーズ,1,,"S28STRXS-W｜ダイキン ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:453,600｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S28STRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s28strxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s28strxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r28srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F28STRXS-W x 1</td></tr><tr><th>室外機</th><td>R28SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S28STRXS-W,,1,,453600,453600,,0,,,,,,,,,,,,,,,,,"301011,310005",
600256,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 10畳程度 シングル RXシリーズ,1,,"S28STRXS-C｜ダイキン ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:453,600｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S28STRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s28strxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s28strxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r28srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F28STRXS-C x 1</td></tr><tr><th>室外機</th><td>R28SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S28STRXS-C,,1,,453600,453600,,0,,,,,,,,,,,,,,,,,"301011,310005",
600257,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 12畳程度 シングル RXシリーズ,1,,"S36STRXS-W｜ダイキン ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:475,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S36STRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s36strxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s36strxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r36srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F36STRXS-W x 1</td></tr><tr><th>室外機</th><td>R36SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S36STRXS-W,,1,,475200,475200,,0,,,,,,,,,,,,,,,,,"301011,310006",
600258,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 12畳程度 シングル RXシリーズ,1,,"S36STRXS-C｜ダイキン ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:475,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S36STRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s36strxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s36strxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r36srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F36STRXS-C x 1</td></tr><tr><th>室外機</th><td>R36SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S36STRXS-C,,1,,475200,475200,,0,,,,,,,,,,,,,,,,,"301011,310006",
600259,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 14畳程度 シングル RXシリーズ,1,,"S40STRXS-W｜ダイキン ルームエアコン 壁掛形 14畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:507,600｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S40STRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s40strxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s40strxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r40srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F40STRXS-W x 1</td></tr><tr><th>室外機</th><td>R40SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S40STRXS-W,,1,,507600,507600,,0,,,,,,,,,,,,,,,,,"301011,310007",
600260,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 14畳程度 シングル RXシリーズ,1,,"S40STRXS-C｜ダイキン ルームエアコン 壁掛形 14畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:507,600｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S40STRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201504/s40strxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201504/s40strxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201504/sub/r40srxs.jpg,,,,daikin_room/201504/sub/arc472a31.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F40STRXS-C x 1</td></tr><tr><th>室外機</th><td>R40SRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A31 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S40STRXS-C,,1,,507600,507600,,0,,,,,,,,,,,,,,,,,"301011,310007",
