商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
600433,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 6畳程度 シングル RXシリーズ,1,,"S22TTRXS-W｜ダイキン ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:378,000｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S22TTRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s22ttrxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s22ttrxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r22trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F22TTRXS-W x 1</td></tr><tr><th>室外機</th><td>R22TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S22TTRXS-W,,1,,378000,378000,,0,,,,,,,,,,,,,,,,,"301011,310003",
600434,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 6畳程度 シングル RXシリーズ,1,,"S22TTRXS-C｜ダイキン ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:378,000｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S22TTRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s22ttrxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s22ttrxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r22trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F22TTRXS-C x 1</td></tr><tr><th>室外機</th><td>R22TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S22TTRXS-C,,1,,378000,378000,,0,,,,,,,,,,,,,,,,,"301011,310003",
600435,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 8畳程度 シングル RXシリーズ,1,,"S25TTRXS-W｜ダイキン ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:421,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S25TTRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s25ttrxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s25ttrxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r25trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F25TTRXS-W x 1</td></tr><tr><th>室外機</th><td>R25TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S25TTRXS-W,,1,,421200,421200,,0,,,,,,,,,,,,,,,,,"301011,310004",
600436,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 8畳程度 シングル RXシリーズ,1,,"S25TTRXS-C｜ダイキン ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:421,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S25TTRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s25ttrxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s25ttrxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r25trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F25TTRXS-C x 1</td></tr><tr><th>室外機</th><td>R25TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S25TTRXS-C,,1,,421200,421200,,0,,,,,,,,,,,,,,,,,"301011,310004",
600437,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 10畳程度 シングル RXシリーズ,1,,"S28TTRXS-W｜ダイキン ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:464,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S28TTRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s28ttrxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s28ttrxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r28trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F28TTRXS-W x 1</td></tr><tr><th>室外機</th><td>R28TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S28TTRXS-W,,1,,464400,464400,,0,,,,,,,,,,,,,,,,,"301011,310005",
600438,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 10畳程度 シングル RXシリーズ,1,,"S28TTRXS-C｜ダイキン ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:464,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S28TTRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s28ttrxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s28ttrxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r28trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F28TTRXS-C x 1</td></tr><tr><th>室外機</th><td>R28TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S28TTRXS-C,,1,,464400,464400,,0,,,,,,,,,,,,,,,,,"301011,310005",
600439,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 12畳程度 シングル RXシリーズ,1,,"S36TTRXS-W｜ダイキン ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:486,000｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S36TTRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s36ttrxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s36ttrxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r36trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F36TTRXS-W x 1</td></tr><tr><th>室外機</th><td>R36TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S36TTRXS-W,,1,,486000,486000,,0,,,,,,,,,,,,,,,,,"301011,310006",
600440,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 12畳程度 シングル RXシリーズ,1,,"S36TTRXS-C｜ダイキン ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:486,000｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S36TTRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s36ttrxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s36ttrxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r36trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F36TTRXS-C x 1</td></tr><tr><th>室外機</th><td>R36TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S36TTRXS-C,,1,,486000,486000,,0,,,,,,,,,,,,,,,,,"301011,310006",
600441,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 14畳程度 シングル RXシリーズ,1,,"S40TTRXS-W｜ダイキン ルームエアコン 壁掛形 14畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:518,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S40TTRXS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s40ttrxs-w.jpg,"ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s40ttrxs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r40trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F40TTRXS-W x 1</td></tr><tr><th>室外機</th><td>R40TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S40TTRXS-W,,1,,518400,518400,,0,,,,,,,,,,,,,,,,,"301011,310007",
600442,,,,,,,,1,,ダイキン ルームエアコン 壁掛形 14畳程度 シングル RXシリーズ,1,,"S40TTRXS-C｜ダイキン ルームエアコン 壁掛形 14畳程度 シングル 単相100V ワイヤレス 室内電源 RXシリーズ｜販売価格:518,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ,S40TTRXS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_room/201602/s40ttrxs-c.jpg,"ダイキン ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_room/201602/s40ttrxs-c.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_room/201602/sub/r40trxs.jpg,,,,daikin_room/201602/sub/arc472a41.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>F40TTRXS-C x 1</td></tr><tr><th>室外機</th><td>R40TRXS x 1</td></tr><tr><th>リモコン</th><td>ARC472A41 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,S40TTRXS-C,,1,,518400,518400,,0,,,,,,,,,,,,,,,,,"301011,310007",
