商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
600158,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 10畳程度 シングル HXシリーズ,1,,"XCS-HX285C-C/S｜パナソニック ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX285C-C-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx285c-c-s.jpg,"パナソニック ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx285c-c-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx285c.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX285C-C x 1</td></tr><tr><th>室外機</th><td>CU-HX285C x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX285C-C/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310005",
600159,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 10畳程度 シングル HXシリーズ,1,,"XCS-HX285C-W/S｜パナソニック ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX285C-W-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx285c-w-s.jpg,"パナソニック ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx285c-w-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx285c.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX285C-W x 1</td></tr><tr><th>室外機</th><td>CU-HX285C x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX285C-W/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310005",
600160,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 12畳程度 シングル HXシリーズ,1,,"XCS-HX365C2-C/S｜パナソニック ルームエアコン 壁掛形 12畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX365C2-C-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx365c2-c-s.jpg,"パナソニック ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx365c2-c-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx365c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX365C2-C x 1</td></tr><tr><th>室外機</th><td>CU-HX365C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX365C2-C/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310006",
600161,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 12畳程度 シングル HXシリーズ,1,,"XCS-HX365C2-W/S｜パナソニック ルームエアコン 壁掛形 12畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX365C2-W-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx365c2-w-s.jpg,"パナソニック ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx365c2-w-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx365c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX365C2-W x 1</td></tr><tr><th>室外機</th><td>CU-HX365C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX365C2-W/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310006",
600162,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 14畳程度 シングル HXシリーズ,1,,"XCS-HX405C2-C/S｜パナソニック ルームエアコン 壁掛形 14畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX405C2-C-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx405c2-c-s.jpg,"パナソニック ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx405c2-c-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx405c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX405C2-C x 1</td></tr><tr><th>室外機</th><td>CU-HX405C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX405C2-C/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310007",
600163,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 14畳程度 シングル HXシリーズ,1,,"XCS-HX405C2-W/S｜パナソニック ルームエアコン 壁掛形 14畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX405C2-W-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx405c2-w-s.jpg,"パナソニック ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx405c2-w-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx405c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX405C2-W x 1</td></tr><tr><th>室外機</th><td>CU-HX405C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX405C2-W/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310007",
600164,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 18畳程度 シングル HXシリーズ,1,,"XCS-HX565C2-C/S｜パナソニック ルームエアコン 壁掛形 18畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX565C2-C-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx565c2-c-s.jpg,"パナソニック ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx565c2-c-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx565c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX565C2-C x 1</td></tr><tr><th>室外機</th><td>CU-HX565C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX565C2-C/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310014",
600165,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 18畳程度 シングル HXシリーズ,1,,"XCS-HX565C2-W/S｜パナソニック ルームエアコン 壁掛形 18畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX565C2-W-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx565c2-w-s.jpg,"パナソニック ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx565c2-w-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx565c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX565C2-W x 1</td></tr><tr><th>室外機</th><td>CU-HX565C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX565C2-W/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310014",
600166,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 20畳程度 シングル HXシリーズ,1,,"XCS-HX635C2-C/S｜パナソニック ルームエアコン 壁掛形 20畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX635C2-C-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx635c2-c-s.jpg,"パナソニック ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx635c2-c-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx635c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX635C2-C x 1</td></tr><tr><th>室外機</th><td>CU-HX635C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX635C2-C/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310016",
600167,,,,,,,,6,,パナソニック ルームエアコン 壁掛形 20畳程度 シングル HXシリーズ,1,,"XCS-HX635C2-W/S｜パナソニック ルームエアコン 壁掛形 20畳程度 シングル 単相200V ワイヤレス 室内電源 HXシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",パナソニック ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ,XCS-HX635C2-W-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_room/201507/xcs-hx635c2-w-s.jpg,"パナソニック ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 HXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_room/201507/xcs-hx635c2-w-s.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_room/201507/sub/cu-hx635c2.jpg,,,,panasonic_room/201507/sub/hx-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>CS-HX635C2-W x 1</td></tr><tr><th>室外機</th><td>CU-HX635C2 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,XCS-HX635C2-W/S,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301061,310016",
