商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
600415,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 6畳程度 シングル SSシリーズ,1,,"SRK22SS-W｜三菱重工 ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 SSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ,SRK22SS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk22ss-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk22ss-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src22ss.jpg,,,,jyuko_room/201507/sub/ss-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK22SS-W x 1</td></tr><tr><th>室外機</th><td>SRC22SS x 1</td></tr><tr><th>リモコン</th><td>見てみてリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK22SS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310003",
600416,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 8畳程度 シングル SSシリーズ,1,,"SRK25SS-W｜三菱重工 ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 SSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ,SRK25SS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk25ss-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk25ss-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src25ss.jpg,,,,jyuko_room/201507/sub/ss-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK25SS-W x 1</td></tr><tr><th>室外機</th><td>SRC25SS x 1</td></tr><tr><th>リモコン</th><td>見てみてリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK25SS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310004",
600417,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 10畳程度 シングル SSシリーズ,1,,"SRK28SS-W｜三菱重工 ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 SSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ,SRK28SS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk28ss-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk28ss-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src28ss.jpg,,,,jyuko_room/201507/sub/ss-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK28SS-W x 1</td></tr><tr><th>室外機</th><td>SRC28SS x 1</td></tr><tr><th>リモコン</th><td>見てみてリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK28SS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310005",
600418,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 12畳程度 シングル SSシリーズ,1,,"SRK36SS-W｜三菱重工 ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 SSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ,SRK36SS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk36ss-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk36ss-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src36ss.jpg,,,,jyuko_room/201507/sub/ss-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK36SS-W x 1</td></tr><tr><th>室外機</th><td>SRC36SS x 1</td></tr><tr><th>リモコン</th><td>見てみてリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK36SS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310006",
600419,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 14畳程度 シングル SSシリーズ,1,,"SRK40SS2-W｜三菱重工 ルームエアコン 壁掛形 14畳程度 シングル 単相200V ワイヤレス 室内電源 SSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SSシリーズ,SRK40SS2-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk40ss2-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk40ss2-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src40ss2.jpg,,,,jyuko_room/201507/sub/ss-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK40SS2-W x 1</td></tr><tr><th>室外機</th><td>SRC40SS2 x 1</td></tr><tr><th>リモコン</th><td>見てみてリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK40SS2-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310007",
600420,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 18畳程度 シングル SSシリーズ,1,,"SRK56SS2-W｜三菱重工 ルームエアコン 壁掛形 18畳程度 シングル 単相200V ワイヤレス 室内電源 SSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SSシリーズ,SRK56SS2-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk56ss2-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk56ss2-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src56ss2.jpg,,,,jyuko_room/201507/sub/ss-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK56SS2-W x 1</td></tr><tr><th>室外機</th><td>SRC56SS2 x 1</td></tr><tr><th>リモコン</th><td>見てみてリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK56SS2-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310014",
600421,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 6畳程度 シングル RSシリーズ,1,,"SRK22RS-W｜三菱重工 ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 RSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ,SRK22RS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk22rs-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk22rs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src22rs.jpg,,,,jyuko_room/201507/sub/rs-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK22RS-W x 1</td></tr><tr><th>室外機</th><td>SRC22RS x 1</td></tr><tr><th>リモコン</th><td>シンプルリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK22RS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310003",
600422,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 8畳程度 シングル RSシリーズ,1,,"SRK25RS-W｜三菱重工 ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 RSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ,SRK25RS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk25rs-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk25rs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src25rs.jpg,,,,jyuko_room/201507/sub/rs-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK25RS-W x 1</td></tr><tr><th>室外機</th><td>SRC25RS x 1</td></tr><tr><th>リモコン</th><td>シンプルリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK25RS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310004",
600423,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 10畳程度 シングル RSシリーズ,1,,"SRK28RS-W｜三菱重工 ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 RSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ,SRK28RS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk28rs-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk28rs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src28rs.jpg,,,,jyuko_room/201507/sub/rs-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK28RS-W x 1</td></tr><tr><th>室外機</th><td>SRC28RS x 1</td></tr><tr><th>リモコン</th><td>シンプルリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK28RS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310005",
600424,,,,,,,,5,,三菱重工 ルームエアコン 壁掛形 12畳程度 シングル RSシリーズ,1,,"SRK36RS-W｜三菱重工 ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 RSシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ,SRK36RS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",jyuko_room/201507/srk36rs-w.jpg,"三菱重工 ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 RSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",jyuko_room/201507/srk36rs-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,jyuko_room/201507/sub/src36rs.jpg,,,,jyuko_room/201507/sub/rs-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>SRK36RS-W x 1</td></tr><tr><th>室外機</th><td>SRC36RS x 1</td></tr><tr><th>リモコン</th><td>シンプルリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,SRK36RS-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301051,310006",
