商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
600373,,,,,,,,2,,東芝 ルームエアコン 壁掛形 6畳程度 シングル SDRHシリーズ,1,,"RAS-225SDRH-W｜東芝 ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-225SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-225sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-225sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-225sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-225SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-225SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-225SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310003",
600374,,,,,,,,2,,東芝 ルームエアコン 壁掛形 8畳程度 シングル SDRHシリーズ,1,,"RAS-255SDRH-W｜東芝 ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-255SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-255sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-255sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-255sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-255SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-255SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-255SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310004",
600375,,,,,,,,2,,東芝 ルームエアコン 壁掛形 10畳程度 シングル SDRHシリーズ,1,,"RAS-285SDRH-W｜東芝 ルームエアコン 壁掛形 10畳程度 シングル 単相100V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-285SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-285sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 10畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-285sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-285sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-285SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-285SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-285SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310005",
600376,,,,,,,,2,,東芝 ルームエアコン 壁掛形 12畳程度 シングル SDRHシリーズ,1,,"RAS-365SDRH-W｜東芝 ルームエアコン 壁掛形 12畳程度 シングル 単相100V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-365SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-365sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 12畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-365sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-365sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-365SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-365SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-365SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310006",
600377,,,,,,,,2,,東芝 ルームエアコン 壁掛形 14畳程度 シングル SDRHシリーズ,1,,"RAS-405SDRH-W｜東芝 ルームエアコン 壁掛形 14畳程度 シングル 単相100V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-405SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-405sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-405sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-405sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-405SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-405SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-405SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310007",
600378,,,,,,,,2,,東芝 ルームエアコン 壁掛形 14畳程度 シングル SDRHシリーズ,1,,"RAS-406SDRH-W｜東芝 ルームエアコン 壁掛形 14畳程度 シングル 単相200V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-406SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-406sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-406sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-406sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-406SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-406SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-406SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310007",
600379,,,,,,,,2,,東芝 ルームエアコン 壁掛形 18畳程度 シングル SDRHシリーズ,1,,"RAS-566SDRH-W｜東芝 ルームエアコン 壁掛形 18畳程度 シングル 単相200V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-566SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-566sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-566sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-566sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-566SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-566SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-566SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310014",
600380,,,,,,,,2,,東芝 ルームエアコン 壁掛形 20畳程度 シングル SDRHシリーズ,1,,"RAS-636SDRH-W｜東芝 ルームエアコン 壁掛形 20畳程度 シングル 単相200V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-636SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-636sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-636sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-636sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-636SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-636SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-636SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310016",
600381,,,,,,,,2,,東芝 ルームエアコン 壁掛形 23畳程度 シングル SDRHシリーズ,1,,"RAS-716SDRH-W｜東芝 ルームエアコン 壁掛形 23畳程度 シングル 単相200V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 23畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-716SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-716sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 23畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-716sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-716sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-716SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-716SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-716SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310018",
600382,,,,,,,,2,,東芝 ルームエアコン 壁掛形 26畳程度 シングル SDRHシリーズ,1,,"RAS-806SDRH-W｜東芝 ルームエアコン 壁掛形 26畳程度 シングル 単相200V ワイヤレス 室内電源 SDRHシリーズ｜販売価格:999,999｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 ルームエアコン<br>壁掛形 26畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ,RAS-806SDRH-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba_room/201507/ras-806sdrh-w.jpg,"東芝 ルームエアコン<br>壁掛形 26畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 SDRHシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba_room/201507/ras-806sdrh-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,toshiba_room/201507/sub/ras-806sadr.jpg,,,,toshiba_room/201507/sub/sdrh-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>RAS-806SDRH(W) x 1</td></tr><tr><th>室外機</th><td>RAS-806SADR x 1</td></tr><tr><th>リモコン</th><td>ナビリモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,RAS-806SDRH-W,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"301021,310020",
