商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
45230,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 1.5馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU40BCV｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 1.5馬力 シングル 単相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:812,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 1.5馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU40BCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu40bcv.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 1.5馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu40bcv.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU40BCVの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP40DG x 1</td></tr><tr><th>室外機</th><td>RSRP40BCV x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU40BCV,,1,,876960,876960,,0,,,,,,,,,,,,,,,,,"100125,110561",
45231,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 1.5馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU40BCT｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 1.5馬力 シングル 三相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:812,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 1.5馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU40BCT,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu40bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 1.5馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu40bct.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU40BCTの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP40DG x 1</td></tr><tr><th>室外機</th><td>RSRP40BCT x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU40BCT,,1,,876960,876960,,0,,,,,,,,,,,,,,,,,"100125,110561",
45232,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 2馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU50BCV｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 2馬力 シングル 単相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:914,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU50BCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu50bcv.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu50bcv.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU50BCVの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP50DG x 1</td></tr><tr><th>室外機</th><td>RSRP50BCV x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU50BCV,,1,,987120,987120,,0,,,,,,,,,,,,,,,,,"100125,110563",
45233,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 2馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU50BCT｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 2馬力 シングル 三相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:914,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU50BCT,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu50bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu50bct.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU50BCTの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP50DG x 1</td></tr><tr><th>室外機</th><td>RSRP50BCT x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU50BCT,,1,,987120,987120,,0,,,,,,,,,,,,,,,,,"100125,110563",
45234,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 2.5馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU63BCV｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 2.5馬力 シングル 単相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:1,018,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2.5馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU63BCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu63bcv.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2.5馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu63bcv.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU63BCVの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP63DG x 1</td></tr><tr><th>室外機</th><td>RSRP63BCV x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU63BCV,,1,,1099440,1099440,,0,,,,,,,,,,,,,,,,,"100125,110565",
45235,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 2.5馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU63BCT｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 2.5馬力 シングル 三相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:1,018,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2.5馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU63BCT,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu63bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 2.5馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu63bct.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU63BCTの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP63DG x 1</td></tr><tr><th>室外機</th><td>RSRP63BCT x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU63BCT,,1,,1099440,1099440,,0,,,,,,,,,,,,,,,,,"100125,110565",
45236,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 3馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU80BCV｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 3馬力 シングル 単相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:1,098,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU80BCV,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu80bcv.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 シングル<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu80bcv.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU80BCVの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP80DG x 1</td></tr><tr><th>室外機</th><td>RSRP80BCV x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU80BCV,,1,,1185840,1185840,,0,,,,,,,,,,,,,,,,,"100125,110566",
45237,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 3馬力 シングル 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU80BCT｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 3馬力 シングル 三相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:1,098,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU80BCT,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu80bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 シングル<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu80bct.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU80BCTの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP80DG x 1</td></tr><tr><th>室外機</th><td>RSRP80BCT x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU80BCT,,1,,1185840,1185840,,0,,,,,,,,,,,,,,,,,"100125,110566",
45238,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 3馬力 同時ツイン 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU80BCVD｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 3馬力 同時ツイン 単相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:1,349,800｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 同時ツイン<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU80BCVD,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu80bcvd.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 同時ツイン<br>単相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu80bcvd.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU80BCVDの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP40DG x 2</td></tr><tr><th>室外機</th><td>RSRP80BCV x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr><tr><th>分岐管</th><td>KHRP58S211T x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU80BCVD,,1,,1457784,1457784,,0,,,,,,,,,,,,,,,,,"100125,110586",
45239,,,,,,,,1,ダイキン,ダイキン 天井吊形 スタイリッシュフロー 3馬力 同時ツイン 冷媒R32 FIVE STAR ZEAS,1,,"SSRHU80BCTD｜ダイキン 業務用エアコン 超省エネ 天井吊形 スタイリッシュフロー 3馬力 同時ツイン 三相200V ワイヤード 冷媒R32 FIVE STAR ZEAS｜販売価格:1,349,800｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 同時ツイン<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,SSRHU80BCTD,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201902/ssrhu80bctd.jpg,ダイキン 業務用エアコン 超省エネ<br>天井吊形 スタイリッシュフロー 3馬力 同時ツイン<br>三相200V ワイヤード 冷媒R32<br>FIVE STAR ZEAS,daikin/201902/ssrhu80bctd.jpg,,gdt,"<ul class=""set_comment_list""><li>※リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">SSRHU80BCTDの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHUP40DG x 2</td></tr><tr><th>室外機</th><td>RSRP80BCT x 1</td></tr><tr><th>リモコン</th><td>BRC1G2K x 1</td></tr><tr><th>分岐管</th><td>KHRP58S211T x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRHU80BCTD,,1,,1457784,1457784,,0,,,,,,,,,,,,,,,,,"100125,110586",
