商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
35093,,,,,,,,2,東芝,東芝 天井カセット4方向 3馬力 シングル ウルトラパワーエコ,1,,"RUXA08012JX｜東芝 業務用エアコン 超省エネ 天井カセット4方向 3馬力 シングル 単相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,019,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤレス<br>ウルトラパワーエコ,RUXA08012JX,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxa08012jx.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxa08012jx.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP801H x 1</td></tr><tr><th>室外機</th><td>ROA-RP802HXJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA08012JX,,1,,1100520,1100520,,0,,,,,,,,,,,,,,,,,"100141,110006",
35094,,,,,,,,2,東芝,東芝 天井カセット4方向 3馬力 シングル ウルトラパワーエコ,1,,"RUXA08012X｜東芝 業務用エアコン 超省エネ 天井カセット4方向 3馬力 シングル 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,019,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RUXA08012X,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxa08012x.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxa08012x.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP801H x 1</td></tr><tr><th>室外機</th><td>ROA-RP802HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA08012X,,1,,1100520,1100520,,0,,,,,,,,,,,,,,,,,"100141,110006",
35095,,,,,,,,2,東芝,東芝 天井カセット4方向 4馬力 シングル ウルトラパワーエコ,1,,"RUXA11212X｜東芝 業務用エアコン 超省エネ 天井カセット4方向 4馬力 シングル 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,174,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RUXA11212X,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxa11212x.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxa11212x.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP1121H x 1</td></tr><tr><th>室外機</th><td>ROA-RP1122HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA11212X,,1,,1267920,1267920,,0,,,,,,,,,,,,,,,,,"100141,110007",
35096,,,,,,,,2,東芝,東芝 天井カセット4方向 5馬力 シングル ウルトラパワーエコ,1,,"RUXA14012X｜東芝 業務用エアコン 超省エネ 天井カセット4方向 5馬力 シングル 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,390,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RUXA14012X,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxa14012x.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxa14012x.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP1401H x 1</td></tr><tr><th>室外機</th><td>ROA-RP1402HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA14012X,,1,,1501200,1501200,,0,,,,,,,,,,,,,,,,,"100141,110008",
35097,,,,,,,,2,東芝,東芝 天井カセット4方向 6馬力 シングル ウルトラパワーエコ,1,,"RUXA16012X｜東芝 業務用エアコン 超省エネ 天井カセット4方向 6馬力 シングル 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,510,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 6馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RUXA16012X,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxa16012x.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 6馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxa16012x.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP1601H x 1</td></tr><tr><th>室外機</th><td>ROA-RP1602HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA16012X,,1,,1630800,1630800,,0,,,,,,,,,,,,,,,,,"100141,110009",
35098,,,,,,,,2,東芝,東芝 天井カセット4方向 5馬力 同時ツイン ウルトラパワーエコ,1,,"RUXB14012X｜東芝 業務用エアコン 超省エネ 天井カセット4方向 5馬力 同時ツイン 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,658,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RUXB14012X,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxb14012x.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxb14012x.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP711H x 2</td></tr><tr><th>室外機</th><td>ROA-RP1402HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 2</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP50 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXB14012X,,1,,1790640,1790640,,0,,,,,,,,,,,,,,,,,"100141,110028",
35099,,,,,,,,2,東芝,東芝 天井カセット4方向 6馬力 同時ツイン ウルトラパワーエコ,1,,"RUXB16012X｜東芝 業務用エアコン 超省エネ 天井カセット4方向 6馬力 同時ツイン 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,761,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 6馬力 同時ツイン<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RUXB16012X,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201704/ruxb16012x.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 6馬力 同時ツイン<br>三相200V ワイヤレス<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",toshiba/201704/ruxb16012x.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP801H x 2</td></tr><tr><th>室外機</th><td>ROA-RP1602HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 2</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP50 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXB16012X,,1,,1901880,1901880,,0,,,,,,,,,,,,,,,,,"100141,110029",
35100,,,,,,,,2,東芝,東芝 天井カセット4方向 3馬力 シングル ウルトラパワーエコ,1,,"RUXA08012JM｜東芝 業務用エアコン 超省エネ 天井カセット4方向 3馬力 シングル 単相200V ワイヤード ウルトラパワーエコ｜販売価格:1,007,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤード<br>ウルトラパワーエコ,RUXA08012JM,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201704/ruxa08012jm.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤード<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba/201704/ruxa08012jm.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP801H x 1</td></tr><tr><th>室外機</th><td>ROA-RP802HXJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA08012JM,,1,,1087560,1087560,,0,,,,,,,,,,,,,,,,,"100141,110006",
35101,,,,,,,,2,東芝,東芝 天井カセット4方向 3馬力 シングル ウルトラパワーエコ,1,,"RUXA08012M｜東芝 業務用エアコン 超省エネ 天井カセット4方向 3馬力 シングル 三相200V ワイヤード ウルトラパワーエコ｜販売価格:1,007,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>ウルトラパワーエコ,RUXA08012M,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201704/ruxa08012m.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba/201704/ruxa08012m.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP801H x 1</td></tr><tr><th>室外機</th><td>ROA-RP802HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA08012M,,1,,1087560,1087560,,0,,,,,,,,,,,,,,,,,"100141,110006",
35102,,,,,,,,2,東芝,東芝 天井カセット4方向 4馬力 シングル ウルトラパワーエコ,1,,"RUXA11212M｜東芝 業務用エアコン 超省エネ 天井カセット4方向 4馬力 シングル 三相200V ワイヤード ウルトラパワーエコ｜販売価格:1,162,000「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",東芝 業務用エアコン 超省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>ウルトラパワーエコ,RUXA11212M,"グランホワイト,マーズブラウン,アポログレー,コズミックブラック",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201704/ruxa11212m.jpg,"東芝 業務用エアコン 超省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>ウルトラパワーエコ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",toshiba/201704/ruxa11212m.jpg,,,"<ul class=""set_comment_list""><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※パネルカラーをお選びください</li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー3年保証付き</li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP1121H x 1</td></tr><tr><th>室外機</th><td>ROA-RP1122HX x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUXA11212M,,1,,1254960,1254960,,0,,,,,,,,,,,,,,,,,"100141,110007",
