商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500846,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 6畳程度 UXシリーズ 本体カラー：ホワイト,1,,"C22RTUXV-W｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 6畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト｜販売価格:\130,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>6畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト,C22RTUXV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c22rtuxv-w.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>6畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c22rtuxv-w.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C22RTUXV-W x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C22RTUXV-W,,1,,140400,140400,,0,,,,,,,,,,,,,,,,,"200132,210333",
500847,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 6畳程度 UXシリーズ 本体カラー：シルバー,1,,"C22RTUXV-S｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 6畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー｜販売価格:\130,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>6畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー,C22RTUXV-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c22rtuxv-s.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>6畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c22rtuxv-s.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C22RTUXV-S x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C22RTUXV-S,,1,,140400,140400,,0,,,,,,,,,,,,,,,,,"200132,210333",
500848,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 10畳程度 UXシリーズ 本体カラー：ホワイト,1,,"C28RTUXV-W｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 10畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト｜販売価格:\150,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>10畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト,C28RTUXV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c28rtuxv-w.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>10畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c28rtuxv-w.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C28RTUXV-W x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C28RTUXV-W,,1,,162000,162000,,0,,,,,,,,,,,,,,,,,"200132,210335",
500849,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 10畳程度 UXシリーズ 本体カラー：シルバー,1,,"C28RTUXV-S｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 10畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー｜販売価格:\150,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>10畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー,C28RTUXV-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c28rtuxv-s.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>10畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c28rtuxv-s.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C28RTUXV-S x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C28RTUXV-S,,1,,162000,162000,,0,,,,,,,,,,,,,,,,,"200132,210335",
500850,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 12畳程度 UXシリーズ 本体カラー：ホワイト,1,,"C36RTUXV-W｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 12畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト｜販売価格:\175,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>12畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト,C36RTUXV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c36rtuxv-w.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>12畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c36rtuxv-w.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C36RTUXV-W x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C36RTUXV-W,,1,,189000,189000,,0,,,,,,,,,,,,,,,,,"200132,210336",
500851,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 12畳程度 UXシリーズ 本体カラー：シルバー,1,,"C36RTUXV-S｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 12畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー｜販売価格:\175,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>12畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー,C36RTUXV-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c36rtuxv-s.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>12畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c36rtuxv-s.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C36RTUXV-S x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C36RTUXV-S,,1,,189000,189000,,0,,,,,,,,,,,,,,,,,"200132,210336",
500852,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 14畳程度 UXシリーズ 本体カラー：ホワイト,1,,"C40RTUXV-W｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 14畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト｜販売価格:\185,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>14畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト,C40RTUXV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c40rtuxv-w.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>14畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c40rtuxv-w.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C40RTUXV-W x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C40RTUXV-W,,1,,199800,199800,,0,,,,,,,,,,,,,,,,,"200132,210337",
500853,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 14畳程度 UXシリーズ 本体カラー：シルバー,1,,"C40RTUXV-S｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 14畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー｜販売価格:\185,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>14畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー,C40RTUXV-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c40rtuxv-s.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>14畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c40rtuxv-s.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C40RTUXV-S x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C40RTUXV-S,,1,,199800,199800,,0,,,,,,,,,,,,,,,,,"200132,210337",
500854,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 16畳程度 UXシリーズ 本体カラー：ホワイト,1,,"C50RTUXV-W｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 16畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト｜販売価格:\220,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>16畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト,C50RTUXV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c50rtuxv-w.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>16畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c50rtuxv-w.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C50RTUXV-W x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C50RTUXV-W,,1,,237600,237600,,0,,,,,,,,,,,,,,,,,"200132,210340",
500855,,,,,,,,1,ダイキン,【ダイキン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 16畳程度 UXシリーズ 本体カラー：シルバー,1,,"C50RTUXV-S｜【ダイキン ハウジングエアコン】 システムマルチ室内機 壁掛形 システムマルチ 室内ユニット 16畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー｜販売価格:\220,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>16畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー,C50RTUXV-S,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201607/c50rtuxv-s.jpg,"【ダイキン ハウジングエアコン】<br>システムマルチ室内機 壁掛形 システムマルチ 室内ユニット<br>16畳程度 単相200V ワイヤレス UXシリーズ 本体カラー：シルバー<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201607/c50rtuxv-s.jpg,,,"<ul><li><font style=""color:red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,,,,,,,"<div class=""set"">▼セット内容<br />室内機：C50RTUXV-S x 1<br />リモコン：ARC466A34 x 1<br /></div>",,,,,,,2,0,1,C50RTUXV-S,,1,,237600,237600,,0,,,,,,,,,,,,,,,,,"200132,210340",
