id	title	description	link	price	brand	condition	image link	mpn	product type	availability
1	SZZC40CATG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 1.5馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 1.5馬力 シングル	http://www.tokyo-aircon.net/products/SZZC40CATG.html	180588	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc40catg.jpg	SZZC40CATG	業務用エアコン > 天井埋込カセット形4方向 > 1.5馬力	in stock
2	SZZC45CATG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 1.8馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 1.8馬力 シングル	http://www.tokyo-aircon.net/products/SZZC45CATG.html	191052	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc45catg.jpg	SZZC45CATG	業務用エアコン > 天井埋込カセット形4方向 > 1.8馬力	in stock
3	SZZC50CATG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 2馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 2馬力 シングル	http://www.tokyo-aircon.net/products/SZZC50CATG.html	200882	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc50catg.jpg	SZZC50CATG	業務用エアコン > 天井埋込カセット形4方向 > 2馬力	in stock
4	SZZC56CATG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 2.3馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 2.3馬力 シングル	http://www.tokyo-aircon.net/products/SZZC56CATG.html	211347	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc56catg.jpg	SZZC56CATG	業務用エアコン > 天井埋込カセット形4方向 > 2.3馬力	in stock
5	SZZC63CATG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 2.5馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 2.5馬力 シングル	http://www.tokyo-aircon.net/products/SZZC63CATG.html	221177	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc63catg.jpg	SZZC63CATG	業務用エアコン > 天井埋込カセット形4方向 > 2.5馬力	in stock
6	SZZC80CATG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 3馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 3馬力 シングル	http://www.tokyo-aircon.net/products/SZZC80CATG.html	237032	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc80catg.jpg	SZZC80CATG	業務用エアコン > 天井埋込カセット形4方向 > 3馬力	in stock
7	SZZC112CAG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 4馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 4馬力 シングル	http://www.tokyo-aircon.net/products/SZZC112CAG.html	267473	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc112cag.jpg	SZZC112CAG	業務用エアコン > 天井埋込カセット形4方向 > 4馬力	in stock
8	SZZC140CAG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 5馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 5馬力 シングル	http://www.tokyo-aircon.net/products/SZZC140CAG.html	310916	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc140cag.jpg	SZZC140CAG	業務用エアコン > 天井埋込カセット形4方向 > 5馬力	in stock
9	SZZC160CAG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 6馬力 シングル 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 6馬力 シングル	http://www.tokyo-aircon.net/products/SZZC160CAG.html	335650	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc160cag.jpg	SZZC160CAG	業務用エアコン > 天井埋込カセット形4方向 > 6馬力	in stock
10	SZZC80CATDG｜ダイキン 業務用エアコン EcoZEAS80 天井カセット4方向 センシングフロー オートクリーン 3馬力 同時ツイン 超省エネ 三相200V ワイヤード	ダイキン EcoZEAS80 天井カセット4方向 センシングフロー 3馬力 同時ツイン	http://www.tokyo-aircon.net/products/SZZC80CATDG.html	313456	ダイキン	new	http://www.tokyo-aircon.net/upload/save_image/daikin/201205/szzc80catdg.jpg	SZZC80CATDG	業務用エアコン > 天井埋込カセット形4方向 > 3馬力	in stock
