商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500510,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 ダブルフロータイプ 14畳程度 シングル,1,,"S40RGV-wood｜【ダイキン ハウジングエアコン】 天井埋込カセット形 ダブルフロータイプ 14畳程度 シングル 単相200V ワイヤレス｜販売価格:162,108｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 ダブルフロータイプ 14畳程度<br>シングル 単相200V ワイヤレス,S40RGV-wood,木目,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s40rgv-wood.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 ダブルフロータイプ 14畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s40rgv-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r40rgv.jpg,,,,daikin_housing/201410/sub/arc476.jpg,,,,daikin_housing/201410/sub/panel9.jpg,,"<div class=""set"">▼セット内容<br />室内機：F40RGV x 1<br />室外機：R40RGV x 1<br />リモコン：ARC476A20 x 1<br />パネル：BG50F-M x 1</div>",,,,,,,2,0,1,S40RGV-wood,,1,,594000,594000,,0,,,,,,,,,,,,,,,,,"200122,210037",
500511,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 ダブルフロータイプ 16畳程度 シングル,1,,"S50RGV｜【ダイキン ハウジングエアコン】 天井埋込カセット形 ダブルフロータイプ 16畳程度 シングル 単相200V ワイヤレス｜販売価格:184,248｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 ダブルフロータイプ 16畳程度<br>シングル 単相200V ワイヤレス,S50RGV,"フレッシュホワイト,ブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s50rgv.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 ダブルフロータイプ 16畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s50rgv.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r50rgv.jpg,,,,daikin_housing/201410/sub/arc476.jpg,,,,daikin_housing/201410/sub/panel8.jpg,,"<div class=""set"">▼セット内容<br />室内機：F50RGV x 1<br />室外機：R50RGV x 1<br />リモコン：ARC476A20 x 1<br />パネル：BG50N-WF x 1</div>",,,,,,,2,0,1,S50RGV,,1,,675000,675000,,0,,,,,,,,,,,,,,,,,"200122,210040",
500512,,,,,,,,1,ダイキン,【ダイキン】天井埋込カセット形 ダブルフロータイプ 16畳程度 シングル,1,,"S50RGV-wood｜【ダイキン ハウジングエアコン】 天井埋込カセット形 ダブルフロータイプ 16畳程度 シングル 単相200V ワイヤレス｜販売価格:187,164｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>天井埋込カセット形 ダブルフロータイプ 16畳程度<br>シングル 単相200V ワイヤレス,S50RGV-wood,木目,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s50rgv-wood.jpg,"【ダイキン ハウジングエアコン】<br>天井埋込カセット形 ダブルフロータイプ 16畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s50rgv-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r50rgv.jpg,,,,daikin_housing/201410/sub/arc476.jpg,,,,daikin_housing/201410/sub/panel9.jpg,,"<div class=""set"">▼セット内容<br />室内機：F50RGV x 1<br />室外機：R50RGV x 1<br />リモコン：ARC476A20 x 1<br />パネル：BG50F-M x 1</div>",,,,,,,2,0,1,S50RGV-wood,,1,,685800,685800,,0,,,,,,,,,,,,,,,,,"200122,210040",
500513,,,,,,,,1,ダイキン,【ダイキン】壁埋込形 10畳程度 シングル,1,,"S28RMV｜【ダイキン ハウジングエアコン】 壁埋込形 10畳程度 シングル 単相200V ワイヤレス｜販売価格:152,064｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>壁埋込形 10畳程度<br>シングル 単相200V ワイヤレス,S28RMV,"和風(白木),洋風(アイボリ-),洋風(グレ-)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s28rmv.jpg,"【ダイキン ハウジングエアコン】<br>壁埋込形 10畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s28rmv.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r28rmv.jpg,,,,daikin_housing/201410/sub/arc476.jpg,,,,daikin_housing/201410/sub/panel11.jpg,,"<div class=""set"">▼セット内容<br />室内機：F28RMV x 1<br />室外機：R28RMV x 1<br />リモコン：ARC476A21 x 1<br />前面グリル：KDG413C10 x 1<br />据付枠：KKF411B10B x1 </div>",,,,,,,2,0,1,S28RMV,,1,,441072,441072,,0,,,,,,,,,,,,,,,,,"200124,210095",
500514,,,,,,,,1,ダイキン,【ダイキン】壁埋込形 12畳程度 シングル,1,,"S36RMV｜【ダイキン ハウジングエアコン】 壁埋込形 12畳程度 シングル 単相200V ワイヤレス｜販売価格:164,376｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>壁埋込形 12畳程度<br>シングル 単相200V ワイヤレス,S36RMV,"和風(白木),洋風(アイボリ-),洋風(グレ-)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s36rmv.jpg,"【ダイキン ハウジングエアコン】<br>壁埋込形 12畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s36rmv.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r36rmv.jpg,,,,daikin_housing/201410/sub/arc476.jpg,,,,daikin_housing/201410/sub/panel11.jpg,,"<div class=""set"">▼セット内容<br />室内機：F36RMV x 1<br />室外機：R36RMV x 1<br />リモコン：ARC476A21 x 1<br />前面グリル：KDG413C10 x 1<br />据付枠：KKF411B10B x1 </div>",,,,,,,2,0,1,S36RMV,,1,,476712,476712,,0,,,,,,,,,,,,,,,,,"200124,210096",
500515,,,,,,,,1,ダイキン,【ダイキン】壁埋込形 14畳程度 シングル,1,,"S40RMV｜【ダイキン ハウジングエアコン】 壁埋込形 14畳程度 シングル 単相200V ワイヤレス｜販売価格:190,512｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>壁埋込形 14畳程度<br>シングル 単相200V ワイヤレス,S40RMV,"和風(白木),洋風(アイボリ-),洋風(グレ-)",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s40rmv.jpg,"【ダイキン ハウジングエアコン】<br>壁埋込形 14畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s40rmv.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r40rmv.jpg,,,,daikin_housing/201410/sub/arc476.jpg,,,,daikin_housing/201410/sub/panel11.jpg,,"<div class=""set"">▼セット内容<br />室内機：F40RMV x 1<br />室外機：R40RMV x 1<br />リモコン：ARC476A21 x 1<br />前面グリル：KDG413C10 x 1<br />据付枠：KKF411B10B x1 </div>",,,,,,,2,0,1,S40RMV,,1,,552312,552312,,0,,,,,,,,,,,,,,,,,"200124,210097",
500516,,,,,,,,1,ダイキン,【ダイキン】床置形 10畳程度 シングル VRシリーズ　本体カラー：ホワイト,1,,"S28RVRV-W｜【ダイキン ハウジングエアコン】 床置形 10畳程度 シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ホワイト｜販売価格:152,712｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>床置形 10畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ホワイト,S28RVRV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s28rvrv-w.jpg,"【ダイキン ハウジングエアコン】<br>床置形 10畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s28rvrv-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r28rvrv.jpg,,,,daikin_housing/201410/sub/arc456.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：F28RVRV-W x 1<br />室外機：R28RVRV x 1<br />リモコン：ARC456A36 x 1</div>",,,,,,,2,0,1,S28RVRV-W,,1,,442800,442800,,0,,,,,,,,,,,,,,,,,"200126,210155",
500517,,,,,,,,1,ダイキン,【ダイキン】床置形 10畳程度 シングル VRシリーズ　本体カラー：ブラウン,1,,"S28RVRV-T｜【ダイキン ハウジングエアコン】 床置形 10畳程度 シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ブラウン｜販売価格:152,712｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>床置形 10畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ブラウン,S28RVRV-T,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s28rvrv-t.jpg,"【ダイキン ハウジングエアコン】<br>床置形 10畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ブラウン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s28rvrv-t.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r28rvrv.jpg,,,,daikin_housing/201410/sub/arc456.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：F28RVRV-T x 1<br />室外機：R28RVRV x 1<br />リモコン：ARC456A36 x 1</div>",,,,,,,2,0,1,S28RVRV-T,,1,,442800,442800,,0,,,,,,,,,,,,,,,,,"200126,210155",
500518,,,,,,,,1,ダイキン,【ダイキン】床置形 12畳程度 シングル VRシリーズ　本体カラー：ホワイト,1,,"S36RVRV-W｜【ダイキン ハウジングエアコン】 床置形 12畳程度 シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ホワイト｜販売価格:169,452｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>床置形 12畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ホワイト,S36RVRV-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s36rvrv-w.jpg,"【ダイキン ハウジングエアコン】<br>床置形 12畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s36rvrv-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r36rvrv.jpg,,,,daikin_housing/201410/sub/arc456.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：F36RVRV-W x 1<br />室外機：R36RVRV x 1<br />リモコン：ARC456A36 x 1</div>",,,,,,,2,0,1,S36RVRV-W,,1,,491400,491400,,0,,,,,,,,,,,,,,,,,"200126,210156",
500519,,,,,,,,1,ダイキン,【ダイキン】床置形 12畳程度 シングル VRシリーズ　本体カラー：ブラウン,1,,"S36RVRV-T｜【ダイキン ハウジングエアコン】 床置形 12畳程度 シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ブラウン｜販売価格:169,452｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【ダイキン ハウジングエアコン】<br>床置形 12畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ブラウン,S36RVRV-T,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",daikin_housing/201410/s36rvrv-t.jpg,"【ダイキン ハウジングエアコン】<br>床置形 12畳程度<br>シングル 単相200V ワイヤレス VRシリーズ　本体カラー：ブラウン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",daikin_housing/201410/s36rvrv-t.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,daikin_housing/201410/sub/r36rvrv.jpg,,,,daikin_housing/201410/sub/arc456.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：F36RVRV-T x 1<br />室外機：R36RVRV x 1<br />リモコン：ARC456A36 x 1</div>",,,,,,,2,0,1,S36RVRV-T,,1,,491400,491400,,0,,,,,,,,,,,,,,,,,"200126,210156",
