商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500493,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 8畳程度 シングル PSシリーズ,1,,"RAP-25SC2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 8畳程度 シングル 単相200V ワイヤレス PSシリーズ｜販売価格:487,620｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 8畳程度<br>シングル 単相200V ワイヤレス PSシリーズ,RAP-25SC2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-25sc2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 8畳程度<br>シングル 単相200V ワイヤレス PSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-25sc2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p25sc2.jpg,,,,hitachi_housing/201409/sub/rar-4g1.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-25SC2 x 1<br />室外機：RAC-P25SC2 x 1<br />リモコン：RAR-4G1 x 1<br />パネル：RAP-PSZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-25SC2,,1,,464400,464400,,0,,,,,,,,,,,,,,,,,"200161,210004",
500494,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 10畳程度 シングル PSシリーズ,1,,"RAP-28SC2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 10畳程度 シングル 単相200V ワイヤレス PSシリーズ｜販売価格:510,300｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 10畳程度<br>シングル 単相200V ワイヤレス PSシリーズ,RAP-28SC2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-28sc2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 10畳程度<br>シングル 単相200V ワイヤレス PSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-28sc2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p28sc2.jpg,,,,hitachi_housing/201409/sub/rar-4g1.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-28SC2 x 1<br />室外機：RAC-P28SC2 x 1<br />リモコン：RAR-4G1 x 1<br />パネル：RAP-PSZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-28SC2,,1,,486000,486000,,0,,,,,,,,,,,,,,,,,"200161,210005",
500495,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 12畳程度 シングル PSシリーズ,1,,"RAP-36SC2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 12畳程度 シングル 単相200V ワイヤレス PSシリーズ｜販売価格:561,330｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 12畳程度<br>シングル 単相200V ワイヤレス PSシリーズ,RAP-36SC2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-36sc2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 12畳程度<br>シングル 単相200V ワイヤレス PSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-36sc2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p36sc2.jpg,,,,hitachi_housing/201409/sub/rar-4g1.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-36SC2 x 1<br />室外機：RAC-P36SC2 x 1<br />リモコン：RAR-4G1 x 1<br />パネル：RAP-PSZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-36SC2,,1,,534600,534600,,0,,,,,,,,,,,,,,,,,"200161,210006",
500496,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 14畳程度 シングル PSシリーズ,1,,"RAP-40SC2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 14畳程度 シングル 単相200V ワイヤレス PSシリーズ｜販売価格:612,360｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 14畳程度<br>シングル 単相200V ワイヤレス PSシリーズ,RAP-40SC2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-40sc2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 14畳程度<br>シングル 単相200V ワイヤレス PSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-40sc2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p40sc2.jpg,,,,hitachi_housing/201409/sub/rar-4g1.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-40SC2 x 1<br />室外機：RAC-P40SC2 x 1<br />リモコン：RAR-4G1 x 1<br />パネル：RAP-PSZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-40SC2,,1,,583200,583200,,0,,,,,,,,,,,,,,,,,"200161,210007",
500497,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 16畳程度 シングル PSシリーズ,1,,"RAP-50SC2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 16畳程度 シングル 単相200V ワイヤレス PSシリーズ｜販売価格:697,410｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 16畳程度<br>シングル 単相200V ワイヤレス PSシリーズ,RAP-50SC2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-50sc2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 16畳程度<br>シングル 単相200V ワイヤレス PSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-50sc2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p50sc2.jpg,,,,hitachi_housing/201409/sub/rar-4g1.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-50SC2 x 1<br />室外機：RAC-P50SC2 x 1<br />リモコン：RAR-4G1 x 1<br />パネル：RAP-PSZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-50SC2,,1,,664200,664200,,0,,,,,,,,,,,,,,,,,"200161,210010",
500498,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 18畳程度 シングル PSシリーズ,1,,"RAP-56SC2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 18畳程度 シングル 単相200V ワイヤレス PSシリーズ｜販売価格:810,810｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 18畳程度<br>シングル 単相200V ワイヤレス PSシリーズ,RAP-56SC2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-56sc2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 18畳程度<br>シングル 単相200V ワイヤレス PSシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-56sc2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p56sc2.jpg,,,,hitachi_housing/201409/sub/rar-4g1.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-56SC2 x 1<br />室外機：RAC-P56SC2 x 1<br />リモコン：RAR-4G1 x 1<br />パネル：RAP-PSZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-56SC2,,1,,772200,772200,,0,,,,,,,,,,,,,,,,,"200161,210014",
500499,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 8畳程度 シングル Pシリーズ,1,,"RAP-25C2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 8畳程度 シングル 単相200V ワイヤレス Pシリーズ｜販売価格:436,590｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 8畳程度<br>シングル 単相200V ワイヤレス Pシリーズ,RAP-25C2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-25c2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 8畳程度<br>シングル 単相200V ワイヤレス Pシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-25c2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p25c2.jpg,,,,hitachi_housing/201409/sub/rar-4g2.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-25C2 x 1<br />室外機：RAC-P25C2 x 1<br />リモコン：RAR-4G2 x 1<br />パネル：RAP-PZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-25C2,,1,,415800,415800,,0,,,,,,,,,,,,,,,,,"200161,210004",
500500,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 10畳程度 シングル Pシリーズ,1,,"RAP-28C2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 10畳程度 シングル 単相200V ワイヤレス Pシリーズ｜販売価格:459,270｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 10畳程度<br>シングル 単相200V ワイヤレス Pシリーズ,RAP-28C2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-28c2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 10畳程度<br>シングル 単相200V ワイヤレス Pシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-28c2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p28c2.jpg,,,,hitachi_housing/201409/sub/rar-4g2.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-28C2 x 1<br />室外機：RAC-P28C2 x 1<br />リモコン：RAR-4G2 x 1<br />パネル：RAP-PZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-28C2,,1,,437400,437400,,0,,,,,,,,,,,,,,,,,"200161,210005",
500501,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 12畳程度 シングル Pシリーズ,1,,"RAP-36C2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 12畳程度 シングル 単相200V ワイヤレス Pシリーズ｜販売価格:510,300｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 12畳程度<br>シングル 単相200V ワイヤレス Pシリーズ,RAP-36C2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-36c2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 12畳程度<br>シングル 単相200V ワイヤレス Pシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-36c2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p36c2.jpg,,,,hitachi_housing/201409/sub/rar-4g2.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-36C2 x 1<br />室外機：RAC-P36C2 x 1<br />リモコン：RAR-4G2 x 1<br />パネル：RAP-PZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-36C2,,1,,486000,486000,,0,,,,,,,,,,,,,,,,,"200161,210006",
500502,,,,,,,,4,日立,【日立】 一方向天井カセットタイプ 14畳程度 シングル Pシリーズ,1,,"RAP-40C2｜【日立 ハウジングエアコン】 一方向天井カセットタイプ 14畳程度 シングル 単相200V ワイヤレス Pシリーズ｜販売価格:544,320｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 14畳程度<br>シングル 単相200V ワイヤレス Pシリーズ,RAP-40C2,"ピュアホワイト,ライトベージュ",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201409/rap-40c2.jpg,"【日立 ハウジングエアコン】<br>一方向天井カセットタイプ 14畳程度<br>シングル 単相200V ワイヤレス Pシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201409/rap-40c2.jpg,,,"<font style=""font-size:14px;""><a href=""http://www.rakuten.ne.jp/gold/setsubi/pdf/evidence-h-panasinic201409.pdf"">メーカー希望小売価格はメーカーカタログに基づいて掲載しています</a></font><br><br><br><ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,hitachi_housing/201409/sub/rac-p40c2.jpg,,,,hitachi_housing/201409/sub/rar-4g2.jpg,,,,hitachi_housing/201409/sub/panel1.jpg,,"<div class=""set"">▼セット内容<br />室内機：RAP-40C2 x 1<br />室外機：RAC-P40C2 x 1<br />リモコン：RAR-4G2 x 1<br />パネル：RAP-PZ(W) x 1<br /></div>",,,,,,,2,0,1,RAP-40C2,,1,,518400,518400,,0,,,,,,,,,,,,,,,,,"200161,210007",
