商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500718,,,,,,,,4,日立,【日立】 システムマルチ室外ユニット 53クラス 2室用,1,,"RAC-53C2S2｜【日立 ハウジングエアコン】 システムマルチ室外ユニット 53クラス 2室用  単相200V｜販売価格:361,584｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 53クラス 2室用<br> 単相200V,RAC-53C2S2,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",hitachi_housing/201503/rac-53c2s2.jpg,"【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 53クラス 2室用<br> 単相200V<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png"">",hitachi_housing/201503/rac-53c2s2.jpg,,,<ul> <li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>,,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室外機：RAC-53C2S2 x 1<br />リモコン：0 x 1<br /></div>",,,,,,,2,0,1,RAC-53C2S2,,1,,334800,334800,,0,,,,,,,,,,,,,,,,,"200169,210252",
500719,,,,,,,,4,日立,【日立】 システムマルチ室外ユニット 60クラス 2室用,1,,"RAC-60C2S2｜【日立 ハウジングエアコン】 システムマルチ室外ユニット 60クラス 2室用  単相200V｜販売価格:396,576｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 60クラス 2室用<br> 単相200V,RAC-60C2S2,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",hitachi_housing/201503/rac-60c2s2.jpg,"【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 60クラス 2室用<br> 単相200V<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png"">",hitachi_housing/201503/rac-60c2s2.jpg,,,<ul> <li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>,,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室外機：RAC-60C2S2 x 1<br />リモコン：0 x 1<br /></div>",,,,,,,2,0,1,RAC-60C2S2,,1,,367200,367200,,0,,,,,,,,,,,,,,,,,"200169,210255",
500720,,,,,,,,4,日立,【日立】 システムマルチ室外ユニット 72クラス 3室用,1,,"RAC-72C3S2｜【日立 ハウジングエアコン】 システムマルチ室外ユニット 72クラス 3室用  単相200V｜販売価格:565,704｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 72クラス 3室用<br> 単相200V,RAC-72C3S2,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",hitachi_housing/201503/rac-72c3s2.jpg,"【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 72クラス 3室用<br> 単相200V<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png"">",hitachi_housing/201503/rac-72c3s2.jpg,,,<ul> <li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>,,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室外機：RAC-72C3S2 x 1<br />リモコン：0 x 1<br /></div>",,,,,,,2,0,1,RAC-72C3S2,,1,,523800,523800,,0,,,,,,,,,,,,,,,,,"200169,210259",
500721,,,,,,,,4,日立,【日立】 システムマルチ室外ユニット 80クラス 4室用,1,,"RAC-80C4S2｜【日立 ハウジングエアコン】 システムマルチ室外ユニット 80クラス 4室用  単相200V｜販売価格:699,840｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 80クラス 4室用<br> 単相200V,RAC-80C4S2,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png"">",hitachi_housing/201503/rac-80c4s2.jpg,"【日立 ハウジングエアコン】<br>システムマルチ室外ユニット 80クラス 4室用<br> 単相200V<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png"">",hitachi_housing/201503/rac-80c4s2.jpg,,,<ul> <li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>,,,,,,,,,,,,"<div class=""set"">▼セット内容<br />室外機：RAC-80C4S2 x 1<br />リモコン：0 x 1<br /></div>",,,,,,,2,0,1,RAC-80C4S2,,1,,648000,648000,,0,,,,,,,,,,,,,,,,,"200169,210260",
500722,,,,,,,,4,日立,【日立】 壁掛タイプ 6畳程度 システムマルチ 室内ユニット MECシリーズ 本体カラー：クリアホワイト,1,,"RAM-E22CS-W｜【日立 ハウジングエアコン】 壁掛タイプ 6畳程度 システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト｜販売価格:122,472｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>壁掛タイプ 6畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト,RAM-E22CS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201503/ram-e22cs-w.jpg,"【日立 ハウジングエアコン】<br>壁掛タイプ 6畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201503/ram-e22cs-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,/housing-in-ng.jpg,,,,hitachi_housing/201503/sub/rar-5c5.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：RAM-E22CS-W x 1<br />リモコン：RAR-5C5 x 1<br /></div>",,,,,,,2,0,1,RAM-E22CS-W,,1,,113400,113400,,0,,,,,,,,,,,,,,,,,"200172,210333",
500723,,,,,,,,4,日立,【日立】 壁掛タイプ 6畳程度 システムマルチ 室内ユニット MECシリーズ 本体カラー：シャインベージュ,1,,"RAM-E22CS-C｜【日立 ハウジングエアコン】 壁掛タイプ 6畳程度 システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ｜販売価格:122,472｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>壁掛タイプ 6畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ,RAM-E22CS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201503/ram-e22cs-c.jpg,"【日立 ハウジングエアコン】<br>壁掛タイプ 6畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201503/ram-e22cs-c.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,/housing-in-ng.jpg,,,,hitachi_housing/201503/sub/rar-5c5.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：RAM-E22CS-C x 1<br />リモコン：RAR-5C5 x 1<br /></div>",,,,,,,2,0,1,RAM-E22CS-C,,1,,113400,113400,,0,,,,,,,,,,,,,,,,,"200172,210333",
500724,,,,,,,,4,日立,【日立】 壁掛タイプ 8畳程度 システムマルチ 室内ユニット MECシリーズ 本体カラー：クリアホワイト,1,,"RAM-E25CS-W｜【日立 ハウジングエアコン】 壁掛タイプ 8畳程度 システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト｜販売価格:128,304｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>壁掛タイプ 8畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト,RAM-E25CS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201503/ram-e25cs-w.jpg,"【日立 ハウジングエアコン】<br>壁掛タイプ 8畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201503/ram-e25cs-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,/housing-in-ng.jpg,,,,hitachi_housing/201503/sub/rar-5c5.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：RAM-E25CS-W x 1<br />リモコン：RAR-5C5 x 1<br /></div>",,,,,,,2,0,1,RAM-E25CS-W,,1,,118800,118800,,0,,,,,,,,,,,,,,,,,"200172,210334",
500725,,,,,,,,4,日立,【日立】 壁掛タイプ 8畳程度 システムマルチ 室内ユニット MECシリーズ 本体カラー：シャインベージュ,1,,"RAM-E25CS-C｜【日立 ハウジングエアコン】 壁掛タイプ 8畳程度 システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ｜販売価格:128,304｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>壁掛タイプ 8畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ,RAM-E25CS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201503/ram-e25cs-c.jpg,"【日立 ハウジングエアコン】<br>壁掛タイプ 8畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201503/ram-e25cs-c.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,/housing-in-ng.jpg,,,,hitachi_housing/201503/sub/rar-5c5.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：RAM-E25CS-C x 1<br />リモコン：RAR-5C5 x 1<br /></div>",,,,,,,2,0,1,RAM-E25CS-C,,1,,118800,118800,,0,,,,,,,,,,,,,,,,,"200172,210334",
500726,,,,,,,,4,日立,【日立】 壁掛タイプ 10畳程度 システムマルチ 室内ユニット MECシリーズ 本体カラー：クリアホワイト,1,,"RAM-E28CS-W｜【日立 ハウジングエアコン】 壁掛タイプ 10畳程度 システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト｜販売価格:134,136｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>壁掛タイプ 10畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト,RAM-E28CS-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201503/ram-e28cs-w.jpg,"【日立 ハウジングエアコン】<br>壁掛タイプ 10畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：クリアホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201503/ram-e28cs-w.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,/housing-in-ng.jpg,,,,hitachi_housing/201503/sub/rar-5c5.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：RAM-E28CS-W x 1<br />リモコン：RAR-5C5 x 1<br /></div>",,,,,,,2,0,1,RAM-E28CS-W,,1,,124200,124200,,0,,,,,,,,,,,,,,,,,"200172,210335",
500727,,,,,,,,4,日立,【日立】 壁掛タイプ 10畳程度 システムマルチ 室内ユニット MECシリーズ 本体カラー：シャインベージュ,1,,"RAM-E28CS-C｜【日立 ハウジングエアコン】 壁掛タイプ 10畳程度 システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ｜販売価格:134,136｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【日立 ハウジングエアコン】<br>壁掛タイプ 10畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ,RAM-E28CS-C,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",hitachi_housing/201503/ram-e28cs-c.jpg,"【日立 ハウジングエアコン】<br>壁掛タイプ 10畳程度<br>システムマルチ室内ユニット 単相200V ワイヤレス MECシリーズ 本体カラー：シャインベージュ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",hitachi_housing/201503/ram-e28cs-c.jpg,,,"<ul><li><font style=""color: red;"">※リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,/housing-in-ng.jpg,,,,hitachi_housing/201503/sub/rar-5c5.jpg,,,,,,"<div class=""set"">▼セット内容<br />室内機：RAM-E28CS-C x 1<br />リモコン：RAR-5C5 x 1<br /></div>",,,,,,,2,0,1,RAM-E28CS-C,,1,,124200,124200,,0,,,,,,,,,,,,,,,,,"200172,210335",
