商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500610,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 12畳程度 シングル RXシリーズ,1,,"MLZ-RX365AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 12畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:521,640｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX365AS-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx365as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx365as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201504/sub/mulz-rx365as.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX365AS-IN x 1<br />室外機：MULZ-RX365AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX365AS-wood,,1,,521640,521640,,0,,,,,,,,,,,,,,,,,"200141,210006",
500611,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 14畳程度 シングル RXシリーズ,1,,"MLZ-RX405AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 14畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:570,240｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX405AS-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx405as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx405as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201504/sub/mulz-rx405as.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX405AS-IN x 1<br />室外機：MULZ-RX405AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX405AS-wood,,1,,570240,570240,,0,,,,,,,,,,,,,,,,,"200141,210007",
500612,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 16畳程度 シングル RXシリーズ,1,,"MLZ-RX505AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 16畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:649,080｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX505AS-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx505as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx505as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201504/sub/mulz-rx505as.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX505AS-IN x 1<br />室外機：MULZ-RX505AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX505AS-wood,,1,,649080,649080,,0,,,,,,,,,,,,,,,,,"200141,210010",
500613,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 18畳程度 シングル RXシリーズ,1,,"MLZ-RX565AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 18畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:757,080｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX565AS-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx565as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx565as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201504/sub/mulz-rx565as.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX565AS-IN x 1<br />室外機：MULZ-RX565AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX565AS-wood,,1,,757080,757080,,0,,,,,,,,,,,,,,,,,"200141,210014",
500614,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 20畳程度 シングル RXシリーズ,1,,"MLZ-RX635AS-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 20畳程度 シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:865,080｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 20畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX635AS-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx635as-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 20畳程度<br>シングル 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx635as-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_housing/201504/sub/mulz-rx635as.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX635AS-IN x 1<br />室外機：MULZ-RX635AS x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX635AS-wood,,1,,865080,865080,,0,,,,,,,,,,,,,,,,,"200141,210016",
500615,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 10畳程度 システムマルチ 室内ユニット RXシリーズ,1,,"MLZ-RX285AS-IN-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 10畳程度 システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:235,440｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX285AS-IN-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx285as-in-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 10畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx285as-in-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX285AS-IN x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX285AS-IN-wood,,1,,235440,235440,,0,,,,,,,,,,,,,,,,,"200150,210275",
500616,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 12畳程度 システムマルチ 室内ユニット RXシリーズ,1,,"MLZ-RX365AS-IN-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 12畳程度 システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:267,840｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX365AS-IN-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx365as-in-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 12畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx365as-in-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX365AS-IN x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX365AS-IN-wood,,1,,267840,267840,,0,,,,,,,,,,,,,,,,,"200150,210276",
500617,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 14畳程度 システムマルチ 室内ユニット RXシリーズ,1,,"MLZ-RX405AS-IN-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 14畳程度 システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:289,440｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX405AS-IN-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx405as-in-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 14畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx405as-in-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX405AS-IN x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX405AS-IN-wood,,1,,289440,289440,,0,,,,,,,,,,,,,,,,,"200150,210277",
500618,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 16畳程度 システムマルチ 室内ユニット RXシリーズ,1,,"MLZ-RX505AS-IN-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 16畳程度 システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:311,040｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX505AS-IN-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx505as-in-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 16畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx505as-in-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX505AS-IN x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX505AS-IN-wood,,1,,311040,311040,,0,,,,,,,,,,,,,,,,,"200150,210280",
500619,,,,,,,,3,三菱電機,【三菱電機 霧ケ峰】 1方向天井カセット形 18畳程度 システムマルチ 室内ユニット RXシリーズ,1,,"MLZ-RX565AS-IN-wood｜【三菱電機 ハウジングエアコン 霧ケ峰】 1方向天井カセット形 18畳程度 システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ｜販売価格:375,840｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ,MLZ-RX565AS-IN-wood,"板目,柾目",,"室外電源,室内電源","<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201504/mlz-rx565as-in-wood.jpg,"【三菱電機 ハウジングエアコン 霧ケ峰】<br>1方向天井カセット形 18畳程度<br>システムマルチ室内ユニット 単相200V 室内・室外選択 ワイヤレス RXシリーズ<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_housing/201504/mlz-rx565as-in-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,housing-in-ng.jpg,,,,mitsubishi_housing/201504/sub/rc.jpg,,,,mitsubishi_housing/201504/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：MLZ-RX565AS-IN x 1<br />リモコン：同梱リモコン x 1<br />パネル：MAC-D07PM x 1<br /></div>",,,,,,,2,0,1,MLZ-RX565AS-IN-wood,,1,,375840,375840,,0,,,,,,,,,,,,,,,,,"200150,210284",
