商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
501041,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 10畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK2817AS-W｜三菱電機 ハウジングエアコン セット 床置形 10畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:425,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 10畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK2817AS-W,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk2817as-w.jpg,三菱電機 ハウジングエアコン セット<br>床置形 10畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk2817as-w.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK2817AS-Wの能力（クラス）は、28クラス（10畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK2817AS-W-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK2817AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK2817AS-W,,1,,459000,459000,,0,,,,,,,,,,,,,,,,,"200146,210155",
501042,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 10畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK2817AS-B｜三菱電機 ハウジングエアコン セット 床置形 10畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:425,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 10畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK2817AS-B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk2817as-b.jpg,三菱電機 ハウジングエアコン セット<br>床置形 10畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk2817as-b.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK2817AS-Bの能力（クラス）は、28クラス（10畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK2817AS-B-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK2817AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK2817AS-B,,1,,459000,459000,,0,,,,,,,,,,,,,,,,,"200146,210155",
501043,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 14畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK4017AS-W｜三菱電機 ハウジングエアコン セット 床置形 14畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:515,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 14畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK4017AS-W,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk4017as-w.jpg,三菱電機 ハウジングエアコン セット<br>床置形 14畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk4017as-w.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK4017AS-Wの能力（クラス）は、40クラス（14畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>5.0kw</td><td>4.0kw</td></tr><tr><td>畳数</td><td>11 - 14畳</td><td>11 - 17畳</td></tr><tr><td>m2（平米）数</td><td>18 - 23m2</td><td>18 - 28m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK4017AS-W-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK4017AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK4017AS-W,,1,,556200,556200,,0,,,,,,,,,,,,,,,,,"200146,210157",
501044,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 14畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK4017AS-B｜三菱電機 ハウジングエアコン セット 床置形 14畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:515,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 14畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK4017AS-B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk4017as-b.jpg,三菱電機 ハウジングエアコン セット<br>床置形 14畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk4017as-b.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK4017AS-Bの能力（クラス）は、40クラス（14畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>5.0kw</td><td>4.0kw</td></tr><tr><td>畳数</td><td>11 - 14畳</td><td>11 - 17畳</td></tr><tr><td>m2（平米）数</td><td>18 - 23m2</td><td>18 - 28m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK4017AS-B-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK4017AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK4017AS-B,,1,,556200,556200,,0,,,,,,,,,,,,,,,,,"200146,210157",
501045,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 16畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK5017AS-W｜三菱電機 ハウジングエアコン セット 床置形 16畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:615,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 16畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK5017AS-W,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk5017as-w.jpg,三菱電機 ハウジングエアコン セット<br>床置形 16畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk5017as-w.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK5017AS-Wの能力（クラス）は、50クラス（16畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.3kw</td><td>5.0kw</td></tr><tr><td>畳数</td><td>14 - 17畳</td><td>14 - 21畳</td></tr><tr><td>m2（平米）数</td><td>23 - 29m2</td><td>23 - 34m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK5017AS-W-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK5017AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK5017AS-W,,1,,664200,664200,,0,,,,,,,,,,,,,,,,,"200146,210160",
501046,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 16畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK5017AS-B｜三菱電機 ハウジングエアコン セット 床置形 16畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:615,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 16畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK5017AS-B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk5017as-b.jpg,三菱電機 ハウジングエアコン セット<br>床置形 16畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk5017as-b.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK5017AS-Bの能力（クラス）は、50クラス（16畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.3kw</td><td>5.0kw</td></tr><tr><td>畳数</td><td>14 - 17畳</td><td>14 - 21畳</td></tr><tr><td>m2（平米）数</td><td>23 - 29m2</td><td>23 - 34m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK5017AS-B-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK5017AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK5017AS-B,,1,,664200,664200,,0,,,,,,,,,,,,,,,,,"200146,210160",
501047,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 18畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK5617AS-W｜三菱電機 ハウジングエアコン セット 床置形 18畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:715,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 18畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK5617AS-W,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk5617as-w.jpg,三菱電機 ハウジングエアコン セット<br>床置形 18畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk5617as-w.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK5617AS-Wの能力（クラス）は、56クラス（18畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.7kw</td><td>5.6kw</td></tr><tr><td>畳数</td><td>15 - 18畳</td><td>15 - 23畳</td></tr><tr><td>m2（平米）数</td><td>24 - 30m2</td><td>25 - 39m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK5617AS-W-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK5617AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK5617AS-W,,1,,772200,772200,,0,,,,,,,,,,,,,,,,,"200146,210164",
501048,,,,,,,,3,三菱電機,三菱電機 床置形 シングル 18畳程度 HKシリーズ 霧ケ峰,1,,"MFZ-HK5617AS-B｜三菱電機 ハウジングエアコン セット 床置形 18畳程度 シングル 単相200V ワイヤレス HKシリーズ｜販売価格:715,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>床置形 18畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,MFZ-HK5617AS-B,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mfz-hk5617as-b.jpg,三菱電機 ハウジングエアコン セット<br>床置形 18畳程度 シングル<br>単相200V ワイヤレス<br>HKシリーズ,mitsubishi_housing/201805/mfz-hk5617as-b.jpg,,,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">MFZ-HK5617AS-Bの能力（クラス）は、56クラス（18畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>6.7kw</td><td>5.6kw</td></tr><tr><td>畳数</td><td>15 - 18畳</td><td>15 - 23畳</td></tr><tr><td>m2（平米）数</td><td>24 - 30m2</td><td>25 - 39m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MFZ-HK5617AS-B-IN x 1</td></tr><tr><th>室外機</th><td>MUFZ-HK5617AS x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MFZ-HK5617AS-B,,1,,772200,772200,,0,,,,,,,,,,,,,,,,,"200146,210164",
501049,,,,,,,,3,三菱電機,三菱電機 1方向天井カセット形 シングル 10畳程度 HXシリーズ 霧ケ峰,1,,"MLZ-HX2817AS｜三菱電機 ハウジングエアコン セット 1方向天井カセット形 10畳程度 シングル 単相200V ワイヤレス HXシリーズ｜販売価格:450,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>HXシリーズ,MLZ-HX2817AS,"ホワイト,ベージュ",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mlz-hx2817as.jpg,三菱電機 ハウジングエアコン セット<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>HXシリーズ,mitsubishi_housing/201805/mlz-hx2817as.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">MLZ-HX2817ASの能力（クラス）は、28クラス（10畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MLZ-HX2817AS-IN x 1</td></tr><tr><th>室外機</th><td>MULZ-HX2817AS x 1</td></tr><tr><th>パネル</th><td>MAC-C01PW x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MLZ-HX2817AS,,1,,486000,486000,,0,,,,,,,,,,,,,,,,,"200141,210005",
501050,,,,,,,,3,三菱電機,三菱電機 1方向天井カセット形 シングル 10畳程度 HXシリーズ 霧ケ峰,1,,"MLZ-HX2817AS-wood｜三菱電機 ハウジングエアコン セット 1方向天井カセット形 10畳程度 シングル 単相200V ワイヤレス HXシリーズ｜販売価格:465,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ハウジングエアコン セット<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>HXシリーズ,MLZ-HX2817AS-wood,"板目,柾目",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_housing/201805/mlz-hx2817as-wood.jpg,三菱電機 ハウジングエアコン セット<br>1方向天井カセット形 10畳程度 シングル<br>単相200V ワイヤレス<br>HXシリーズ,mitsubishi_housing/201805/mlz-hx2817as-wood.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">MLZ-HX2817AS-woodの能力（クラス）は、28クラス（10畳程度）程度となります。同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_3""><tbody><tr><th class=""width1"">項目</th><th class=""width2"">暖房時の目安</th><th class=""width2"">冷房時の目安</th></tr><tr><td>能力</td><td>3.6kw</td><td>2.8kw</td></tr><tr><td>畳数</td><td>8 - 10畳</td><td>8 - 12畳</td></tr><tr><td>m2（平米）数</td><td>13 - 16m2</td><td>13 - 19m2</td></tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>MLZ-HX2817AS-IN x 1</td></tr><tr><th>室外機</th><td>MULZ-HX2817AS x 1</td></tr><tr><th>パネル</th><td>MAC-C03PM x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,MLZ-HX2817AS-wood,,1,,502200,502200,,0,,,,,,,,,,,,,,,,,"200141,210005",
