商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
38258,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 1.5馬力 シングル FIVE STAR ZEAS,1,,"SSRC40BCT｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 1.5馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:811,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 1.5馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC40BCT,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc40bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 1.5馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc40bct.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC40BCTの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP40EG x 1</td></tr><tr><th>室外機</th><td>RSRP40BCT x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC40BCT,,1,,875880,875880,,0,,,,,,,,,,,,,,,,,"100121,110001",
38259,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 1.8馬力 シングル FIVE STAR ZEAS,1,,"SSRC45BCT｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 1.8馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:864,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 1.8馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC45BCT,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc45bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 1.8馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc45bct.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC45BCTの能力は、1.8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr> <tr><td>一般商店</td><td>17 - 26 m2</td><td>5 - 8 坪</td><td>10 - 16 畳</td> </tr> <tr><td>飲食店</td><td>11 - 17 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>14 - 17 m2</td><td>4 - 5 坪</td><td>8 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP45EG x 1</td></tr><tr><th>室外機</th><td>RSRP45BCT x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC45BCT,,1,,933120,933120,,0,,,,,,,,,,,,,,,,,"100121,110002",
38260,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 2馬力 シングル FIVE STAR ZEAS,1,,"SSRC50BCT｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 2馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:913,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 2馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC50BCT,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc50bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 2馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc50bct.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC50BCTの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP50EG x 1</td></tr><tr><th>室外機</th><td>RSRP50BCT x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC50BCT,,1,,986040,986040,,0,,,,,,,,,,,,,,,,,"100121,110003",
38261,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 2.3馬力 シングル FIVE STAR ZEAS,1,,"SSRC56BCT｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 2.3馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:967,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 2.3馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC56BCT,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc56bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 2.3馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc56bct.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC56BCTの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP56EG x 1</td></tr><tr><th>室外機</th><td>RSRP56BCT x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC56BCT,,1,,1044360,1044360,,0,,,,,,,,,,,,,,,,,"100121,110004",
38262,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 2.5馬力 シングル FIVE STAR ZEAS,1,,"SSRC63BCT｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 2.5馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:1,017,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 2.5馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC63BCT,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc63bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 2.5馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc63bct.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC63BCTの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP63EG x 1</td></tr><tr><th>室外機</th><td>RSRP63BCT x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC63BCT,,1,,1098360,1098360,,0,,,,,,,,,,,,,,,,,"100121,110005",
38263,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 3馬力 シングル FIVE STAR ZEAS,1,,"SSRC80BCT｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 3馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:1,097,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 3馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC80BCT,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc80bct.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 3馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc80bct.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC80BCTの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP80EG x 1</td></tr><tr><th>室外機</th><td>RSRP80BCT x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC80BCT,,1,,1184760,1184760,,0,,,,,,,,,,,,,,,,,"100121,110006",
38264,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 4馬力 シングル FIVE STAR ZEAS,1,,"SSRC112BC｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 4馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:1,251,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 4馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC112BC,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc112bc.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 4馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc112bc.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC112BCの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP112EG x 1</td></tr><tr><th>室外機</th><td>RSRP112BC x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC112BC,,1,,1351080,1351080,,0,,,,,,,,,,,,,,,,,"100121,110007",
38265,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 5馬力 シングル FIVE STAR ZEAS,1,,"SSRC140BC｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 5馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:1,471,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 5馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC140BC,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc140bc.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 5馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc140bc.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC140BCの能力は、5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr> <tr><td>一般商店</td><td>54 - 81 m2</td><td>16 - 25 坪</td><td>32 - 50 畳</td> </tr> <tr><td>飲食店</td><td>34 - 54 m2</td><td>10 - 16 坪</td><td>20 - 32 畳</td> </tr> <tr><td>理容室・美容室</td><td>43 - 54 m2</td><td>13 - 16 坪</td><td>26 - 32 畳</td> </tr> <tr><td>病院・医院・学校</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP140EG x 1</td></tr><tr><th>室外機</th><td>RSRP140BC x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC140BC,,1,,1588680,1588680,,0,,,,,,,,,,,,,,,,,"100121,110008",
38266,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 6馬力 シングル FIVE STAR ZEAS,1,,"SSRC160BC｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 6馬力 シングル 三相200V ワイヤード FIVE STAR ZEAS｜販売価格:1,598,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 6馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,SSRC160BC,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc160bc.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 6馬力 シングル<br>三相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc160bc.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC160BCの能力は、6馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr> <tr><td>一般商店</td><td>61 - 91 m2</td><td>18 - 28 坪</td><td>36 - 56 畳</td> </tr> <tr><td>飲食店</td><td>38 - 61 m2</td><td>11 - 19 坪</td><td>24 - 38 畳</td> </tr> <tr><td>理容室・美容室</td><td>48 - 61 m2</td><td>15 - 19 坪</td><td>30 - 38 畳</td> </tr> <tr><td>病院・医院・学校</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP160EG x 1</td></tr><tr><th>室外機</th><td>RSRP160BC x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC160BC,,1,,1725840,1725840,,0,,,,,,,,,,,,,,,,,"100121,110009",
38267,,,,,,,,1,ダイキン,ダイキン 天井カセット4方向 S-ラウンドフロー 1.5馬力 シングル FIVE STAR ZEAS,1,,"SSRC40BCV｜ダイキン 業務用エアコン 超省エネ 天井カセット4方向 S-ラウンドフロー センシングタイプ 1.5馬力 シングル 単相200V ワイヤード FIVE STAR ZEAS｜販売価格:811,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 1.5馬力 シングル<br>単相200V ワイヤード FIVE STAR ZEAS,SSRC40BCV,"フレッシュホワイト,ブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",daikin/201802/ssrc40bcv.jpg,ダイキン 業務用エアコン 超省エネ<br>天井カセット4方向 S-ラウンドフロー センシングタイプ 1.5馬力 シングル<br>単相200V ワイヤード FIVE STAR ZEAS,daikin/201802/ssrc40bcv.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">SSRC40BCVの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FHCP40EG x 1</td></tr><tr><th>室外機</th><td>RSRP40BCV x 1</td></tr><tr><th>パネル</th><td>BYCP160EEF x 1</td></tr><tr><th>リモコン</th><td>BRC1G2 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,SSRC40BCV,,1,,875880,875880,,0,,,,,,,,,,,,,,,,,"100121,110001",
