商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1000001,,,,,,,,1,ダイキン,ダイキン 業務用エアコンワイドパネル P40～P160形 部材 ,1,,"BDBP552H160｜ダイキン 業務用エアコン 天井カセット4方向 ワイドパネル P40～P160形 部材 フレッシュホワイト ラウンドフロー用｜販売価格:12,960｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン<br>天井カセット4方向 ワイドパネル<br>P40～P160形 部材<br>フレッシュホワイト ラウンドフロー用,BDBP552H160,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",daikin_buzai/201609/bdbp552h160.jpg,"ダイキン 業務用エアコン<br>天井カセット4方向 ワイドパネル<br>P40～P160形 部材<br>フレッシュホワイト ラウンドフロー用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",daikin_buzai/201609/bdbp552h160.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅1,500mm×奥行950mm×厚さ8mm</td></tr><tr><th>カラー</th><td>フレッシュホワイト</td></tr><tr><th>適用機種</th><td>P40～P160形</td></tr></tbody></table></div>",,,,,,,2,0,1,BDBP552H160,,1,,12960,12960,,0,,,,,,,,,,,,,,,,,"100120,100100",
1000002,,,,,,,,1,ダイキン,ダイキン 業務用エアコンワイドパネル P40～P160形 部材 ,1,,"BDBJ552K160｜ダイキン 業務用エアコン 天井カセット4方向 ワイドパネル P40～P160形 部材 ホワイト ラウンドフロー用｜販売価格:12,960｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン<br>天井カセット4方向 ワイドパネル<br>P40～P160形 部材<br>ホワイト ラウンドフロー用,BDBJ552K160,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",daikin_buzai/201609/bdbj552k160.jpg,"ダイキン 業務用エアコン<br>天井カセット4方向 ワイドパネル<br>P40～P160形 部材<br>ホワイト ラウンドフロー用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",daikin_buzai/201609/bdbj552k160.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅1,500mm×奥行950mm×厚さ8mm</td></tr><tr><th>カラー</th><td>ホワイト</td></tr><tr><th>適用機種</th><td>P40～P160形</td></tr></tbody></table></div>",,,,,,,2,0,1,BDBJ552K160,,1,,12960,12960,,0,,,,,,,,,,,,,,,,,"100120,100100",
1000003,,,,,,,,1,ダイキン,ダイキン 業務用エアコン風向調整板 P40～P56形 部材 ,1,,"KPW937E4｜ダイキン 業務用エアコン 室外機用 風向調整板 P40～P56形 部材 アイボリーホワイト｜販売価格:10,476｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン<br>室外機用 風向調整板<br>P40～P56形 部材<br>アイボリーホワイト,KPW937E4,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",daikin_buzai/201609/kpw937e4.jpg,"ダイキン 業務用エアコン<br>室外機用 風向調整板<br>P40～P56形 部材<br>アイボリーホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",daikin_buzai/201609/kpw937e4.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>縦490mm×横490mm×奥行80mm</td></tr><tr><th>カラー</th><td>アイボリーホワイト</td></tr><tr><th>適用機種</th><td>P40～P56形</td></tr></tbody></table></div>",,,,,,,2,0,1,KPW937E4,,1,,10476,10476,,0,,,,,,,,,,,,,,,,,"100120,100100",
1000004,,,,,,,,1,ダイキン,ダイキン 業務用エアコン風向調整板 P80形 部材 ,1,,"KPW5G160｜ダイキン 業務用エアコン 室外機用 風向調整板 P80形 部材 アイボリーホワイト｜販売価格:18,684｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",ダイキン 業務用エアコン<br>室外機用 風向調整板<br>P80形 部材<br>アイボリーホワイト,KPW5G160,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",daikin_buzai/201609/kpw5g160.jpg,"ダイキン 業務用エアコン<br>室外機用 風向調整板<br>P80形 部材<br>アイボリーホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",daikin_buzai/201609/kpw5g160.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>縦632mm×横652mm×奥行110mm</td></tr><tr><th>カラー</th><td>アイボリーホワイト</td></tr><tr><th>適用機種</th><td>P80形</td></tr></tbody></table></div>",,,,,,,2,0,1,KPW5G160,,1,,18684,18684,,0,,,,,,,,,,,,,,,,,"100120,100100",
1000005,,,,,,,,2,東芝,東芝 業務用エアコンワイドパネル  部材 ,1,,"TCB-PR41U｜東芝 業務用エアコン 天井カセット4方向用 ワイドパネル  部材 グランホワイト｜販売価格:32,400｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン<br>天井カセット4方向用 ワイドパネル<br> 部材<br>グランホワイト,TCB-PR41U,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",toshiba_buzai/201609/tcb-pr41u.jpg,"東芝 業務用エアコン<br>天井カセット4方向用 ワイドパネル<br> 部材<br>グランホワイト<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",toshiba_buzai/201609/tcb-pr41u.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅1,490mm×奥行980mm×厚さ12mm</td></tr><tr><th>カラー</th><td>グランホワイト</td></tr></tbody></table></div>",,,,,,,2,0,1,TCB-PR41U,,1,,32400,32400,,0,,,,,,,,,,,,,,,,,"100140,100100",
1000006,,,,,,,,2,東芝,東芝 業務用エアコン置台 P50～P80形 部材 ,1,,"RBC-B27-1｜東芝 業務用エアコン 床置形用 置台 鋼板材P50～P80形 部材 ｜販売価格:11,880｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン<br>床置形用 置台<br>鋼板材P50～P80形 部材<br>,RBC-B27-1,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",toshiba_buzai/201609/rbc-b27-1.jpg,"東芝 業務用エアコン<br>床置形用 置台<br>鋼板材P50～P80形 部材<br><br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",toshiba_buzai/201609/rbc-b27-1.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅600mm×奥行210mm×高さ56mm</td></tr><tr><th>適用機種</th><td>P50～P80形</td></tr><tr><th>材質</th><td>鋼板材</td></tr></tbody></table></div>",,,,,,,2,0,1,RBC-B27-1,,1,,11880,11880,,0,,,,,,,,,,,,,,,,,"100140,100100",
1000007,,,,,,,,2,東芝,東芝 業務用エアコン置台 P112～P160形 部材 ,1,,"RBC-B47-1｜東芝 業務用エアコン 床置形用 置台 鋼板材P112～P160形 部材 ｜販売価格:11,880｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン<br>床置形用 置台<br>鋼板材P112～P160形 部材<br>,RBC-B47-1,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",toshiba_buzai/201609/rbc-b47-1.jpg,"東芝 業務用エアコン<br>床置形用 置台<br>鋼板材P112～P160形 部材<br><br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",toshiba_buzai/201609/rbc-b47-1.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅600mm×奥行390mm×高さ56mm</td></tr><tr><th>適用機種</th><td>P112～P160形</td></tr><tr><th>材質</th><td>鋼板材</td></tr></tbody></table></div>",,,,,,,2,0,1,RBC-B47-1,,1,,11880,11880,,0,,,,,,,,,,,,,,,,,"100140,100100",
1000008,,,,,,,,2,東芝,東芝 業務用エアコン置台 P224・P280形 部材 ,1,,"RBC-B8｜東芝 業務用エアコン 床置形用 置台 鋼板材P224・P280形 部材 ｜販売価格:16,200｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン<br>床置形用 置台<br>鋼板材P224・P280形 部材<br>,RBC-B8,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",toshiba_buzai/201609/rbc-b8.jpg,"東芝 業務用エアコン<br>床置形用 置台<br>鋼板材P224・P280形 部材<br><br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",toshiba_buzai/201609/rbc-b8.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅880mm×奥行450mm×高さ56mm</td></tr><tr><th>適用機種</th><td>P224・P280形</td></tr><tr><th>材質</th><td>鋼板材</td></tr></tbody></table></div>",,,,,,,2,0,1,RBC-B8,,1,,16200,16200,,0,,,,,,,,,,,,,,,,,"100140,100100",
1000009,,,,,,,,2,東芝,東芝 業務用エアコン木台 P50～P80形 部材 ,1,,"TCB-CN-800F｜東芝 業務用エアコン 床置形用 木台 P50～P80形 部材 ｜販売価格:12,204｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン<br>床置形用 木台<br>P50～P80形 部材<br>,TCB-CN-800F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",toshiba_buzai/201609/tcb-cn-800f.jpg,"東芝 業務用エアコン<br>床置形用 木台<br>P50～P80形 部材<br><br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",toshiba_buzai/201609/tcb-cn-800f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅630mm×奥行210mm×高さ85mm</td></tr><tr><th>適用機種</th><td>P50～P80形</td></tr></tbody></table></div>",,,,,,,2,0,1,TCB-CN-800F,,1,,12204,12204,,0,,,,,,,,,,,,,,,,,"100140,100100",
1000010,,,,,,,,2,東芝,東芝 業務用エアコン木台 P112～P160形 部材 ,1,,"TCB-CN-1600F｜東芝 業務用エアコン 床置形用 木台 P112～P160形 部材 ｜販売価格:16,200｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン<br>床置形用 木台<br>P112～P160形 部材<br>,TCB-CN-1600F,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai.png"">",toshiba_buzai/201609/tcb-cn-1600f.jpg,"東芝 業務用エアコン<br>床置形用 木台<br>P112～P160形 部材<br><br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-buzai2.png"">",toshiba_buzai/201609/tcb-cn-1600f.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※こちらは業務用エアコンの部材となります。使用可能なメーカー及び型番など必ず事前にご確認ください。</b></strong></li></ul>",,,,,,,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>サイズ</th><td>幅630mm×奥行390mm×高さ85mm</td></tr><tr><th>適用機種</th><td>P112～P160形</td></tr></tbody></table></div>",,,,,,,2,0,1,TCB-CN-1600F,,1,,16200,16200,,0,,,,,,,,,,,,,,,,,"100140,100100",
