商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
700150,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 3馬力 シングル 中温パッケージエアコン,1,,"PLZG-P3MBH｜三菱電機 中温用エアコン 天井カセット4方向 3馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:748,440｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZG-P3MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201502/plzg-p3mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201502/plzg-p3mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/puzg-p3mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P3MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P3MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZG-P3MBH,,1,,748440,748440,,0,,,,,,,,,,,,,,,,,"400131,410007",
700151,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 4馬力 シングル 中温パッケージエアコン,1,,"PLZG-P4MBH｜三菱電機 中温用エアコン 天井カセット4方向 4馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:893,160｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZG-P4MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201502/plzg-p4mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201502/plzg-p4mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/puzg-p4mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P4MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P4MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZG-P4MBH,,1,,893160,893160,,0,,,,,,,,,,,,,,,,,"400131,410008",
700152,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 5馬力 シングル 中温パッケージエアコン,1,,"PLZG-P5MBH｜三菱電機 中温用エアコン 天井カセット4方向 5馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,087,560｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZG-P5MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201502/plzg-p5mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201502/plzg-p5mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/puzg-p5mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P5MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P5MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZG-P5MBH,,1,,1087560,1087560,,0,,,,,,,,,,,,,,,,,"400131,410009",
700153,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 8馬力 同時ツイン 中温パッケージエアコン,1,,"PLZGX-P8MBH｜三菱電機 中温用エアコン 天井カセット4方向 8馬力 同時ツイン 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,643,760｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZGX-P8MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201502/plzgx-p8mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201502/plzgx-p8mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/puzg-p8mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P4MBA8 x 2</td></tr><tr><th>室外機</th><td>PUZG-P8MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 2</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr><tr><th>分岐管</th><td>SDD-50WR8 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZGX-P8MBH,,1,,1643760,1643760,,0,,,,,,,,,,,,,,,,,"400131,410031",
700154,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 10馬力 同時ツイン 中温パッケージエアコン,1,,"PLZGX-P10MBH｜三菱電機 中温用エアコン 天井カセット4方向 10馬力 同時ツイン 三相200V ワイヤード 中温パッケージエアコン｜販売価格:1,990,440｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZGX-P10MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201502/plzgx-p10mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201502/plzgx-p10mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/puzg-p10mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P5MBA8 x 2</td></tr><tr><th>室外機</th><td>PUZG-P10MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 2</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr><tr><th>分岐管</th><td>SDD-50WR8 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZGX-P10MBH,,1,,1990440,1990440,,0,,,,,,,,,,,,,,,,,"400131,410032",
700155,,,,,,,,3,,三菱電機  冷房専用エアコン  天井カセット4方向 3馬力 シングル 冷房専用,1,,"PLG-P3MBH｜三菱電機 中温用エアコン 天井カセット4方向 3馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:670,680｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>冷房専用,PLG-P3MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",mitsubishi_chutei/201502/plg-p3mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>冷房専用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",mitsubishi_chutei/201502/plg-p3mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/pug-p3mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P3MBA8 x 1</td></tr><tr><th>室外機</th><td>PUG-P3MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLG-P3MBH,,1,,670680,670680,,0,,,,,,,,,,,,,,,,,"400131,410007",
700156,,,,,,,,3,,三菱電機  冷房専用エアコン  天井カセット4方向 4馬力 シングル 冷房専用,1,,"PLG-P4MBH｜三菱電機 中温用エアコン 天井カセット4方向 4馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:795,960｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>冷房専用,PLG-P4MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",mitsubishi_chutei/201502/plg-p4mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>冷房専用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",mitsubishi_chutei/201502/plg-p4mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/pug-p4mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P4MBA8 x 1</td></tr><tr><th>室外機</th><td>PUG-P4MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLG-P4MBH,,1,,795960,795960,,0,,,,,,,,,,,,,,,,,"400131,410008",
700157,,,,,,,,3,,三菱電機  冷房専用エアコン  天井カセット4方向 5馬力 シングル 冷房専用,1,,"PLG-P5MBH｜三菱電機 中温用エアコン 天井カセット4方向 5馬力 シングル 三相200V ワイヤード 冷房専用｜販売価格:969,840｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>冷房専用,PLG-P5MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",mitsubishi_chutei/201502/plg-p5mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>冷房専用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",mitsubishi_chutei/201502/plg-p5mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/pug-p5mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P5MBA8 x 1</td></tr><tr><th>室外機</th><td>PUG-P5MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLG-P5MBH,,1,,969840,969840,,0,,,,,,,,,,,,,,,,,"400131,410009",
700158,,,,,,,,3,,三菱電機  冷房専用エアコン  天井カセット4方向 8馬力 同時ツイン 冷房専用,1,,"PLGX-P8MBH｜三菱電機 中温用エアコン 天井カセット4方向 8馬力 同時ツイン 三相200V ワイヤード 冷房専用｜販売価格:1,479,600｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>冷房専用,PLGX-P8MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",mitsubishi_chutei/201502/plgx-p8mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>冷房専用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",mitsubishi_chutei/201502/plgx-p8mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/pug-p8mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P4MBA8 x 2</td></tr><tr><th>室外機</th><td>PUG-P8MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 2</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr><tr><th>分岐管</th><td>SDD-50WR8 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLGX-P8MBH,,1,,1479600,1479600,,0,,,,,,,,,,,,,,,,,"400131,410031",
700159,,,,,,,,3,,三菱電機  冷房専用エアコン  天井カセット4方向 10馬力 同時ツイン 冷房専用,1,,"PLGX-P10MBH｜三菱電機 中温用エアコン 天井カセット4方向 10馬力 同時ツイン 三相200V ワイヤード 冷房専用｜販売価格:1,788,480｜「東京空調センター」では、冷房専用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>冷房専用,PLGX-P10MBH,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only.png"">",mitsubishi_chutei/201502/plgx-p10mbh.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>冷房専用<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/reibou-only2.png"">",mitsubishi_chutei/201502/plgx-p10mbh.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201502/sub/pug-p10mha12.jpg,,,,mitsubishi_chutei/201502/sub/par-36ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P5MBA8 x 2</td></tr><tr><th>室外機</th><td>PUG-P10MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 2</td></tr><tr><th>リモコン</th><td>PAR-36MA x 1</td></tr><tr><th>分岐管</th><td>SDD-50WR8 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLGX-P10MBH,,1,,1788480,1788480,,0,,,,,,,,,,,,,,,,,"400131,410032",
