商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
700194,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 3馬力 シングル 中温パッケージエアコン,1,,"PLZG-P3MBR｜三菱電機 中温用エアコン 天井カセット4方向 3馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZG-P3MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/plzg-p3mbr.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/plzg-p3mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p3mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P3MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P3MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZG-P3MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400131,410007",
700195,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 4馬力 シングル 中温パッケージエアコン,1,,"PLZG-P4MBR｜三菱電機 中温用エアコン 天井カセット4方向 4馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZG-P4MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/plzg-p4mbr.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/plzg-p4mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p4mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P4MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P4MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZG-P4MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400131,410008",
700196,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 5馬力 シングル 中温パッケージエアコン,1,,"PLZG-P5MBR｜三菱電機 中温用エアコン 天井カセット4方向 5馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZG-P5MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/plzg-p5mbr.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/plzg-p5mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p5mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P5MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P5MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZG-P5MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400131,410009",
700197,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 8馬力 同時ツイン 中温パッケージエアコン,1,,"PLZGX-P8MBR｜三菱電機 中温用エアコン 天井カセット4方向 8馬力 同時ツイン 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZGX-P8MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/plzgx-p8mbr.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 8馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/plzgx-p8mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p8mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P4MBA8 x 2</td></tr><tr><th>室外機</th><td>PUZG-P8MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 2</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr><tr><th>分岐管</th><td>SDD-50WR8 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZGX-P8MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400131,410031",
700198,,,,,,,,3,,三菱電機  中温用エアコン  天井カセット4方向 10馬力 同時ツイン 中温パッケージエアコン,1,,"PLZGX-P10MBR｜三菱電機 中温用エアコン 天井カセット4方向 10馬力 同時ツイン 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン,PLZGX-P10MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/plzgx-p10mbr.jpg,"三菱電機 中温用エアコン<br>天井カセット4方向 10馬力 同時ツイン<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/plzgx-p10mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※パネル・リモコン・分岐管を含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p10mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PLZG-P5MBA8 x 2</td></tr><tr><th>室外機</th><td>PUZG-P10MHA12 x 1</td></tr><tr><th>パネル</th><td>PLP-P160BWHG7 x 2</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr><tr><th>分岐管</th><td>SDD-50WR8 x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PLZGX-P10MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400131,410032",
700199,,,,,,,,3,,三菱電機  中温用エアコン  天吊形 3馬力 シングル 中温パッケージエアコン,1,,"PCZG-P3MKR｜三菱電機 中温用エアコン 天吊形 3馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天吊形 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PCZG-P3MKR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/pczg-p3mkr.jpg,"三菱電機 中温用エアコン<br>天吊形 3馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/pczg-p3mkr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p3mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PCZG-P3MKA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P3MHA12 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PCZG-P3MKR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400133,410087",
700200,,,,,,,,3,,三菱電機  中温用エアコン  天吊形 4馬力 シングル 中温パッケージエアコン,1,,"PCZG-P4MKR｜三菱電機 中温用エアコン 天吊形 4馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天吊形 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PCZG-P4MKR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/pczg-p4mkr.jpg,"三菱電機 中温用エアコン<br>天吊形 4馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/pczg-p4mkr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p4mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PCZG-P4MKA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P4MHA12 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PCZG-P4MKR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400133,410088",
700201,,,,,,,,3,,三菱電機  中温用エアコン  天吊形 5馬力 シングル 中温パッケージエアコン,1,,"PCZG-P5MKR｜三菱電機 中温用エアコン 天吊形 5馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天吊形 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PCZG-P5MKR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/pczg-p5mkr.jpg,"三菱電機 中温用エアコン<br>天吊形 5馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/pczg-p5mkr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p5mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PCZG-P5MKA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P5MHA12 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PCZG-P5MKR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400133,410089",
700202,,,,,,,,3,,三菱電機  中温用エアコン  天吊形 8馬力 シングル 中温パッケージエアコン,1,,"PCZG-P8MBR｜三菱電機 中温用エアコン 天吊形 8馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天吊形 8馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PCZG-P8MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/pczg-p8mbr.jpg,"三菱電機 中温用エアコン<br>天吊形 8馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/pczg-p8mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p8mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PCZG-P8MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P8MHA12 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PCZG-P8MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400133,410091",
700203,,,,,,,,3,,三菱電機  中温用エアコン  天吊形 10馬力 シングル 中温パッケージエアコン,1,,"PCZG-P10MBR｜三菱電機 中温用エアコン 天吊形 10馬力 シングル 三相200V ワイヤード 中温パッケージエアコン｜販売価格:999,999｜「東京空調センター」では、中温用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 中温用エアコン<br>天吊形 10馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン,PCZG-P10MBR,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",mitsubishi_chutei/201603/pczg-p10mbr.jpg,"三菱電機 中温用エアコン<br>天吊形 10馬力 シングル<br>三相200V ワイヤード<br>中温パッケージエアコン<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wired2.png"">",mitsubishi_chutei/201603/pczg-p10mbr.jpg,,,"<ul class=""set_comment_list""><li><strong><b>※一部受注生産品のため、お時間掛かる場合がございます</b></strong></li><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_chutei/201603/sub/puzg-p10mha12.jpg,,,,mitsubishi_chutei/201603/sub/par-37ma.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>PCZG-P10MBA8 x 1</td></tr><tr><th>室外機</th><td>PUZG-P10MHA12 x 1</td></tr><tr><th>リモコン</th><td>PAR-37MA x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,PCZG-P10MBR,,1,,0,999999,,0,,,,,,,,,,,,,,,,,"400133,410092",
