商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
600707,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 14畳程度 シングル FZシリーズ 霧ケ峰,1,,"MSZ-FZV4016S-W｜三菱電機 ルームエアコン 壁掛形 14畳程度 シングル 単相200V ワイヤレス 室内電源 FZシリーズ 霧ケ峰｜販売価格:561,600｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰,MSZ-FZV4016S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-fzv4016s-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 14畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-fzv4016s-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-fzv4016s.jpg,,,,mitsubishi_room/201602/sub/fz-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-FZV4016S-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-FZV4016S x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-FZV4016S-W,,1,,561600,561600,,0,,,,,,,,,,,,,,,,,"301031,310007",
600708,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 18畳程度 シングル FZシリーズ 霧ケ峰,1,,"MSZ-FZV5616S-W｜三菱電機 ルームエアコン 壁掛形 18畳程度 シングル 単相200V ワイヤレス 室内電源 FZシリーズ 霧ケ峰｜販売価格:637,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰,MSZ-FZV5616S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-fzv5616s-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 18畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-fzv5616s-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-fzv5616s.jpg,,,,mitsubishi_room/201602/sub/fz-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-FZV5616S-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-FZV5616S x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-FZV5616S-W,,1,,637200,637200,,0,,,,,,,,,,,,,,,,,"301031,310014",
600709,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 20畳程度 シングル FZシリーズ 霧ケ峰,1,,"MSZ-FZV6316S-W｜三菱電機 ルームエアコン 壁掛形 20畳程度 シングル 単相200V ワイヤレス 室内電源 FZシリーズ 霧ケ峰｜販売価格:680,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰,MSZ-FZV6316S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-fzv6316s-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 20畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-fzv6316s-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-fzv6316s.jpg,,,,mitsubishi_room/201602/sub/fz-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-FZV6316S-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-FZV6316S x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-FZV6316S-W,,1,,680400,680400,,0,,,,,,,,,,,,,,,,,"301031,310016",
600710,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 23畳程度 シングル FZシリーズ 霧ケ峰,1,,"MSZ-FZV7116S-W｜三菱電機 ルームエアコン 壁掛形 23畳程度 シングル 単相200V ワイヤレス 室内電源 FZシリーズ 霧ケ峰｜販売価格:723,600｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 23畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰,MSZ-FZV7116S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-fzv7116s-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 23畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-fzv7116s-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-fzv7116s.jpg,,,,mitsubishi_room/201602/sub/fz-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-FZV7116S-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-FZV7116S x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-FZV7116S-W,,1,,723600,723600,,0,,,,,,,,,,,,,,,,,"301031,310018",
600711,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 26畳程度 シングル FZシリーズ 霧ケ峰,1,,"MSZ-FZV8016S-W｜三菱電機 ルームエアコン 壁掛形 26畳程度 シングル 単相200V ワイヤレス 室内電源 FZシリーズ 霧ケ峰｜販売価格:766,800｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 26畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰,MSZ-FZV8016S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-fzv8016s-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 26畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-fzv8016s-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-fzv8016s.jpg,,,,mitsubishi_room/201602/sub/fz-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-FZV8016S-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-FZV8016S x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-FZV8016S-W,,1,,766800,766800,,0,,,,,,,,,,,,,,,,,"301031,310020",
600712,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 29畳程度 シングル FZシリーズ 霧ケ峰,1,,"MSZ-FZV9016S-W｜三菱電機 ルームエアコン 壁掛形 29畳程度 シングル 単相200V ワイヤレス 室内電源 FZシリーズ 霧ケ峰｜販売価格:810,000｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 29畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰,MSZ-FZV9016S-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-fzv9016s-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 29畳程度 シングル<br>単相200V ワイヤレス<br>室内電源 FZシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-fzv9016s-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-fzv9016s.jpg,,,,mitsubishi_room/201602/sub/fz-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-FZV9016S-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-FZV9016S x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-FZV9016S-W,,1,,810000,810000,,0,,,,,,,,,,,,,,,,,"301031,310021",
600713,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 6畳程度 シングル Zシリーズ 霧ケ峰,1,,"MSZ-ZXV2216-W｜三菱電機 ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 Zシリーズ 霧ケ峰｜販売価格:367,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰,MSZ-ZXV2216-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-zxv2216-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-zxv2216-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-zxv2216.jpg,,,,mitsubishi_room/201602/sub/z-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-ZXV2216-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-ZXV2216 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-ZXV2216-W,,1,,367200,367200,,0,,,,,,,,,,,,,,,,,"301031,310003",
600714,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 6畳程度 シングル Zシリーズ 霧ケ峰,1,,"MSZ-ZXV2216-T｜三菱電機 ルームエアコン 壁掛形 6畳程度 シングル 単相100V ワイヤレス 室内電源 Zシリーズ 霧ケ峰｜販売価格:367,200｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰,MSZ-ZXV2216-T,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-zxv2216-t.jpg,"三菱電機 ルームエアコン<br>壁掛形 6畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-zxv2216-t.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-zxv2216.jpg,,,,mitsubishi_room/201602/sub/z-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-ZXV2216-T-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-ZXV2216 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-ZXV2216-T,,1,,367200,367200,,0,,,,,,,,,,,,,,,,,"301031,310003",
600715,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 8畳程度 シングル Zシリーズ 霧ケ峰,1,,"MSZ-ZXV2516-W｜三菱電機 ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 Zシリーズ 霧ケ峰｜販売価格:410,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰,MSZ-ZXV2516-W,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-zxv2516-w.jpg,"三菱電機 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-zxv2516-w.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-zxv2516.jpg,,,,mitsubishi_room/201602/sub/z-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-ZXV2516-W-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-ZXV2516 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-ZXV2516-W,,1,,410400,410400,,0,,,,,,,,,,,,,,,,,"301031,310004",
600716,,,,,,,,3,,三菱電機 ルームエアコン 壁掛形 8畳程度 シングル Zシリーズ 霧ケ峰,1,,"MSZ-ZXV2516-T｜三菱電機 ルームエアコン 壁掛形 8畳程度 シングル 単相100V ワイヤレス 室内電源 Zシリーズ 霧ケ峰｜販売価格:410,400｜「東京空調センター」では、ルームエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱電機 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰,MSZ-ZXV2516-T,,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s100.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",mitsubishi_room/201602/msz-zxv2516-t.jpg,"三菱電機 ルームエアコン<br>壁掛形 8畳程度 シングル<br>単相100V ワイヤレス<br>室内電源 Zシリーズ 霧ケ峰<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-s1002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",mitsubishi_room/201602/msz-zxv2516-t.jpg,,,"<ul class=""set_comment_list""><li><strong>※リモコンを含んだ金額になります</strong></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,mitsubishi_room/201602/sub/muz-zxv2516.jpg,,,,mitsubishi_room/201602/sub/z-rc.jpg,,,,,,"<div class=""table_airconStd""><table><tbody><tr><th>室内機</th><td>MSZ-ZXV2516-T-IN x 1</td></tr><tr><th>室外機</th><td>MUZ-ZXV2516 x 1</td></tr><tr><th>リモコン</th><td>同梱リモコン x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,MSZ-ZXV2516-T,,1,,410400,410400,,0,,,,,,,,,,,,,,,,,"301031,310004",
