商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
41583,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 2馬力 シングル Gシリーズ エコナビ,1,,"PA-P50L6SGA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 2馬力 シングル Gシリーズ エコナビ ワイヤード 単相200V｜販売価格:854,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,PA-P50L6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p50l6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,panasonic/201805/pa-p50l6sga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>22 - 32m2</td>      <td>7 - 10坪</td>      <td>14 - 20畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>17 - 22m2</td>      <td>5 - 7坪</td>      <td>11 - 14畳</td>    </tr>    <tr>      <th>食堂</th>      <td>14 - 22m2</td>      <td>4 - 7坪</td>      <td>9 - 14畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>29 - 43m2</td>      <td>9 - 13坪</td>      <td>18 - 27畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P50L6A x 1</td></tr><tr><th>室外機</th><td>CU-P50G6S x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P50L6SGA,,1,,922320,922320,,0,,,,,,,,,,,,,,,,,"100,223,110,283",
41584,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 2馬力 シングル Gシリーズ エコナビ,1,,"PA-P50L6GA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 2馬力 シングル Gシリーズ エコナビ ワイヤード 三相200V｜販売価格:854,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,PA-P50L6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p50l6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,panasonic/201805/pa-p50l6ga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>22 - 32m2</td>      <td>7 - 10坪</td>      <td>14 - 20畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>17 - 22m2</td>      <td>5 - 7坪</td>      <td>11 - 14畳</td>    </tr>    <tr>      <th>食堂</th>      <td>14 - 22m2</td>      <td>4 - 7坪</td>      <td>9 - 14畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>29 - 43m2</td>      <td>9 - 13坪</td>      <td>18 - 27畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P50L6A x 1</td></tr><tr><th>室外機</th><td>CU-P50G6 x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P50L6GA,,1,,922320,922320,,0,,,,,,,,,,,,,,,,,"100,223,110,283",
41585,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 2.3馬力 シングル Gシリーズ エコナビ,1,,"PA-P56L6SGA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 2.3馬力 シングル Gシリーズ エコナビ ワイヤード 単相200V｜販売価格:900,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,PA-P56L6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p56l6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,panasonic/201805/pa-p56l6sga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>24 - 36m2</td>      <td>7 - 11坪</td>      <td>14 - 22畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>19 - 24m2</td>      <td>6 - 7坪</td>      <td>11 - 14畳</td>    </tr>    <tr>      <th>食堂</th>      <td>15 - 24m2</td>      <td>4 - 7坪</td>      <td>9 - 14畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>33 - 49m2</td>      <td>10 - 15坪</td>      <td>20 - 30畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P56L6A x 1</td></tr><tr><th>室外機</th><td>CU-P56G6S x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P56L6SGA,,1,,972000,972000,,0,,,,,,,,,,,,,,,,,"100,223,110,284",
41586,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 2.3馬力 シングル Gシリーズ エコナビ,1,,"PA-P56L6GA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 2.3馬力 シングル Gシリーズ エコナビ ワイヤード 三相200V｜販売価格:900,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,PA-P56L6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p56l6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,panasonic/201805/pa-p56l6ga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>24 - 36m2</td>      <td>7 - 11坪</td>      <td>14 - 22畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>19 - 24m2</td>      <td>6 - 7坪</td>      <td>11 - 14畳</td>    </tr>    <tr>      <th>食堂</th>      <td>15 - 24m2</td>      <td>4 - 7坪</td>      <td>9 - 14畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>33 - 49m2</td>      <td>10 - 15坪</td>      <td>20 - 30畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P56L6A x 1</td></tr><tr><th>室外機</th><td>CU-P56G6 x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P56L6GA,,1,,972000,972000,,0,,,,,,,,,,,,,,,,,"100,223,110,284",
41587,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 2.5馬力 シングル Gシリーズ エコナビ,1,,"PA-P63L6SGA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 2.5馬力 シングル Gシリーズ エコナビ ワイヤード 単相200V｜販売価格:944,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.5馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,PA-P63L6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p63l6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.5馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,panasonic/201805/pa-p63l6sga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>27 - 41m2</td>      <td>8 - 12坪</td>      <td>16 - 25畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>22 - 27m2</td>      <td>7 - 8坪</td>      <td>13 - 16畳</td>    </tr>    <tr>      <th>食堂</th>      <td>17 - 27m2</td>      <td>5 - 8坪</td>      <td>10 - 16畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>37 - 55m2</td>      <td>11 - 17坪</td>      <td>22 - 33畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P63L6A x 1</td></tr><tr><th>室外機</th><td>CU-P63G6S x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P63L6SGA,,1,,1019520,1019520,,0,,,,,,,,,,,,,,,,,"100,223,110,285",
41588,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 2.5馬力 シングル Gシリーズ エコナビ,1,,"PA-P63L6GA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 2.5馬力 シングル Gシリーズ エコナビ ワイヤード 三相200V｜販売価格:944,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.5馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,PA-P63L6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p63l6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 2.5馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,panasonic/201805/pa-p63l6ga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>27 - 41m2</td>      <td>8 - 12坪</td>      <td>16 - 25畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>22 - 27m2</td>      <td>7 - 8坪</td>      <td>13 - 16畳</td>    </tr>    <tr>      <th>食堂</th>      <td>17 - 27m2</td>      <td>5 - 8坪</td>      <td>10 - 16畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>37 - 55m2</td>      <td>11 - 17坪</td>      <td>22 - 33畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P63L6A x 1</td></tr><tr><th>室外機</th><td>CU-P63G6 x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P63L6GA,,1,,1019520,1019520,,0,,,,,,,,,,,,,,,,,"100,223,110,285",
41589,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 3馬力 シングル Gシリーズ エコナビ,1,,"PA-P80L6SGA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 3馬力 シングル Gシリーズ エコナビ ワイヤード 単相200V｜販売価格:1,017,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,PA-P80L6SGA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p80l6sga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 単相200V,panasonic/201805/pa-p80l6sga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>35 - 52m2</td>      <td>11 - 16坪</td>      <td>21 - 31畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>28 - 35m2</td>      <td>8 - 10坪</td>      <td>17 - 21畳</td>    </tr>    <tr>      <th>食堂</th>      <td>22 - 35m2</td>      <td>7 - 10坪</td>      <td>13 - 21畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>47 - 70m2</td>      <td>14 - 21坪</td>      <td>28 - 42畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P80L6A x 1</td></tr><tr><th>室外機</th><td>CU-P80G6S x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P80L6SGA,,1,,1098360,1098360,,0,,,,,,,,,,,,,,,,,"100,223,110,286",
41590,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 3馬力 シングル Gシリーズ エコナビ,1,,"PA-P80L6GA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 3馬力 シングル Gシリーズ エコナビ ワイヤード 三相200V｜販売価格:1,017,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,PA-P80L6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p80l6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 3馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,panasonic/201805/pa-p80l6ga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>35 - 52m2</td>      <td>11 - 16坪</td>      <td>21 - 31畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>28 - 35m2</td>      <td>8 - 10坪</td>      <td>17 - 21畳</td>    </tr>    <tr>      <th>食堂</th>      <td>22 - 35m2</td>      <td>7 - 10坪</td>      <td>13 - 21畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>47 - 70m2</td>      <td>14 - 21坪</td>      <td>28 - 42畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P80L6A x 1</td></tr><tr><th>室外機</th><td>CU-P80G6 x 1</td></tr><tr><th>パネル</th><td>CZ-80KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P80L6GA,,1,,1098360,1098360,,0,,,,,,,,,,,,,,,,,"100,223,110,286",
41591,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 4馬力 シングル Gシリーズ エコナビ,1,,"PA-P112L6GA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 4馬力 シングル Gシリーズ エコナビ ワイヤード 三相200V｜販売価格:1,163,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 4馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,PA-P112L6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p112l6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 4馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,panasonic/201805/pa-p112l6ga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>49 - 72m2</td>      <td>15 - 22坪</td>      <td>30 - 44畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>39 - 49m2</td>      <td>12 - 15坪</td>      <td>24 - 30畳</td>    </tr>    <tr>      <th>食堂</th>      <td>30 - 49m2</td>      <td>9 - 15坪</td>      <td>18 - 30畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>66 - 97m2</td>      <td>20 - 30坪</td>      <td>40 - 59畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P112L6A x 1</td></tr><tr><th>室外機</th><td>CU-P112G6 x 1</td></tr><tr><th>パネル</th><td>CZ-160KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P112L6GA,,1,,1256040,1256040,,0,,,,,,,,,,,,,,,,,"100,223,110,287",
41592,,,,,,,,6,パナソニック,パナソニック 2方向天井カセット形 5馬力 シングル Gシリーズ エコナビ,1,,"PA-P140L6GA｜パナソニック 業務用エアコン 超省エネ 2方向天井カセット形 5馬力 シングル Gシリーズ エコナビ ワイヤード 三相200V｜販売価格:1,358,000｜「東京空調センター」は、業務用エアコン通販専門サイトです！全国送料無料！激安価格にてご提供させて頂いております。",パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 5馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,PA-P140L6GA,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",panasonic/201805/pa-p140l6ga.jpg,パナソニック 業務用エアコン 超省エネ<br>2方向天井カセット形 5馬力 シングル<br>Gシリーズ エコナビ ワイヤード 三相200V,panasonic/201805/pa-p140l6ga.jpg,,,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<img src=""https://www.setsu-bi.com/user_data/packages/default/img/common/airconstd7.jpg""  width=""680px""><br />  <table id=""airconStd4"">   <tr>      <th>&nbsp;</th>      <th>m2</th>      <th>坪</th>      <th>畳</th>    </tr>    <tr>      <th>一般商店</th>      <td>61 - 90m2</td>      <td>18 - 27坪</td>      <td>37 - 54畳</td>    </tr>    <tr>      <th>喫茶・理美容院</th>      <td>48 - 61m2</td>      <td>14 - 18坪</td>      <td>29 - 37畳</td>    </tr>    <tr>      <th>食堂</th>      <td>38 - 61m2</td>      <td>11 - 18坪</td>      <td>23 - 37畳</td>    </tr>    <tr>      <th>一般事務所</th>      <td>82 - 112m2</td>      <td>25 - 34坪</td>      <td>50 - 68畳</td>    </tr>  </table><br />（注意）上表はあくまでも目安です。<br />適用面積の数値は冷房時の目安で、使用条件（人の出入り・間取り、火の使用等）により変わります。<br />厨房内の空調面積は状況により大きく異なりますので、予めご了承ください。<br />プレハブ等断熱性の低い建物では、暖房基準も考慮して機種選定をお願いいたします。<br />（鉄筋コンクリート等断熱性の高い建物では従来通り冷房基準で機種選定をお願いします。）",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>CS-P140L6A x 1</td></tr><tr><th>室外機</th><td>CU-P140G6 x 1</td></tr><tr><th>パネル</th><td>CZ-160KPEL6 x 1</td></tr><tr><th>リモコン</th><td>CZ-10RT4C x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,PA-P140L6GA,,1,,1466640,1466640,,0,,,,,,,,,,,,,,,,,"100,223,110,288",
