商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
41726,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 4馬力 シングル,1,,"FDTV1125HA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 4馬力 シングル 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:1,105,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1125HA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1125ha5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1125ha5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1125HA5S-osoujiの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP1605S x 1</td></tr><tr><th>室外機</th><td>FDCVP1125HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 1</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1125HA5S-osouji,,1,,1193400,1193400,,0,,,,,,,,,,,,,,,,,"100,201,110,007",
41727,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 5馬力 シングル,1,,"FDTV1405HA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 5馬力 シングル 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:1,251,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1405HA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1405ha5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1405ha5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1405HA5S-osoujiの能力は、5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr> <tr><td>一般商店</td><td>54 - 81 m2</td><td>16 - 25 坪</td><td>32 - 50 畳</td> </tr> <tr><td>飲食店</td><td>34 - 54 m2</td><td>10 - 16 坪</td><td>20 - 32 畳</td> </tr> <tr><td>理容室・美容室</td><td>43 - 54 m2</td><td>13 - 16 坪</td><td>26 - 32 畳</td> </tr> <tr><td>病院・医院・学校</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP1605S x 1</td></tr><tr><th>室外機</th><td>FDCVP1405HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 1</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1405HA5S-osouji,,1,,1351080,1351080,,0,,,,,,,,,,,,,,,,,"100,201,110,008",
41728,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 6馬力 シングル,1,,"FDTV1605HA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 6馬力 シングル 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:1,349,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 シングル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1605HA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1605ha5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 シングル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1605ha5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1605HA5S-osoujiの能力は、6馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr> <tr><td>一般商店</td><td>61 - 91 m2</td><td>18 - 28 坪</td><td>36 - 56 畳</td> </tr> <tr><td>飲食店</td><td>38 - 61 m2</td><td>11 - 19 坪</td><td>24 - 38 畳</td> </tr> <tr><td>理容室・美容室</td><td>48 - 61 m2</td><td>15 - 19 坪</td><td>30 - 38 畳</td> </tr> <tr><td>病院・医院・学校</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP1605S x 1</td></tr><tr><th>室外機</th><td>FDCVP1605HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 1</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1605HA5S-osouji,,1,,1456920,1456920,,0,,,,,,,,,,,,,,,,,"100,201,110,009",
41729,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 4馬力 同時ツイン,1,,"FDTV1125HPA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 4馬力 同時ツイン 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:1,392,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 4馬力 同時ツイン<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1125HPA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1125hpa5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 4馬力 同時ツイン<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1125hpa5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1125HPA5S-osoujiの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP635S x 2</td></tr><tr><th>室外機</th><td>FDCVP1125HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 2</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr><tr><th>分岐管</th><td>DIS-WA1G x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1125HPA5S-osouji,,1,,1503360,1503360,,0,,,,,,,,,,,,,,,,,"100,201,110,027",
41730,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 5馬力 同時ツイン,1,,"FDTV1405HPA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 5馬力 同時ツイン 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:1,574,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1405HPA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1405hpa5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 5馬力 同時ツイン<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1405hpa5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1405HPA5S-osoujiの能力は、5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr> <tr><td>一般商店</td><td>54 - 81 m2</td><td>16 - 25 坪</td><td>32 - 50 畳</td> </tr> <tr><td>飲食店</td><td>34 - 54 m2</td><td>10 - 16 坪</td><td>20 - 32 畳</td> </tr> <tr><td>理容室・美容室</td><td>43 - 54 m2</td><td>13 - 16 坪</td><td>26 - 32 畳</td> </tr> <tr><td>病院・医院・学校</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP715S x 2</td></tr><tr><th>室外機</th><td>FDCVP1405HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 2</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr><tr><th>分岐管</th><td>DIS-WA1G x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1405HPA5S-osouji,,1,,1699920,1699920,,0,,,,,,,,,,,,,,,,,"100,201,110,028",
41731,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 6馬力 同時ツイン,1,,"FDTV1605HPA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 6馬力 同時ツイン 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:1,684,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 同時ツイン<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1605HPA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1605hpa5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 同時ツイン<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1605hpa5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1605HPA5S-osoujiの能力は、6馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr> <tr><td>一般商店</td><td>61 - 91 m2</td><td>18 - 28 坪</td><td>36 - 56 畳</td> </tr> <tr><td>飲食店</td><td>38 - 61 m2</td><td>11 - 19 坪</td><td>24 - 38 畳</td> </tr> <tr><td>理容室・美容室</td><td>48 - 61 m2</td><td>15 - 19 坪</td><td>30 - 38 畳</td> </tr> <tr><td>病院・医院・学校</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP805S x 2</td></tr><tr><th>室外機</th><td>FDCVP1605HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 2</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr><tr><th>分岐管</th><td>DIS-WA1G x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1605HPA5S-osouji,,1,,1818720,1818720,,0,,,,,,,,,,,,,,,,,"100,201,110,029",
41732,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 6馬力 同時トリプル,1,,"FDTV1605HTA5S-osouji｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 6馬力 同時トリプル 三相200V ワイヤード HyperInverter お掃除ラクリーナパネル｜販売価格:2,006,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 同時トリプル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,FDTV1605HTA5S-osouji,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1605hta5s-osouji.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 同時トリプル<br>三相200V ワイヤード<br>HyperInverter お掃除ラクリーナパネル,jyuko/201806/fdtv1605hta5s-osouji.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">FDTV1605HTA5S-osoujiの能力は、6馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr> <tr><td>一般商店</td><td>61 - 91 m2</td><td>18 - 28 坪</td><td>36 - 56 畳</td> </tr> <tr><td>飲食店</td><td>38 - 61 m2</td><td>11 - 19 坪</td><td>24 - 38 畳</td> </tr> <tr><td>理容室・美容室</td><td>48 - 61 m2</td><td>15 - 19 坪</td><td>30 - 38 畳</td> </tr> <tr><td>病院・医院・学校</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP635S x 3</td></tr><tr><th>室外機</th><td>FDCVP1605HA x 1</td></tr><tr><th>パネル</th><td>T-PSCLS-5AW x 3</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr><tr><th>分岐管</th><td>DIS-TA1G x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1605HTA5S-osouji,,1,,2166480,2166480,,0,,,,,,,,,,,,,,,,,"100,201,110,069",
41733,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 4馬力 シングル,1,,"FDTV1125HA5S-raku｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 4馬力 シングル 三相200V ワイヤード HyperInverter ラクリーナパネル｜販売価格:1,060,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>HyperInverter ラクリーナパネル,FDTV1125HA5S-raku,"プラスターホワイト,シャドーブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1125ha5s-raku.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 4馬力 シングル<br>三相200V ワイヤード<br>HyperInverter ラクリーナパネル,jyuko/201806/fdtv1125ha5s-raku.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">FDTV1125HA5S-rakuの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP1605S x 1</td></tr><tr><th>室外機</th><td>FDCVP1125HA x 1</td></tr><tr><th>パネル</th><td>T-PSCL-5AW x 1</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1125HA5S-raku,,1,,1144800,1144800,,0,,,,,,,,,,,,,,,,,"100,201,110,007",
41734,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 5馬力 シングル,1,,"FDTV1405HA5S-raku｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 5馬力 シングル 三相200V ワイヤード HyperInverter ラクリーナパネル｜販売価格:1,206,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>HyperInverter ラクリーナパネル,FDTV1405HA5S-raku,"プラスターホワイト,シャドーブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1405ha5s-raku.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 5馬力 シングル<br>三相200V ワイヤード<br>HyperInverter ラクリーナパネル,jyuko/201806/fdtv1405ha5s-raku.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">FDTV1405HA5S-rakuの能力は、5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr> <tr><td>一般商店</td><td>54 - 81 m2</td><td>16 - 25 坪</td><td>32 - 50 畳</td> </tr> <tr><td>飲食店</td><td>34 - 54 m2</td><td>10 - 16 坪</td><td>20 - 32 畳</td> </tr> <tr><td>理容室・美容室</td><td>43 - 54 m2</td><td>13 - 16 坪</td><td>26 - 32 畳</td> </tr> <tr><td>病院・医院・学校</td><td>74 - 109 m2</td><td>22 - 33 坪</td><td>44 - 66 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP1605S x 1</td></tr><tr><th>室外機</th><td>FDCVP1405HA x 1</td></tr><tr><th>パネル</th><td>T-PSCL-5AW x 1</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1405HA5S-raku,,1,,1302480,1302480,,0,,,,,,,,,,,,,,,,,"100,201,110,008",
41735,,,,,,,,5,三菱重工,三菱重工 HyperInverter 天井カセット4方向 6馬力 シングル,1,,"FDTV1605HA5S-raku｜三菱重工 業務用エアコン 標準省エネ 天井カセット4方向 6馬力 シングル 三相200V ワイヤード HyperInverter ラクリーナパネル｜販売価格:1,304,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 シングル<br>三相200V ワイヤード<br>HyperInverter ラクリーナパネル,FDTV1605HA5S-raku,"プラスターホワイト,シャドーブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",jyuko/201806/fdtv1605ha5s-raku.jpg,三菱重工 業務用エアコン 標準省エネ<br>天井カセット4方向 6馬力 シングル<br>三相200V ワイヤード<br>HyperInverter ラクリーナパネル,jyuko/201806/fdtv1605ha5s-raku.jpg,,gj4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">FDTV1605HA5S-rakuの能力は、6馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr> <tr><td>一般商店</td><td>61 - 91 m2</td><td>18 - 28 坪</td><td>36 - 56 畳</td> </tr> <tr><td>飲食店</td><td>38 - 61 m2</td><td>11 - 19 坪</td><td>24 - 38 畳</td> </tr> <tr><td>理容室・美容室</td><td>48 - 61 m2</td><td>15 - 19 坪</td><td>30 - 38 畳</td> </tr> <tr><td>病院・医院・学校</td><td>82 - 122 m2</td><td>25 - 39 坪</td><td>50 - 78 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>FDTZP1605S x 1</td></tr><tr><th>室外機</th><td>FDCVP1605HA x 1</td></tr><tr><th>パネル</th><td>T-PSCL-5AW x 1</td></tr><tr><th>リモコン</th><td>RC-DX3A x 1</td></tr></tbody></table></div>",,,,,,,2,0,1,FDTV1605HA5S-raku,,1,,1408320,1408320,,0,,,,,,,,,,,,,,,,,"100,201,110,009",
