商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
42135,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル ウルトラパワーエコ,1,,"RKXA11232X｜東芝 業務用エアコン 超省エネ 壁掛形 4馬力 シングル 三相200V ワイヤレス ウルトラパワーエコ｜販売価格:1,123,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 超省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ,RKXA11232X,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201807/rkxa11232x.jpg,東芝 業務用エアコン 超省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>ウルトラパワーエコ,toshiba/201807/rkxa11232x.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">RKXA11232Xの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-RP1122HX x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>室内ユニット内蔵 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RKXA11232X,,1,,1212840,1212840,,0,,,,,,,,,,,,,,,,,"100146,110707",
42136,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル ウルトラパワーエコ,1,,"RKXA11232M｜東芝 業務用エアコン 超省エネ 壁掛形 4馬力 シングル 三相200V ワイヤード ウルトラパワーエコ｜販売価格:1,126,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 超省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>ウルトラパワーエコ,RKXA11232M,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201807/rkxa11232m.jpg,東芝 業務用エアコン 超省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>ウルトラパワーエコ,toshiba/201807/rkxa11232m.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">RKXA11232Mの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-RP1122HX x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RKXA11232M,,1,,1216080,1216080,,0,,,,,,,,,,,,,,,,,"100146,110707",
42137,,,,,,,,2,東芝,東芝 壁掛形 8馬力 同時ツイン スーパーパワーエコゴールド,1,,"AKSB22437X｜東芝 業務用エアコン 標準省エネ 壁掛形 8馬力 同時ツイン 三相200V ワイヤレス スーパーパワーエコゴールド｜販売価格:1,992,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>壁掛形 8馬力 同時ツイン<br>三相200V ワイヤレス<br>スーパーパワーエコゴールド,AKSB22437X,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201807/aksb22437x.jpg,東芝 業務用エアコン 標準省エネ<br>壁掛形 8馬力 同時ツイン<br>三相200V ワイヤレス<br>スーパーパワーエコゴールド,toshiba/201807/aksb22437x.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKSB22437Xの能力は、8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>118 - 174 m2</td><td>36 - 53 坪</td><td>74 - 106 畳</td> </tr> <tr><td>一般商店</td><td>87 - 129 m2</td><td>26 - 39 坪</td><td>52 - 78 畳</td> </tr> <tr><td>飲食店</td><td>54 - 87 m2</td><td>16 - 26 坪</td><td>32 - 52 畳</td> </tr> <tr><td>理容室・美容室</td><td>69 - 87 m2</td><td>20 - 26 坪</td><td>40 - 52 畳</td> </tr> <tr><td>病院・医院・学校</td><td>118 - 174 m2</td><td>36 - 53 坪</td><td>74 - 106 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 2</td></tr><tr><th>室外機</th><td>ROA-AP2247HS x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>室内ユニット内蔵 x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP101  x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKSB22437X,,1,,2151360,2151360,,0,,,,,,,,,,,,,,,,,"100146,110730",
42138,,,,,,,,2,東芝,東芝 壁掛形 8馬力 同時ツイン スーパーパワーエコゴールド,1,,"AKSB22437M｜東芝 業務用エアコン 標準省エネ 壁掛形 8馬力 同時ツイン 三相200V ワイヤード スーパーパワーエコゴールド｜販売価格:1,995,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>壁掛形 8馬力 同時ツイン<br>三相200V ワイヤード<br>スーパーパワーエコゴールド,AKSB22437M,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201807/aksb22437m.jpg,東芝 業務用エアコン 標準省エネ<br>壁掛形 8馬力 同時ツイン<br>三相200V ワイヤード<br>スーパーパワーエコゴールド,toshiba/201807/aksb22437m.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコン・分岐管を含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKSB22437Mの能力は、8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>118 - 174 m2</td><td>36 - 53 坪</td><td>74 - 106 畳</td> </tr> <tr><td>一般商店</td><td>87 - 129 m2</td><td>26 - 39 坪</td><td>52 - 78 畳</td> </tr> <tr><td>飲食店</td><td>54 - 87 m2</td><td>16 - 26 坪</td><td>32 - 52 畳</td> </tr> <tr><td>理容室・美容室</td><td>69 - 87 m2</td><td>20 - 26 坪</td><td>40 - 52 畳</td> </tr> <tr><td>病院・医院・学校</td><td>118 - 174 m2</td><td>36 - 53 坪</td><td>74 - 106 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 2</td></tr><tr><th>室外機</th><td>ROA-AP2247HS x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr><tr><th>分岐管</th><td>RBC-TWP101 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKSB22437M,,1,,2154600,2154600,,0,,,,,,,,,,,,,,,,,"100146,110730",
42139,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル スーパーパワーエコmini,1,,"AKEA11237X｜東芝 業務用エアコン 標準省エネ 壁掛形 4馬力 シングル 三相200V ワイヤレス スーパーパワーエコmini｜販売価格:946,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>スーパーパワーエコmini,AKEA11237X,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201807/akea11237x.jpg,東芝 業務用エアコン 標準省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>スーパーパワーエコmini,toshiba/201807/akea11237x.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKEA11237Xの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-AP1127H x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>室内ユニット内蔵 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKEA11237X,,1,,1021680,1021680,,0,,,,,,,,,,,,,,,,,"100146,110707",
42140,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル スーパーパワーエコmini,1,,"AKEA11237M｜東芝 業務用エアコン 標準省エネ 壁掛形 4馬力 シングル 三相200V ワイヤード スーパーパワーエコmini｜販売価格:949,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>スーパーパワーエコmini,AKEA11237M,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201807/akea11237m.jpg,東芝 業務用エアコン 標準省エネ<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>スーパーパワーエコmini,toshiba/201807/akea11237m.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKEA11237Mの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-AP1127H x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKEA11237M,,1,,1024920,1024920,,0,,,,,,,,,,,,,,,,,"100146,110707",
42141,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル スーパーパワーエコ暖太郎,1,,"AKHA11234X｜東芝 業務用エアコン 寒冷地用 壁掛形 4馬力 シングル 三相200V ワイヤレス スーパーパワーエコ暖太郎｜販売価格:1,006,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>スーパーパワーエコ暖太郎,AKHA11234X,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201807/akha11234x.jpg,東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>スーパーパワーエコ暖太郎,toshiba/201807/akha11234x.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKHA11234Xの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-HAP1124HS x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>室内ユニット内蔵 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKHA11234X,,1,,1086480,1086480,,0,,,,,,,,,,,,,,,,,"100146,110707",
42142,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル スーパーパワーエコ暖太郎,1,,"AKHA11234M｜東芝 業務用エアコン 寒冷地用 壁掛形 4馬力 シングル 三相200V ワイヤード スーパーパワーエコ暖太郎｜販売価格:1,009,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>スーパーパワーエコ暖太郎,AKHA11234M,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201807/akha11234m.jpg,東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>スーパーパワーエコ暖太郎,toshiba/201807/akha11234m.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKHA11234Mの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-HAP1124HS x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKHA11234M,,1,,1089720,1089720,,0,,,,,,,,,,,,,,,,,"100146,110707",
42143,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル スーパーパワーエコ暖太郎,1,,"AKHA11234X-R｜東芝 業務用エアコン 寒冷地用 壁掛形 4馬力 シングル 三相200V ワイヤレス スーパーパワーエコ暖太郎｜販売価格:1,061,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>スーパーパワーエコ暖太郎,AKHA11234X-R,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201807/akha11234x-r.jpg,東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤレス<br>スーパーパワーエコ暖太郎,toshiba/201807/akha11234x-r.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKHA11234X-Rの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-HAP1124HSR x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>室内ユニット内蔵 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKHA11234X-R,,1,,1145880,1145880,,0,,,,,,,,,,,,,,,,,"100146,110707",
42144,,,,,,,,2,東芝,東芝 壁掛形 4馬力 シングル スーパーパワーエコ暖太郎,1,,"AKHA11234M-R｜東芝 業務用エアコン 寒冷地用 壁掛形 4馬力 シングル 三相200V ワイヤード スーパーパワーエコ暖太郎｜販売価格:1,064,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>スーパーパワーエコ暖太郎,AKHA11234M-R,,,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wired.png"">",toshiba/201807/akha11234m-r.jpg,東芝 業務用エアコン 寒冷地用<br>壁掛形 4馬力 シングル<br>三相200V ワイヤード<br>スーパーパワーエコ暖太郎,toshiba/201807/akha11234m-r.jpg,,gtk,"<ul class=""set_comment_list""><li>※リモコンを含む合計金額です</li></ul>",,,,,,,,"<p class=""poText"">AKHA11234M-Rの能力は、4馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr> <tr><td>一般商店</td><td>43 - 65 m2</td><td>13 - 20 坪</td><td>26 - 40 畳</td> </tr> <tr><td>飲食店</td><td>27 - 43 m2</td><td>8 - 13 坪</td><td>16 - 26 畳</td> </tr> <tr><td>理容室・美容室</td><td>34 - 43 m2</td><td>10 - 13 坪</td><td>20 - 26 畳</td> </tr> <tr><td>病院・医院・学校</td><td>59 - 87 m2</td><td>18 - 26 坪</td><td>36 - 52 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIK-RP1123H x 1</td></tr><tr><th>室外機</th><td>ROA-HAP1124HSR x 1</td></tr><tr><th>リモコン</th><td>RBC-AMS53 x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,AKHA11234M-R,,1,,1149120,1149120,,0,,,,,,,,,,,,,,,,,"100146,110707",
