商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
42149,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 1.5馬力 シングル 冷媒R32,1,,"RUSA04033JX｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 1.5馬力 シングル 単相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:743,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.5馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA04033JX,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa04033jx.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.5馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa04033jx.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA04033JXの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP403H x 1</td></tr><tr><th>室外機</th><td>ROA-RP403HSJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA04033JX,,1,,802440,802440,,0,,,,,,,,,,,,,,,,,"100,141,110,001",
42150,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 1.8馬力 シングル 冷媒R32,1,,"RUSA04533JX｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 1.8馬力 シングル 単相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:799,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.8馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA04533JX,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa04533jx.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.8馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa04533jx.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA04533JXの能力は、1.8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr> <tr><td>一般商店</td><td>17 - 26 m2</td><td>5 - 8 坪</td><td>10 - 16 畳</td> </tr> <tr><td>飲食店</td><td>11 - 17 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>14 - 17 m2</td><td>4 - 5 坪</td><td>8 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP453H x 1</td></tr><tr><th>室外機</th><td>ROA-RP453HSJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA04533JX,,1,,862920,862920,,0,,,,,,,,,,,,,,,,,"100,141,110,002",
42151,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 2馬力 シングル 冷媒R32,1,,"RUSA05033JX｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 2馬力 シングル 単相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:846,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA05033JX,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa05033jx.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa05033jx.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA05033JXの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP503H x 1</td></tr><tr><th>室外機</th><td>ROA-RP503HSJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA05033JX,,1,,913680,913680,,0,,,,,,,,,,,,,,,,,"100,141,110,003",
42152,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 2.3馬力 シングル 冷媒R32,1,,"RUSA05633JX｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 2.3馬力 シングル 単相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:885,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2.3馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA05633JX,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa05633jx.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2.3馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa05633jx.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA05633JXの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP563H x 1</td></tr><tr><th>室外機</th><td>ROA-RP563HSJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA05633JX,,1,,955800,955800,,0,,,,,,,,,,,,,,,,,"100,141,110,004",
42153,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 2.5馬力 シングル 冷媒R32,1,,"RUSA06333JX｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 2.5馬力 シングル 単相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:927,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2.5馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA06333JX,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa06333jx.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2.5馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa06333jx.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA06333JXの能力は、2.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr> <tr><td>一般商店</td><td>24 - 36 m2</td><td>7 - 11 坪</td><td>14 - 22 畳</td> </tr> <tr><td>飲食店</td><td>15 - 24 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>19 - 24 m2</td><td>6 - 7 坪</td><td>12 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>33 - 49 m2</td><td>10 - 15 坪</td><td>20 - 30 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP633H x 1</td></tr><tr><th>室外機</th><td>ROA-RP633HSJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA06333JX,,1,,1001160,1001160,,0,,,,,,,,,,,,,,,,,"100,141,110,005",
42154,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 3馬力 シングル 冷媒R32,1,,"RUSA08033JX｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 3馬力 シングル 単相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:1,004,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA08033JX,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa08033jx.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 3馬力 シングル<br>単相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa08033jx.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA08033JXの能力は、3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr> <tr><td>一般商店</td><td>31 - 46 m2</td><td>9 - 14 坪</td><td>18 - 34 畳</td> </tr> <tr><td>飲食店</td><td>19 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>理容室・美容室</td><td>24 - 31 m2</td><td>7 - 9 坪</td><td>14 - 18 畳</td> </tr> <tr><td>病院・医院・学校</td><td>42 - 62 m2</td><td>13 - 19 坪</td><td>26 - 38 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP803H x 1</td></tr><tr><th>室外機</th><td>ROA-RP803HSJ x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA08033JX,,1,,1084320,1084320,,0,,,,,,,,,,,,,,,,,"100,141,110,006",
42155,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 1.5馬力 シングル 冷媒R32,1,,"RUSA04033X｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 1.5馬力 シングル 三相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:743,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.5馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA04033X,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa04033x.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.5馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa04033x.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA04033Xの能力は、1.5馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>一般商店</td><td>16 - 23 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>飲食店</td><td>10 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>12 - 16 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>21 - 31 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP403H x 1</td></tr><tr><th>室外機</th><td>ROA-RP403HS x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA04033X,,1,,802440,802440,,0,,,,,,,,,,,,,,,,,"100,141,110,001",
42156,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 1.8馬力 シングル 冷媒R32,1,,"RUSA04533X｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 1.8馬力 シングル 三相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:799,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.8馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA04533X,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa04533x.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 1.8馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa04533x.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA04533Xの能力は、1.8馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr> <tr><td>一般商店</td><td>17 - 26 m2</td><td>5 - 8 坪</td><td>10 - 16 畳</td> </tr> <tr><td>飲食店</td><td>11 - 17 m2</td><td>3 - 5 坪</td><td>6 - 10 畳</td> </tr> <tr><td>理容室・美容室</td><td>14 - 17 m2</td><td>4 - 5 坪</td><td>8 - 10 畳</td> </tr> <tr><td>病院・医院・学校</td><td>24 - 35 m2</td><td>7 - 12 坪</td><td>14 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP453H x 1</td></tr><tr><th>室外機</th><td>ROA-RP453HS x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA04533X,,1,,862920,862920,,0,,,,,,,,,,,,,,,,,"100,141,110,002",
42157,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 2馬力 シングル 冷媒R32,1,,"RUSA05033X｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 2馬力 シングル 三相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:846,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA05033X,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa05033x.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa05033x.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA05033Xの能力は、2馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr> <tr><td>一般商店</td><td>20 - 29 m2</td><td>6 - 9 坪</td><td>12 - 18 畳</td> </tr> <tr><td>飲食店</td><td>12 - 20 m2</td><td>4 - 6 坪</td><td>8 - 12 畳</td> </tr> <tr><td>理容室・美容室</td><td>16 - 20 m2</td><td>5 - 6 坪</td><td>10 - 12 畳</td> </tr> <tr><td>病院・医院・学校</td><td>26 - 39 m2</td><td>8 - 12 坪</td><td>16 - 24 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP503H x 1</td></tr><tr><th>室外機</th><td>ROA-RP503HS x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA05033X,,1,,913680,913680,,0,,,,,,,,,,,,,,,,,"100,141,110,003",
42158,,,,,,,,2,東芝,東芝 スーパーパワーエコゴールド 天井カセット4方向 2.3馬力 シングル 冷媒R32,1,,"RUSA05633X｜東芝 業務用エアコン 標準省エネ 天井カセット4方向 2.3馬力 シングル 三相200V ワイヤレス 冷媒R32 スーパーパワーエコゴールド｜販売価格:885,000｜「東京空調センター」では、業務用エアコンを驚きの価格でご提供いたします。日本全国送料無料です。",東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2.3馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,RUSA05633X,"グランホワイト,マースブラウン,アポログレー,コスミックブラック",,,"<img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-s200.png""><img src=""https://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",toshiba/201812/rusa05633x.jpg,東芝 業務用エアコン 標準省エネ<br>天井カセット4方向 2.3馬力 シングル<br>三相200V ワイヤレス 冷媒R32<br>スーパーパワーエコゴールド,toshiba/201812/rusa05633x.jpg,,gt4,"<ul class=""set_comment_list""><li>※パネル・リモコンを含む合計金額です</li><li>※パネル色をご選択ください</li></ul>",,,,,,,,"<p class=""poText"">RUSA05633Xの能力は、2.3馬力程度となります。<br>同じ広さでもエアコンの効き具合は、使用条件や建物の構造により異なります。<br>各設置場所ごとの空調面積目安となりますので、ぜひご参考にご覧ください。</p><table cellspacing=""0"" cellpadding=""0"" class=""table_4""><tbody> <tr><th>用途</th><th>平米数</th><th>坪数</th><th>畳数</th> </tr> <tr><td>事務所・オフィス</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr> <tr><td>一般商店</td><td>22 - 32 m2</td><td>7 - 10 坪</td><td>14 - 20 畳</td> </tr> <tr><td>飲食店</td><td>14 - 22 m2</td><td>4 - 7 坪</td><td>8 - 14 畳</td> </tr> <tr><td>理容室・美容室</td><td>17 - 22 m2</td><td>5 - 7 坪</td><td>10 - 14 畳</td> </tr> <tr><td>病院・医院・学校</td><td>29 - 43 m2</td><td>9 - 13 坪</td><td>18 - 26 畳</td> </tr></tbody></table>",,,,"<div class=""table_airconStd""><table cellspacing=""0"" cellpadding=""0""><tbody><tr><th>室内機</th><td>AIU-RP563H x 1</td></tr><tr><th>室外機</th><td>ROA-RP563HS x 1</td></tr><tr><th>パネル</th><td>RBC-U41PG x 1</td></tr><tr><th>リモコン</th><td>RBC-ATX41 x 1</td></tr><tr><th>受信部</th><td>RBC-AXR41U x 1</td></tr></tbody></table></div>",,,,0=出品,,,2,0,1,RUSA05633X,,1,,955800,955800,,0,,,,,,,,,,,,,,,,,"100,141,110,004",
